,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Class
0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,6.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,6.0,6.0,7.0, positive
1,2.0,1.0,4.0,0.0,1.0,2.0,1.0,6.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,2.0,1.0,1.0, negative
2,6.0,7.0,9.0,3.0,1.0,3.0,7.0,1.0,6.0,8.0,5.0,6.0,5.0,2.0,1.0,6.0,4.0,6.0, negative
3,7.0,7.0,9.0,3.0,2.0,3.0,6.0,1.0,6.0,8.0,5.0,5.0,7.0,3.0,0.0,3.0,3.0,5.0, negative
4,6.0,7.0,9.0,2.0,1.0,2.0,6.0,1.0,5.0,7.0,4.0,5.0,5.0,2.0,2.0,5.0,3.0,4.0, negative
5,5.0,3.0,6.0,2.0,1.0,1.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,0.0,1.0,6.0,4.0, negative
6,6.0,7.0,8.0,6.0,4.0,2.0,6.0,1.0,6.0,7.0,6.0,6.0,6.0,3.0,0.0,4.0,3.0,4.0, negative
7,4.0,1.0,3.0,1.0,3.0,2.0,1.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,8.0,8.0, positive
8,0.0,1.0,1.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,3.0,0.0,0.0, negative
9,5.0,8.0,8.0,6.0,4.0,2.0,6.0,1.0,6.0,8.0,6.0,5.0,9.0,3.0,0.0,1.0,3.0,5.0, negative
10,4.0,5.0,4.0,4.0,4.0,1.0,3.0,3.0,2.0,5.0,3.0,3.0,5.0,2.0,4.0,4.0,7.0,8.0, negative
11,4.0,7.0,7.0,4.0,4.0,2.0,5.0,2.0,4.0,6.0,5.0,4.0,8.0,3.0,1.0,0.0,3.0,4.0, negative
12,2.0,2.0,7.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0, negative
13,6.0,8.0,8.0,3.0,2.0,3.0,7.0,1.0,7.0,9.0,5.0,6.0,6.0,3.0,2.0,2.0,3.0,5.0, negative
14,4.0,1.0,4.0,0.0,1.0,2.0,1.0,7.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,3.0,4.0,2.0, positive
15,0.0,2.0,5.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,2.0,1.0,2.0,4.0,3.0,7.0,1.0,3.0, negative
16,5.0,5.0,8.0,4.0,4.0,2.0,5.0,1.0,5.0,5.0,4.0,4.0,4.0,2.0,0.0,1.0,4.0,5.0, negative
17,1.0,1.0,3.0,0.0,1.0,1.0,1.0,7.0,0.0,1.0,0.0,0.0,2.0,3.0,7.0,1.0,2.0,1.0, negative
18,3.0,5.0,6.0,1.0,2.0,2.0,2.0,5.0,1.0,5.0,2.0,2.0,5.0,3.0,1.0,0.0,3.0,5.0, positive
19,0.0,5.0,4.0,0.0,2.0,1.0,2.0,5.0,1.0,4.0,2.0,2.0,5.0,5.0,1.0,3.0,1.0,1.0, negative
20,0.0,3.0,4.0,1.0,4.0,2.0,2.0,5.0,1.0,4.0,2.0,1.0,4.0,4.0,0.0,3.0,1.0,1.0, negative
21,4.0,5.0,6.0,2.0,4.0,3.0,3.0,5.0,2.0,6.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,4.0, positive
22,2.0,4.0,5.0,2.0,2.0,1.0,2.0,5.0,1.0,4.0,2.0,2.0,4.0,1.0,4.0,3.0,8.0,8.0, negative
23,2.0,1.0,1.0,0.0,1.0,1.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,6.0,3.0,4.0,0.0,0.0, positive
24,2.0,5.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,3.0,2.0,6.0,3.0,4.0,3.0,3.0,3.0, negative
25,2.0,1.0,1.0,0.0,2.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0,6.0,3.0,3.0,1.0,0.0, positive
26,1.0,0.0,1.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,7.0,2.0,2.0, negative
27,2.0,3.0,3.0,0.0,1.0,1.0,1.0,7.0,0.0,4.0,1.0,0.0,3.0,3.0,4.0,4.0,3.0,3.0, positive
28,6.0,9.0,8.0,6.0,4.0,2.0,7.0,1.0,6.0,8.0,6.0,6.0,7.0,3.0,0.0,1.0,3.0,5.0, negative
29,4.0,6.0,6.0,1.0,1.0,3.0,3.0,4.0,2.0,7.0,2.0,2.0,5.0,3.0,2.0,1.0,2.0,4.0, positive
30,6.0,9.0,9.0,5.0,4.0,3.0,7.0,1.0,6.0,8.0,5.0,6.0,9.0,3.0,4.0,0.0,3.0,4.0, negative
31,1.0,3.0,3.0,0.0,1.0,1.0,2.0,5.0,1.0,4.0,2.0,1.0,3.0,5.0,2.0,1.0,1.0,0.0, negative
32,1.0,4.0,4.0,1.0,3.0,1.0,2.0,5.0,1.0,3.0,2.0,1.0,5.0,5.0,2.0,4.0,1.0,1.0, negative
33,0.0,4.0,4.0,1.0,3.0,1.0,2.0,5.0,1.0,4.0,2.0,2.0,4.0,5.0,0.0,3.0,1.0,1.0, negative
34,2.0,4.0,3.0,0.0,2.0,2.0,2.0,5.0,1.0,4.0,2.0,1.0,5.0,6.0,0.0,1.0,0.0,0.0, negative
35,5.0,6.0,8.0,3.0,2.0,1.0,6.0,1.0,6.0,5.0,6.0,6.0,7.0,4.0,3.0,7.0,3.0,2.0, negative
36,5.0,8.0,9.0,3.0,2.0,2.0,6.0,1.0,6.0,9.0,5.0,6.0,7.0,3.0,5.0,6.0,3.0,4.0, negative
37,6.0,5.0,4.0,3.0,4.0,1.0,3.0,3.0,2.0,5.0,2.0,2.0,4.0,2.0,4.0,1.0,7.0,7.0, negative
38,7.0,6.0,8.0,5.0,4.0,2.0,4.0,2.0,4.0,6.0,4.0,4.0,6.0,1.0,1.0,1.0,6.0,8.0, negative
39,7.0,8.0,8.0,4.0,2.0,1.0,8.0,0.0,8.0,8.0,7.0,8.0,9.0,4.0,1.0,0.0,3.0,0.0, negative
40,2.0,3.0,6.0,1.0,2.0,2.0,2.0,5.0,1.0,4.0,2.0,1.0,3.0,3.0,1.0,4.0,3.0,6.0, positive
41,2.0,3.0,5.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,2.0,1.0,3.0,4.0,8.0,1.0,2.0,2.0, negative
42,6.0,5.0,9.0,5.0,3.0,2.0,5.0,1.0,5.0,5.0,4.0,5.0,4.0,1.0,0.0,6.0,5.0,7.0, negative
43,7.0,9.0,9.0,4.0,3.0,3.0,7.0,1.0,7.0,9.0,6.0,6.0,7.0,3.0,6.0,0.0,4.0,4.0, negative
44,3.0,2.0,2.0,0.0,0.0,1.0,1.0,7.0,0.0,3.0,1.0,0.0,2.0,5.0,5.0,2.0,2.0,0.0, positive
45,3.0,3.0,4.0,2.0,4.0,1.0,2.0,5.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,4.0,5.0,5.0, negative
46,2.0,1.0,2.0,1.0,2.0,1.0,1.0,7.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,3.0,3.0,3.0, negative
47,7.0,7.0,8.0,4.0,3.0,2.0,6.0,1.0,6.0,7.0,4.0,5.0,6.0,3.0,5.0,5.0,3.0,5.0, negative
48,1.0,2.0,4.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,1.0,1.0, negative
49,7.0,6.0,7.0,3.0,1.0,0.0,7.0,1.0,7.0,6.0,7.0,6.0,6.0,5.0,1.0,3.0,3.0,0.0, negative
50,4.0,3.0,6.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,2.0,1.0,3.0,4.0,5.0, negative
51,7.0,6.0,9.0,5.0,3.0,3.0,6.0,1.0,6.0,6.0,4.0,5.0,4.0,1.0,0.0,4.0,5.0,8.0, negative
