,0,1,2,3,4,5,Class
0,0.0,0.0,4.0,3.0,1.0,2.0, negative
1,3.0,0.0,4.0,3.0,2.0,2.0, negative
2,3.0,3.0,4.0,3.0,2.0,1.0, negative
3,1.0,1.0,4.0,3.0,1.0,1.0, negative
4,4.0,2.0,4.0,2.0,2.0,2.0, negative
5,1.0,1.0,4.0,2.0,1.0,1.0, negative
6,1.0,2.0,4.0,3.0,1.0,1.0, negative
7,0.0,2.0,4.0,3.0,2.0,2.0, negative
8,1.0,3.0,4.0,2.0,0.0,1.0, negative
9,2.0,1.0,4.0,3.0,1.0,1.0, negative
10,3.0,0.0,4.0,3.0,1.0,1.0, negative
11,1.0,0.0,4.0,3.0,2.0,2.0, negative
12,2.0,2.0,4.0,2.0,1.0,1.0, negative
13,2.0,1.0,4.0,3.0,2.0,2.0, negative
14,1.0,0.0,4.0,2.0,1.0,1.0, negative
15,2.0,3.0,4.0,2.0,1.0,1.0, negative
16,0.0,2.0,4.0,2.0,1.0,0.0, negative
17,3.0,3.0,4.0,2.0,1.0,2.0, negative
18,0.0,0.0,4.0,3.0,0.0,1.0, negative
19,2.0,2.0,4.0,3.0,1.0,1.0, negative
20,1.0,3.0,4.0,0.0,1.0,2.0, negative
21,2.0,2.0,4.0,3.0,1.0,2.0, negative
22,2.0,2.0,4.0,3.0,1.0,2.0, negative
23,3.0,2.0,4.0,2.0,1.0,1.0, negative
24,3.0,3.0,4.0,2.0,2.0,2.0, negative
25,0.0,1.0,4.0,2.0,1.0,2.0, negative
26,1.0,3.0,4.0,2.0,1.0,1.0, negative
27,3.0,3.0,4.0,3.0,0.0,0.0, negative
28,1.0,2.0,4.0,2.0,1.0,1.0, negative
29,2.0,2.0,4.0,3.0,1.0,1.0, negative
30,1.0,2.0,4.0,3.0,1.0,2.0, negative
31,0.0,2.0,4.0,3.0,2.0,2.0, negative
32,1.0,2.0,4.0,0.0,1.0,2.0, negative
33,3.0,2.0,4.0,3.0,1.0,2.0, negative
34,1.0,2.0,4.0,2.0,2.0,0.0, negative
35,2.0,2.0,4.0,3.0,3.0,3.0, negative
36,2.0,0.0,4.0,2.0,1.0,1.0, negative
37,2.0,2.0,4.0,3.0,0.0,1.0, negative
38,1.0,2.0,4.0,2.0,1.0,2.0, negative
39,2.0,3.0,4.0,2.0,2.0,1.0, negative
40,1.0,0.0,4.0,2.0,0.0,0.0, negative
41,1.0,2.0,4.0,2.0,2.0,2.0, negative
42,1.0,3.0,4.0,2.0,2.0,2.0, negative
43,2.0,3.0,4.0,1.0,0.0,1.0, negative
44,3.0,3.0,4.0,1.0,1.0,2.0, negative
45,0.0,2.0,4.0,2.0,1.0,2.0, negative
46,2.0,2.0,4.0,0.0,1.0,2.0, negative
47,2.0,2.0,4.0,3.0,1.0,2.0, negative
48,2.0,3.0,4.0,0.0,2.0,2.0, negative
49,1.0,0.0,4.0,3.0,1.0,1.0, negative
50,2.0,1.0,4.0,3.0,1.0,2.0, negative
51,1.0,2.0,4.0,3.0,2.0,2.0, negative
52,1.0,2.0,4.0,2.0,1.0,2.0, negative
53,3.0,3.0,4.0,2.0,2.0,2.0, negative
54,1.0,2.0,4.0,2.0,1.0,1.0, negative
55,2.0,3.0,4.0,3.0,0.0,2.0, negative
56,1.0,1.0,4.0,2.0,1.0,1.0, negative
57,2.0,3.0,4.0,3.0,1.0,1.0, negative
58,2.0,0.0,4.0,2.0,1.0,2.0, negative
59,2.0,2.0,4.0,2.0,1.0,0.0, negative
60,1.0,2.0,4.0,2.0,1.0,1.0, negative
61,2.0,0.0,4.0,3.0,1.0,1.0, negative
62,2.0,2.0,4.0,2.0,1.0,1.0, negative
63,2.0,3.0,4.0,3.0,2.0,2.0, negative
64,2.0,1.0,4.0,2.0,1.0,1.0, negative
65,1.0,2.0,4.0,3.0,2.0,2.0, negative
66,2.0,1.0,4.0,2.0,1.0,2.0, negative
67,2.0,2.0,4.0,2.0,1.0,2.0, negative
68,1.0,3.0,4.0,2.0,1.0,1.0, negative
69,2.0,3.0,4.0,3.0,1.0,2.0, negative
70,0.0,2.0,4.0,3.0,2.0,2.0, negative
71,3.0,2.0,4.0,2.0,1.0,2.0, negative
72,0.0,3.0,4.0,1.0,1.0,1.0, negative
73,3.0,2.0,4.0,0.0,1.0,1.0, negative
74,2.0,2.0,4.0,3.0,1.0,2.0, negative
75,0.0,2.0,4.0,2.0,1.0,1.0, negative
76,2.0,2.0,4.0,0.0,1.0,1.0, negative
77,0.0,2.0,4.0,2.0,1.0,1.0, negative
78,1.0,3.0,4.0,1.0,1.0,1.0, negative
79,3.0,4.0,4.0,2.0,1.0,1.0, negative
80,2.0,2.0,4.0,0.0,1.0,2.0, negative
81,2.0,0.0,4.0,4.0,1.0,1.0, negative
82,1.0,3.0,4.0,4.0,1.0,2.0, negative
83,2.0,1.0,4.0,3.0,0.0,1.0, negative
84,1.0,3.0,4.0,3.0,0.0,1.0, negative
85,1.0,2.0,4.0,2.0,0.0,0.0, negative
86,1.0,0.0,4.0,2.0,1.0,2.0, negative
87,2.0,3.0,4.0,2.0,2.0,0.0, negative
88,2.0,1.0,4.0,2.0,2.0,2.0, negative
89,2.0,2.0,4.0,3.0,0.0,0.0, negative
90,2.0,1.0,4.0,3.0,0.0,1.0, negative
91,2.0,2.0,4.0,3.0,0.0,1.0, negative
92,2.0,0.0,4.0,2.0,1.0,1.0, negative
93,2.0,3.0,4.0,3.0,0.0,1.0, negative
94,2.0,2.0,4.0,2.0,1.0,2.0, negative
95,3.0,3.0,4.0,3.0,0.0,1.0, negative
96,1.0,3.0,4.0,2.0,2.0,0.0, negative
97,1.0,1.0,4.0,0.0,2.0,0.0, negative
98,1.0,1.0,4.0,2.0,1.0,2.0, negative
99,1.0,2.0,4.0,3.0,1.0,1.0, negative
100,1.0,2.0,4.0,3.0,0.0,1.0, negative
101,0.0,1.0,4.0,2.0,1.0,1.0, negative
102,3.0,2.0,4.0,3.0,1.0,2.0, negative
103,2.0,3.0,4.0,2.0,2.0,2.0, negative
104,1.0,2.0,4.0,2.0,1.0,1.0, negative
105,0.0,2.0,4.0,2.0,1.0,2.0, negative
106,2.0,2.0,4.0,2.0,2.0,2.0, negative
107,0.0,2.0,4.0,2.0,2.0,2.0, negative
108,2.0,1.0,4.0,2.0,1.0,2.0, negative
109,0.0,2.0,4.0,3.0,1.0,1.0, negative
110,1.0,0.0,4.0,4.0,1.0,1.0, negative
111,2.0,2.0,4.0,3.0,1.0,2.0, negative
112,0.0,2.0,4.0,2.0,0.0,0.0, negative
113,1.0,0.0,4.0,2.0,1.0,1.0, negative
114,0.0,2.0,4.0,3.0,1.0,1.0, negative
115,1.0,2.0,4.0,2.0,1.0,1.0, negative
116,2.0,2.0,4.0,2.0,2.0,2.0, negative
117,0.0,2.0,4.0,3.0,1.0,1.0, negative
118,2.0,3.0,4.0,2.0,2.0,2.0, negative
119,1.0,3.0,4.0,3.0,4.0,4.0, negative
120,2.0,3.0,4.0,3.0,4.0,0.0, negative
121,2.0,0.0,4.0,3.0,4.0,3.0, negative
122,1.0,2.0,4.0,3.0,4.0,3.0, negative
123,3.0,2.0,4.0,4.0,3.0,3.0, negative
124,1.0,3.0,4.0,4.0,3.0,3.0, negative
125,3.0,3.0,4.0,3.0,4.0,0.0, negative
126,0.0,4.0,4.0,4.0,3.0,3.0, negative
127,0.0,0.0,4.0,4.0,4.0,4.0, negative
128,4.0,2.0,4.0,3.0,4.0,4.0, negative
129,2.0,2.0,4.0,0.0,4.0,0.0, negative
130,3.0,3.0,4.0,0.0,4.0,4.0, negative
131,2.0,2.0,4.0,3.0,0.0,4.0, negative
132,2.0,3.0,4.0,3.0,3.0,3.0, negative
133,3.0,3.0,4.0,3.0,4.0,3.0, negative
134,3.0,3.0,4.0,3.0,4.0,4.0, negative
135,2.0,3.0,4.0,3.0,4.0,3.0, negative
136,3.0,0.0,4.0,3.0,4.0,4.0, negative
137,2.0,2.0,4.0,3.0,4.0,4.0, negative
138,1.0,0.0,4.0,3.0,4.0,4.0, negative
139,2.0,0.0,4.0,4.0,4.0,3.0, negative
140,0.0,2.0,4.0,4.0,3.0,3.0, negative
141,0.0,3.0,4.0,3.0,3.0,3.0, negative
142,4.0,2.0,4.0,4.0,3.0,3.0, negative
143,3.0,3.0,4.0,4.0,4.0,4.0, negative
144,0.0,0.0,4.0,3.0,4.0,4.0, negative
145,0.0,0.0,0.0,3.0,4.0,0.0, negative
146,0.0,3.0,4.0,2.0,2.0,2.0, negative
147,4.0,0.0,4.0,4.0,3.0,3.0, negative
148,0.0,2.0,4.0,3.0,4.0,4.0, negative
149,0.0,2.0,4.0,3.0,4.0,3.0, negative
150,3.0,3.0,4.0,3.0,3.0,2.0, negative
151,1.0,2.0,4.0,3.0,3.0,3.0, negative
152,3.0,4.0,4.0,4.0,3.0,3.0, negative
153,2.0,3.0,4.0,3.0,4.0,3.0, negative
154,2.0,4.0,4.0,3.0,4.0,3.0, negative
155,3.0,2.0,4.0,3.0,4.0,4.0, negative
156,3.0,3.0,4.0,3.0,0.0,4.0, negative
157,3.0,0.0,4.0,3.0,3.0,3.0, negative
158,0.0,3.0,4.0,4.0,3.0,3.0, negative
159,0.0,2.0,4.0,2.0,4.0,4.0, negative
160,2.0,3.0,4.0,2.0,4.0,3.0, negative
161,3.0,3.0,4.0,3.0,0.0,3.0, negative
162,2.0,3.0,4.0,3.0,3.0,3.0, negative
163,2.0,2.0,4.0,3.0,3.0,3.0, negative
164,2.0,3.0,4.0,4.0,3.0,3.0, negative
165,1.0,2.0,4.0,0.0,4.0,4.0, negative
166,3.0,4.0,4.0,3.0,4.0,4.0, negative
167,4.0,3.0,4.0,4.0,4.0,3.0, negative
168,4.0,2.0,4.0,3.0,4.0,3.0, negative
169,2.0,3.0,4.0,2.0,4.0,1.0, negative
