@relation ./ML-assignments/Assignment6/databases_disc/databases_KBN3_arff/new-thyroid2/KBN3new-thyroid2-5-3tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute Class {' negative',' positive'}
@data
0,6.0,3.0,2.0,3.0,5.0,' negativ
1,7.0,3.0,1.0,2.0,4.0,' negativ
2,5.0,2.0,1.0,1.0,4.0,' negativ
3,4.0,2.0,0.0,2.0,4.0,' negativ
4,5.0,3.0,2.0,0.0,2.0,' negativ
5,7.0,3.0,1.0,2.0,3.0,' negativ
6,5.0,3.0,2.0,2.0,4.0,' negativ
7,5.0,2.0,2.0,6.0,5.0,' negativ
8,6.0,2.0,2.0,4.0,4.0,' negativ
9,7.0,3.0,2.0,1.0,4.0,' negativ
10,7.0,4.0,1.0,3.0,3.0,' negativ
11,4.0,4.0,0.0,2.0,4.0,' negativ
12,6.0,2.0,2.0,3.0,5.0,' negativ
13,4.0,1.0,2.0,2.0,5.0,' negativ
14,4.0,1.0,1.0,3.0,4.0,' negativ
15,4.0,2.0,1.0,4.0,2.0,' negativ
16,7.0,4.0,3.0,3.0,4.0,' negativ
17,5.0,2.0,2.0,4.0,1.0,' negativ
18,6.0,3.0,2.0,5.0,2.0,' negativ
19,6.0,4.0,1.0,4.0,4.0,' negativ
20,6.0,2.0,1.0,3.0,2.0,' negativ
21,5.0,5.0,1.0,2.0,4.0,' negativ
22,6.0,6.0,0.0,2.0,4.0,' negativ
23,5.0,2.0,1.0,2.0,3.0,' negativ
24,4.0,3.0,0.0,2.0,3.0,' negativ
25,4.0,2.0,0.0,2.0,4.0,' negativ
26,4.0,3.0,1.0,6.0,0.0,' negativ
27,6.0,2.0,2.0,2.0,5.0,' negativ
28,4.0,1.0,1.0,2.0,4.0,' negativ
29,5.0,1.0,0.0,2.0,4.0,' negativ
30,6.0,2.0,0.0,3.0,5.0,' negativ
31,8.0,6.0,5.0,1.0,3.0,' positiv
32,5.0,7.0,4.0,1.0,3.0,' positiv
33,2.0,4.0,3.0,0.0,3.0,' positiv
34,3.0,8.0,7.0,1.0,2.0,' positiv
35,4.0,5.0,4.0,3.0,3.0,' positiv
36,4.0,6.0,5.0,3.0,3.0,' positiv
37,9.0,8.0,3.0,2.0,3.0,' positiv
38,5.0,0.0,0.0,3.0,4.0,' negativ
39,7.0,0.0,0.0,8.0,6.0,' negativ
40,7.0,1.0,0.0,7.0,7.0,' negativ
41,4.0,1.0,1.0,2.0,5.0,' negativ
42,9.0,6.0,4.0,2.0,2.0,' positiv
43,5.0,6.0,2.0,2.0,2.0,' positiv
44,6.0,6.0,2.0,2.0,2.0,' positiv
45,0.0,9.0,6.0,2.0,3.0,' positiv
46,2.0,9.0,6.0,1.0,3.0,' positiv
47,0.0,6.0,9.0,2.0,3.0,' positiv
48,0.0,9.0,8.0,4.0,1.0,' positiv
49,3.0,3.0,3.0,3.0,2.0,' positiv
50,3.0,5.0,4.0,1.0,3.0,' positiv
51,3.0,9.0,6.0,1.0,3.0,' positiv
52,5.0,6.0,1.0,0.0,3.0,' positiv
53,3.0,7.0,7.0,2.0,2.0,' positiv
54,4.0,4.0,4.0,1.0,2.0,' positiv
55,1.0,9.0,9.0,2.0,2.0,' positiv
56,4.0,4.0,3.0,1.0,2.0,' positiv
57,0.0,5.0,8.0,1.0,2.0,' positiv
58,2.0,8.0,3.0,2.0,1.0,' positiv
59,2.0,7.0,5.0,2.0,2.0,' positiv
60,3.0,7.0,2.0,3.0,1.0,' positiv
61,4.0,6.0,2.0,3.0,3.0,' positiv
62,1.0,9.0,5.0,2.0,2.0,' positiv
63,5.0,5.0,2.0,1.0,2.0,' positiv
64,5.0,4.0,3.0,2.0,2.0,' positiv
65,2.0,6.0,5.0,1.0,3.0,' positiv
66,4.0,5.0,2.0,2.0,2.0,' positiv
67,5.0,4.0,3.0,2.0,2.0,' positiv
68,1.0,7.0,6.0,2.0,3.0,' positiv
69,3.0,3.0,2.0,1.0,2.0,' positiv
