,0,1,2,3,Class
0,5.0,5.0,4.0,2.0, negative
1,6.0,4.0,4.0,2.0, negative
2,3.0,7.0,3.0,4.0, negative
3,7.0,6.0,4.0,2.0, negative
4,5.0,6.0,3.0,3.0, negative
5,6.0,6.0,4.0,3.0, negative
6,2.0,1.0,2.0,2.0, negative
7,2.0,4.0,3.0,2.0, negative
8,4.0,7.0,4.0,4.0, negative
9,0.0,2.0,0.0,0.0, negative
10,0.0,0.0,1.0,0.0, negative
11,3.0,5.0,3.0,3.0, negative
12,3.0,1.0,2.0,0.0, negative
13,2.0,5.0,1.0,2.0, negative
14,6.0,6.0,3.0,2.0, negative
15,2.0,5.0,3.0,3.0, negative
16,3.0,3.0,2.0,0.0, negative
17,4.0,1.0,3.0,3.0, negative
18,4.0,2.0,4.0,3.0, negative
19,4.0,4.0,4.0,1.0, negative
20,5.0,5.0,3.0,2.0, negative
21,5.0,5.0,3.0,2.0, negative
22,3.0,3.0,2.0,1.0, negative
23,1.0,5.0,3.0,3.0, negative
24,6.0,6.0,4.0,3.0, negative
25,2.0,2.0,2.0,2.0, negative
26,4.0,5.0,4.0,2.0, negative
27,3.0,3.0,2.0,1.0, negative
28,0.0,1.0,0.0,0.0, negative
29,2.0,3.0,3.0,2.0, negative
30,2.0,5.0,3.0,1.0, negative
31,2.0,5.0,3.0,2.0, negative
32,4.0,5.0,3.0,2.0, negative
33,0.0,2.0,0.0,0.0, negative
34,2.0,4.0,2.0,2.0, negative
35,4.0,7.0,7.0,9.0, negative
36,3.0,3.0,5.0,6.0, negative
37,7.0,5.0,7.0,7.0, negative
38,9.0,5.0,9.0,7.0, negative
39,0.0,2.0,3.0,4.0, negative
40,8.0,5.0,8.0,5.0, negative
41,6.0,2.0,7.0,5.0, negative
42,7.0,8.0,7.0,9.0, negative
43,5.0,6.0,5.0,6.0, negative
44,5.0,3.0,5.0,6.0, negative
45,6.0,5.0,6.0,7.0, negative
46,2.0,2.0,5.0,6.0, negative
47,3.0,4.0,5.0,9.0, negative
48,5.0,6.0,5.0,8.0, negative
49,9.0,9.0,9.0,8.0, negative
50,2.0,4.0,4.0,6.0, negative
51,9.0,4.0,9.0,6.0, negative
52,6.0,7.0,6.0,7.0, negative
53,7.0,6.0,7.0,5.0, negative
54,4.0,5.0,4.0,5.0, negative
55,5.0,4.0,6.0,7.0, negative
56,8.0,4.0,7.0,6.0, negative
57,9.0,9.0,8.0,6.0, negative
58,5.0,4.0,6.0,8.0, negative
59,4.0,3.0,6.0,2.0, negative
60,9.0,5.0,7.0,8.0, negative
61,4.0,7.0,6.0,9.0, negative
62,5.0,6.0,6.0,5.0, negative
63,3.0,5.0,4.0,5.0, negative
64,6.0,6.0,6.0,7.0, negative
65,6.0,6.0,6.0,9.0, negative
66,6.0,6.0,5.0,8.0, negative
67,3.0,3.0,5.0,6.0, negative
68,6.0,6.0,7.0,8.0, negative
69,6.0,7.0,6.0,9.0, negative
70,6.0,5.0,5.0,8.0, negative
71,4.0,2.0,5.0,6.0, negative
72,5.0,5.0,5.0,6.0, negative
73,4.0,7.0,6.0,8.0, negative
74,3.0,5.0,5.0,5.0, negative
75,5.0,5.0,6.0,5.0, negative
76,9.0,3.0,9.0,8.0, negative
77,3.0,1.0,5.0,3.0, negative
78,4.0,4.0,4.0,5.0, negative
