classifier,discretizer,dataset,fold,avg_precision,auc
DTAE,0,shuttle-6_vs_2-3.csv,0,-1,-1
DTAE,1,shuttle-6_vs_2-3.csv,0,-1,-1
DTAE,2,shuttle-6_vs_2-3.csv,0,-1,-1
DTAE,0,cleveland-0_vs_4.csv,0,-1,-1
DTAE,1,cleveland-0_vs_4.csv,0,-1,-1
DTAE,2,cleveland-0_vs_4.csv,0,-1,-1
DTAE,0,yeast-0-3-5-9_vs_7-8.csv,0,-1,-1
DTAE,1,yeast-0-3-5-9_vs_7-8.csv,0,-1,-1
DTAE,2,yeast-0-3-5-9_vs_7-8.csv,0,-1,-1
DTAE,0,yeast-2_vs_8.csv,0,-1,-1
DTAE,1,yeast-2_vs_8.csv,0,-1,-1
DTAE,2,yeast-2_vs_8.csv,0,-1,-1
DTAE,0,yeast-1-2-8-9_vs_7.csv,0,-1,-1
DTAE,1,yeast-1-2-8-9_vs_7.csv,0,-1,-1
DTAE,2,yeast-1-2-8-9_vs_7.csv,0,-1,-1
DTAE,0,yeast-0-5-6-7-9_vs_4.csv,0,-1,-1
DTAE,1,yeast-0-5-6-7-9_vs_4.csv,0,-1,-1
DTAE,2,yeast-0-5-6-7-9_vs_4.csv,0,-1,-1
DTAE,0,ecoli-0-3-4_vs_5.csv,0,-1,-1
DTAE,1,ecoli-0-3-4_vs_5.csv,0,-1,-1
DTAE,2,ecoli-0-3-4_vs_5.csv,0,-1,-1
DTAE,0,ecoli-0-1-3-7_vs_2-6.csv,0,-1,-1
DTAE,1,ecoli-0-1-3-7_vs_2-6.csv,0,-1,-1
DTAE,2,ecoli-0-1-3-7_vs_2-6.csv,0,-1,-1
DTAE,0,lymphography-normal-fibrosis.csv,0,-1,-1
DTAE,1,lymphography-normal-fibrosis.csv,0,-1,-1
DTAE,2,lymphography-normal-fibrosis.csv,0,-1,-1
DTAE,0,ecoli-0_vs_1.csv,0,-1,-1
DTAE,1,ecoli-0_vs_1.csv,0,-1,-1
DTAE,2,ecoli-0_vs_1.csv,0,-1,-1
DTAE,0,dermatology-6.csv,0,-1,-1
DTAE,1,dermatology-6.csv,0,-1,-1
DTAE,2,dermatology-6.csv,0,-1,-1
DTAE,0,pimaImb.csv,0,-1,-1
DTAE,1,pimaImb.csv,0,-1,-1
DTAE,2,pimaImb.csv,0,-1,-1
DTAE,0,shuttle-c2-vs-c4.csv,0,-1,-1
