,0,1,2,3,4,5,6,y
0,0.0,0.0,0.0,0.0,4.0,1.0,1.0, positive
1,1.0,0.0,0.0,0.0,2.0,0.0,1.0, positive
2,0.0,2.0,0.0,0.0,2.0,3.0,4.0, positive
3,2.0,3.0,0.0,0.0,0.0,1.0,1.0, positive
4,3.0,4.0,0.0,0.0,1.0,0.0,0.0, positive
5,1.0,0.0,0.0,0.0,4.0,0.0,0.0, positive
6,0.0,4.0,0.0,0.0,3.0,2.0,2.0, positive
7,3.0,1.0,0.0,0.0,3.0,3.0,3.0, positive
8,4.0,1.0,0.0,0.0,2.0,1.0,1.0, positive
9,2.0,0.0,0.0,0.0,0.0,3.0,3.0, positive
10,4.0,4.0,0.0,0.0,0.0,3.0,3.0, positive
11,2.0,4.0,0.0,0.0,1.0,3.0,3.0, positive
12,1.0,1.0,0.0,0.0,4.0,3.0,3.0, positive
13,2.0,4.0,0.0,0.0,1.0,3.0,1.0, positive
14,0.0,4.0,0.0,0.0,0.0,4.0,4.0, positive
15,3.0,1.0,0.0,0.0,0.0,2.0,3.0, positive
16,4.0,4.0,0.0,0.0,1.0,4.0,4.0, positive
17,3.0,0.0,0.0,0.0,1.0,1.0,1.0, positive
18,2.0,0.0,0.0,0.0,1.0,3.0,3.0, positive
19,4.0,3.0,0.0,0.0,0.0,3.0,2.0, positive
20,3.0,4.0,0.0,0.0,0.0,0.0,1.0, positive
21,2.0,3.0,0.0,0.0,3.0,3.0,3.0, positive
22,3.0,2.0,0.0,0.0,3.0,1.0,0.0, positive
23,1.0,3.0,0.0,0.0,0.0,1.0,2.0, positive
24,1.0,3.0,0.0,0.0,3.0,0.0,0.0, positive
25,2.0,2.0,0.0,0.0,1.0,2.0,3.0, positive
26,1.0,0.0,0.0,0.0,2.0,0.0,0.0, positive
27,3.0,2.0,0.0,0.0,4.0,4.0,4.0, negative
28,4.0,2.0,0.0,0.0,4.0,4.0,4.0, negative
29,4.0,1.0,0.0,0.0,3.0,4.0,4.0, negative
30,4.0,3.0,0.0,0.0,3.0,4.0,4.0, negative
31,4.0,4.0,0.0,0.0,4.0,4.0,4.0, negative
32,4.0,4.0,0.0,0.0,4.0,4.0,4.0, negative
33,4.0,2.0,0.0,0.0,4.0,4.0,4.0, negative
34,4.0,4.0,0.0,0.0,4.0,4.0,4.0, negative
35,4.0,4.0,0.0,0.0,4.0,4.0,4.0, negative
36,4.0,1.0,0.0,0.0,4.0,4.0,4.0, negative
37,1.0,3.0,0.0,0.0,3.0,4.0,4.0, negative
38,3.0,3.0,0.0,0.0,3.0,4.0,4.0, negative
39,4.0,2.0,0.0,0.0,4.0,4.0,4.0, negative
40,3.0,4.0,0.0,0.0,0.0,4.0,0.0, negative
41,4.0,4.0,0.0,0.0,4.0,4.0,4.0, negative
42,4.0,4.0,0.0,0.0,4.0,4.0,4.0, negative
43,0.0,2.0,0.0,0.0,4.0,3.0,3.0, positive
44,4.0,2.0,0.0,0.0,3.0,3.0,3.0, positive
45,4.0,3.0,0.0,0.0,3.0,4.0,1.0, positive
46,4.0,2.0,0.0,0.0,0.0,3.0,3.0, positive
47,0.0,1.0,0.0,0.0,3.0,1.0,2.0, positive
48,0.0,3.0,0.0,0.0,2.0,4.0,4.0, positive
49,3.0,2.0,0.0,0.0,4.0,0.0,0.0, positive
50,3.0,0.0,0.0,0.0,4.0,1.0,1.0, positive
51,0.0,3.0,0.0,0.0,2.0,0.0,0.0, positive
52,2.0,0.0,0.0,0.0,2.0,1.0,1.0, positive
53,4.0,4.0,0.0,0.0,2.0,2.0,1.0, positive
54,0.0,2.0,0.0,0.0,2.0,0.0,0.0, positive
55,3.0,0.0,0.0,0.0,4.0,4.0,4.0, positive
56,0.0,2.0,0.0,0.0,1.0,1.0,1.0, positive
57,2.0,3.0,0.0,0.0,0.0,0.0,0.0, positive
58,4.0,4.0,0.0,0.0,1.0,2.0,3.0, positive
59,1.0,0.0,0.0,0.0,4.0,0.0,0.0, positive
60,2.0,2.0,0.0,0.0,2.0,0.0,0.0, positive
61,1.0,1.0,0.0,0.0,2.0,3.0,4.0, positive
62,0.0,2.0,0.0,0.0,2.0,2.0,2.0, positive
63,3.0,2.0,0.0,0.0,2.0,2.0,2.0, positive
64,2.0,0.0,0.0,0.0,1.0,3.0,3.0, positive
65,0.0,1.0,0.0,0.0,0.0,0.0,0.0, positive
66,1.0,4.0,0.0,0.0,1.0,1.0,2.0, positive
67,4.0,3.0,0.0,0.0,4.0,2.0,2.0, positive
68,1.0,2.0,0.0,0.0,0.0,1.0,1.0, positive
69,2.0,3.0,0.0,0.0,2.0,0.0,0.0, positive
70,1.0,3.0,0.0,0.0,3.0,2.0,2.0, positive
71,2.0,4.0,0.0,0.0,2.0,3.0,3.0, positive
72,1.0,1.0,0.0,0.0,3.0,2.0,2.0, positive
73,4.0,3.0,0.0,0.0,2.0,3.0,2.0, positive
74,0.0,1.0,0.0,0.0,2.0,3.0,3.0, positive
75,3.0,1.0,0.0,0.0,4.0,4.0,4.0, positive
76,3.0,2.0,0.0,0.0,1.0,1.0,2.0, positive
77,3.0,1.0,0.0,0.0,4.0,0.0,0.0, positive
78,0.0,0.0,0.0,0.0,1.0,2.0,3.0, positive
79,1.0,0.0,0.0,0.0,2.0,0.0,0.0, positive
80,0.0,1.0,0.0,0.0,0.0,3.0,3.0, positive
81,3.0,3.0,0.0,0.0,0.0,0.0,0.0, positive
82,4.0,3.0,0.0,0.0,0.0,2.0,2.0, positive
83,4.0,1.0,0.0,0.0,0.0,3.0,3.0, positive
84,2.0,1.0,0.0,0.0,2.0,2.0,2.0, positive
85,3.0,1.0,0.0,0.0,4.0,2.0,3.0, positive
86,3.0,4.0,0.0,0.0,3.0,4.0,4.0, positive
87,4.0,1.0,0.0,0.0,1.0,1.0,1.0, positive
88,2.0,2.0,0.0,0.0,2.0,4.0,4.0, positive
89,0.0,0.0,0.0,0.0,2.0,1.0,1.0, positive
90,3.0,0.0,0.0,0.0,3.0,2.0,3.0, positive
91,0.0,2.0,0.0,0.0,4.0,4.0,4.0, positive
92,0.0,1.0,0.0,0.0,1.0,2.0,2.0, positive
93,0.0,1.0,0.0,0.0,1.0,1.0,1.0, positive
94,2.0,3.0,0.0,0.0,4.0,3.0,3.0, positive
95,1.0,0.0,0.0,0.0,0.0,1.0,1.0, positive
96,3.0,4.0,0.0,0.0,2.0,1.0,1.0, positive
97,2.0,4.0,0.0,0.0,1.0,3.0,3.0, positive
98,3.0,2.0,0.0,0.0,1.0,1.0,0.0, positive
99,0.0,2.0,0.0,0.0,0.0,1.0,1.0, positive
100,3.0,0.0,0.0,0.0,2.0,1.0,1.0, positive
101,3.0,2.0,0.0,0.0,2.0,1.0,1.0, positive
102,3.0,3.0,0.0,0.0,3.0,3.0,3.0, positive
103,1.0,2.0,0.0,0.0,2.0,3.0,3.0, positive
104,3.0,2.0,0.0,0.0,2.0,2.0,2.0, positive
105,1.0,3.0,0.0,0.0,1.0,0.0,1.0, positive
106,2.0,4.0,0.0,0.0,4.0,2.0,2.0, positive
107,2.0,4.0,0.0,0.0,1.0,4.0,4.0, positive
108,2.0,3.0,0.0,0.0,3.0,4.0,4.0, positive
109,3.0,3.0,0.0,0.0,3.0,4.0,4.0, positive
110,4.0,2.0,0.0,0.0,0.0,1.0,2.0, positive
111,2.0,2.0,0.0,0.0,0.0,1.0,0.0, positive
112,1.0,3.0,0.0,0.0,0.0,0.0,0.0, positive
113,4.0,4.0,0.0,0.0,2.0,3.0,1.0, positive
