@relation ./ML-assignments/Assignment6/databases_disc/databases_EFQ2_arff/iris0/EFQ1iris0-5-5tra.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute Class {' negative'}
@data
0,2.0,1.0,1.0,1.0,' negativ
1,1.0,1.0,1.0,1.0,' negativ
2,1.0,2.0,1.0,1.0,' negativ
3,2.0,2.0,1.0,1.0,' negativ
4,0.0,0.0,0.0,0.0,' negativ
5,0.0,1.0,1.0,0.0,' negativ
6,1.0,2.0,1.0,1.0,' negativ
7,0.0,0.0,0.0,1.0,' negativ
8,1.0,2.0,0.0,1.0,' negativ
9,1.0,1.0,1.0,1.0,' negativ
10,0.0,1.0,0.0,0.0,' negativ
11,2.0,2.0,0.0,1.0,' negativ
12,0.0,0.0,0.0,0.0,' negativ
13,1.0,0.0,1.0,1.0,' negativ
14,0.0,0.0,0.0,0.0,' negativ
15,1.0,2.0,1.0,1.0,' negativ
16,1.0,1.0,0.0,0.0,' negativ
17,1.0,0.0,1.0,1.0,' negativ
18,2.0,1.0,0.0,0.0,' negativ
19,2.0,2.0,0.0,1.0,' negativ
20,2.0,2.0,1.0,1.0,' negativ
21,0.0,0.0,0.0,0.0,' negativ
22,0.0,0.0,0.0,0.0,' negativ
23,0.0,0.0,0.0,0.0,' negativ
24,0.0,0.0,0.0,0.0,' negativ
25,1.0,0.0,2.0,1.0,' negativ
26,0.0,2.0,1.0,1.0,' negativ
27,2.0,2.0,1.0,1.0,' negativ
28,1.0,0.0,0.0,0.0,' negativ
29,0.0,2.0,0.0,0.0,' negativ
30,0.0,0.0,0.0,0.0,' negativ
31,0.0,0.0,0.0,0.0,' negativ
32,1.0,2.0,1.0,1.0,' negativ
33,0.0,0.0,0.0,0.0,' negativ
34,0.0,0.0,0.0,0.0,' negativ
35,0.0,0.0,0.0,0.0,' negativ
36,0.0,1.0,0.0,0.0,' negativ
37,1.0,1.0,0.0,0.0,' negativ
38,0.0,0.0,0.0,0.0,' negativ
39,1.0,2.0,2.0,2.0,' negativ
40,0.0,0.0,2.0,2.0,' negativ
41,2.0,2.0,2.0,2.0,' negativ
42,1.0,1.0,2.0,1.0,' negativ
43,2.0,2.0,2.0,2.0,' negativ
44,2.0,1.0,2.0,1.0,' negativ
45,2.0,2.0,2.0,2.0,' negativ
46,2.0,2.0,2.0,2.0,' negativ
47,2.0,0.0,2.0,2.0,' negativ
48,2.0,2.0,2.0,2.0,' negativ
49,0.0,0.0,1.0,2.0,' negativ
50,0.0,1.0,2.0,2.0,' negativ
51,2.0,2.0,2.0,2.0,' negativ
52,2.0,2.0,2.0,2.0,' negativ
53,0.0,1.0,1.0,2.0,' negativ
54,2.0,1.0,2.0,2.0,' negativ
55,1.0,0.0,1.0,1.0,' negativ
56,2.0,2.0,2.0,2.0,' negativ
57,2.0,2.0,2.0,1.0,' negativ
58,1.0,2.0,1.0,1.0,' negativ
59,2.0,1.0,2.0,2.0,' negativ
60,2.0,2.0,2.0,1.0,' negativ
61,2.0,1.0,2.0,2.0,' negativ
62,2.0,2.0,2.0,2.0,' negativ
63,2.0,1.0,2.0,2.0,' negativ
64,1.0,1.0,2.0,1.0,' negativ
65,2.0,2.0,2.0,2.0,' negativ
66,2.0,2.0,2.0,1.0,' negativ
67,1.0,2.0,1.0,1.0,' negativ
68,2.0,2.0,2.0,2.0,' negativ
69,0.0,0.0,2.0,2.0,' negativ
70,2.0,2.0,2.0,2.0,' negativ
71,2.0,2.0,2.0,2.0,' negativ
72,1.0,0.0,1.0,2.0,' negativ
73,1.0,2.0,2.0,2.0,' negativ
74,1.0,2.0,2.0,1.0,' negativ
75,2.0,2.0,2.0,1.0,' negativ
76,2.0,0.0,2.0,2.0,' negativ
77,2.0,2.0,2.0,2.0,' negativ
78,1.0,1.0,1.0,1.0,' negativ
