,0,1,2,3,4,5,6,Class
0,0.0,0.0,0.0,0.0,1.0,0.0,0.0, negative
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0, negative
2,0.0,0.0,0.0,0.0,2.0,0.0,2.0, negative
3,1.0,0.0,0.0,0.0,1.0,0.0,1.0, negative
4,0.0,0.0,0.0,0.0,1.0,0.0,2.0, negative
5,0.0,1.0,0.0,0.0,0.0,0.0,2.0, negative
6,0.0,0.0,0.0,0.0,1.0,0.0,0.0, negative
7,0.0,0.0,0.0,0.0,2.0,0.0,1.0, negative
8,0.0,0.0,0.0,0.0,1.0,0.0,1.0, negative
9,0.0,0.0,0.0,0.0,2.0,0.0,1.0, negative
10,0.0,0.0,0.0,0.0,0.0,0.0,1.0, negative
11,0.0,1.0,0.0,0.0,1.0,0.0,1.0, negative
12,0.0,0.0,0.0,0.0,1.0,0.0,0.0, negative
13,0.0,0.0,0.0,0.0,0.0,0.0,1.0, negative
14,0.0,0.0,0.0,0.0,0.0,0.0,2.0, negative
15,0.0,1.0,0.0,0.0,1.0,1.0,2.0, negative
16,1.0,0.0,0.0,0.0,0.0,0.0,1.0, negative
17,0.0,1.0,0.0,0.0,2.0,0.0,1.0, negative
18,0.0,0.0,0.0,0.0,2.0,0.0,0.0, negative
19,0.0,0.0,0.0,0.0,0.0,1.0,2.0, negative
20,0.0,0.0,0.0,0.0,2.0,1.0,2.0, negative
21,0.0,0.0,0.0,0.0,1.0,0.0,1.0, negative
22,0.0,0.0,0.0,0.0,2.0,1.0,2.0, negative
23,0.0,0.0,0.0,0.0,0.0,0.0,1.0, negative
24,0.0,0.0,0.0,0.0,0.0,0.0,1.0, negative
25,0.0,1.0,0.0,0.0,1.0,0.0,2.0, negative
26,0.0,0.0,0.0,0.0,2.0,0.0,1.0, negative
27,0.0,1.0,0.0,0.0,1.0,0.0,2.0, negative
28,0.0,0.0,0.0,0.0,1.0,0.0,0.0, negative
29,0.0,1.0,0.0,0.0,1.0,1.0,2.0, negative
30,1.0,0.0,0.0,0.0,2.0,2.0,2.0, negative
31,1.0,1.0,0.0,0.0,0.0,2.0,2.0, negative
32,1.0,1.0,0.0,0.0,1.0,2.0,2.0, negative
33,1.0,1.0,0.0,0.0,2.0,2.0,2.0, negative
34,2.0,0.0,0.0,0.0,2.0,2.0,2.0, negative
35,0.0,1.0,0.0,0.0,2.0,2.0,2.0, negative
36,0.0,0.0,0.0,0.0,2.0,2.0,2.0, negative
37,2.0,0.0,0.0,0.0,2.0,2.0,2.0, negative
38,1.0,1.0,0.0,0.0,2.0,2.0,2.0, negative
39,0.0,0.0,0.0,0.0,0.0,2.0,0.0, negative
40,0.0,1.0,0.0,0.0,0.0,2.0,2.0, negative
41,0.0,1.0,0.0,0.0,1.0,2.0,0.0, negative
42,1.0,0.0,0.0,0.0,0.0,2.0,0.0, negative
43,1.0,2.0,0.0,0.0,2.0,2.0,2.0, negative
44,2.0,1.0,0.0,0.0,2.0,2.0,2.0, negative
45,2.0,0.0,0.0,0.0,2.0,2.0,2.0, negative
46,2.0,2.0,0.0,0.0,2.0,2.0,2.0, negative
47,1.0,1.0,0.0,0.0,2.0,2.0,2.0, negative
48,1.0,0.0,0.0,0.0,1.0,2.0,2.0, negative
49,2.0,1.0,0.0,0.0,2.0,2.0,2.0, negative
50,2.0,2.0,0.0,0.0,2.0,1.0,0.0, negative
51,1.0,1.0,0.0,0.0,2.0,0.0,0.0, negative
52,1.0,1.0,0.0,0.0,2.0,1.0,0.0, negative
53,2.0,1.0,0.0,0.0,2.0,1.0,0.0, negative
54,1.0,1.0,0.0,0.0,2.0,2.0,1.0, negative
55,2.0,1.0,0.0,0.0,2.0,2.0,0.0, negative
56,2.0,1.0,0.0,0.0,1.0,2.0,1.0, positive
57,1.0,2.0,0.0,0.0,0.0,1.0,1.0, positive
58,2.0,2.0,0.0,0.0,2.0,1.0,0.0, positive
59,2.0,1.0,0.0,0.0,1.0,2.0,2.0, positive
60,2.0,2.0,0.0,0.0,0.0,2.0,0.0, positive
61,2.0,2.0,0.0,0.0,0.0,2.0,0.0, positive
62,2.0,1.0,0.0,0.0,1.0,1.0,2.0, positive
63,1.0,2.0,0.0,0.0,1.0,0.0,1.0, positive
64,2.0,1.0,0.0,0.0,2.0,1.0,1.0, positive
65,1.0,1.0,0.0,0.0,1.0,1.0,1.0, positive
66,2.0,1.0,0.0,0.0,2.0,2.0,1.0, positive
67,2.0,2.0,0.0,0.0,2.0,2.0,0.0, positive
68,1.0,1.0,0.0,0.0,1.0,1.0,2.0, positive
69,2.0,2.0,0.0,0.0,0.0,2.0,0.0, positive
70,2.0,2.0,0.0,0.0,1.0,1.0,0.0, positive
71,2.0,1.0,0.0,0.0,2.0,0.0,1.0, positive
72,1.0,2.0,0.0,0.0,0.0,2.0,2.0, positive
73,1.0,1.0,0.0,0.0,0.0,1.0,0.0, positive
74,2.0,2.0,0.0,0.0,0.0,2.0,1.0, positive
75,1.0,2.0,0.0,0.0,0.0,0.0,1.0, positive
76,2.0,2.0,0.0,0.0,0.0,1.0,0.0, positive
77,1.0,2.0,0.0,0.0,1.0,1.0,0.0, positive
78,2.0,2.0,0.0,0.0,0.0,2.0,2.0, positive
79,0.0,0.0,0.0,0.0,2.0,0.0,1.0, positive
80,1.0,1.0,0.0,0.0,1.0,2.0,0.0, positive
81,2.0,2.0,0.0,0.0,1.0,1.0,1.0, positive
82,1.0,2.0,0.0,0.0,0.0,1.0,0.0, positive
83,1.0,2.0,0.0,0.0,0.0,1.0,0.0, positive
84,1.0,2.0,0.0,0.0,2.0,1.0,1.0, positive
85,2.0,2.0,0.0,0.0,1.0,1.0,1.0, positive
86,1.0,2.0,0.0,0.0,0.0,1.0,1.0, positive
87,2.0,0.0,0.0,0.0,2.0,2.0,1.0, positive
88,1.0,1.0,0.0,0.0,0.0,1.0,1.0, positive
89,2.0,2.0,0.0,0.0,0.0,1.0,0.0, positive
90,2.0,2.0,0.0,0.0,1.0,2.0,2.0, positive
91,2.0,2.0,0.0,0.0,1.0,2.0,0.0, positive
92,1.0,2.0,0.0,0.0,0.0,1.0,0.0, positive
93,1.0,2.0,0.0,0.0,1.0,0.0,0.0, positive
94,1.0,2.0,0.0,0.0,0.0,1.0,1.0, positive
95,2.0,2.0,0.0,0.0,1.0,1.0,0.0, positive
96,1.0,2.0,0.0,0.0,2.0,0.0,1.0, positive
97,1.0,2.0,0.0,0.0,1.0,1.0,2.0, positive
98,2.0,2.0,0.0,0.0,1.0,1.0,1.0, positive
99,1.0,2.0,0.0,0.0,0.0,1.0,2.0, positive
100,0.0,0.0,0.0,0.0,2.0,1.0,2.0, positive
101,1.0,1.0,0.0,0.0,1.0,0.0,0.0, positive
102,2.0,2.0,0.0,0.0,0.0,1.0,0.0, positive
103,0.0,1.0,0.0,0.0,2.0,1.0,2.0, positive
104,2.0,1.0,0.0,0.0,1.0,2.0,0.0, positive
105,2.0,1.0,0.0,0.0,1.0,0.0,0.0, positive
106,1.0,1.0,0.0,0.0,1.0,1.0,1.0, positive
107,2.0,2.0,0.0,0.0,0.0,2.0,2.0, positive
