%
% Comments go after a '%' sign.
%
%
% Relation: World Cup 2014
%
%
% Attributes: 6     Instances: 79
%
%

@relation World Cup 2014

@attribute '0' numeric
@attribute '0' numeric
@attribute '1' numeric
@attribute '2' numeric
@attribute '3' numeric
@attribute 'y' {' negative'}

@data
0,1.0,1.0,1.0,0.0,' negative'
1,1.0,1.0,1.0,1.0,' negative'
2,1.0,2.0,1.0,1.0,' negative'
3,1.0,1.0,1.0,1.0,' negative'
4,0.0,0.0,0.0,0.0,' negative'
5,0.0,1.0,1.0,0.0,' negative'
6,1.0,2.0,1.0,1.0,' negative'
7,0.0,0.0,0.0,0.0,' negative'
8,0.0,1.0,0.0,1.0,' negative'
9,1.0,1.0,1.0,0.0,' negative'
10,0.0,1.0,0.0,0.0,' negative'
11,1.0,1.0,1.0,0.0,' negative'
12,0.0,0.0,0.0,0.0,' negative'
13,1.0,0.0,1.0,1.0,' negative'
14,0.0,0.0,0.0,0.0,' negative'
15,0.0,1.0,1.0,1.0,' negative'
16,1.0,1.0,0.0,0.0,' negative'
17,1.0,0.0,1.0,1.0,' negative'
18,1.0,1.0,1.0,0.0,' negative'
19,1.0,1.0,1.0,0.0,' negative'
20,1.0,1.0,1.0,1.0,' negative'
21,0.0,0.0,0.0,0.0,' negative'
22,0.0,0.0,0.0,0.0,' negative'
23,0.0,0.0,0.0,0.0,' negative'
24,0.0,0.0,0.0,0.0,' negative'
25,1.0,0.0,1.0,1.0,' negative'
26,0.0,1.0,1.0,1.0,' negative'
27,1.0,1.0,1.0,1.0,' negative'
28,1.0,0.0,1.0,0.0,' negative'
29,0.0,1.0,0.0,0.0,' negative'
30,0.0,0.0,0.0,0.0,' negative'
31,0.0,0.0,1.0,0.0,' negative'
32,1.0,1.0,1.0,0.0,' negative'
33,0.0,0.0,0.0,0.0,' negative'
34,0.0,0.0,0.0,0.0,' negative'
35,0.0,0.0,0.0,0.0,' negative'
36,0.0,1.0,0.0,0.0,' negative'
37,1.0,1.0,1.0,0.0,' negative'
38,0.0,0.0,0.0,0.0,' negative'
39,1.0,2.0,2.0,2.0,' negative'
40,0.0,0.0,1.0,1.0,' negative'
41,2.0,1.0,2.0,2.0,' negative'
42,1.0,1.0,2.0,1.0,' negative'
43,1.0,1.0,2.0,2.0,' negative'
44,2.0,1.0,2.0,1.0,' negative'
45,2.0,2.0,2.0,2.0,' negative'
46,1.0,1.0,1.0,2.0,' negative'
47,1.0,0.0,1.0,1.0,' negative'
48,1.0,1.0,1.0,2.0,' negative'
49,0.0,0.0,1.0,2.0,' negative'
50,0.0,1.0,1.0,2.0,' negative'
51,1.0,1.0,1.0,2.0,' negative'
52,2.0,2.0,2.0,2.0,' negative'
53,0.0,1.0,1.0,2.0,' negative'
54,2.0,1.0,2.0,2.0,' negative'
55,1.0,0.0,1.0,1.0,' negative'
56,1.0,2.0,2.0,2.0,' negative'
57,2.0,1.0,2.0,1.0,' negative'
58,1.0,1.0,1.0,1.0,' negative'
59,1.0,1.0,2.0,2.0,' negative'
60,2.0,1.0,2.0,1.0,' negative'
61,2.0,1.0,2.0,1.0,' negative'
62,2.0,2.0,2.0,2.0,' negative'
63,1.0,1.0,2.0,2.0,' negative'
64,1.0,1.0,1.0,1.0,' negative'
65,2.0,1.0,2.0,2.0,' negative'
66,1.0,1.0,1.0,1.0,' negative'
67,1.0,1.0,1.0,1.0,' negative'
68,1.0,1.0,1.0,2.0,' negative'
69,0.0,0.0,1.0,1.0,' negative'
70,1.0,2.0,2.0,2.0,' negative'
71,1.0,1.0,1.0,2.0,' negative'
72,1.0,0.0,1.0,1.0,' negative'
73,1.0,2.0,1.0,2.0,' negative'
74,0.0,1.0,1.0,1.0,' negative'
75,1.0,1.0,1.0,1.0,' negative'
76,2.0,0.0,2.0,2.0,' negative'
77,1.0,1.0,2.0,2.0,' negative'
78,1.0,1.0,1.0,1.0,' negative'
