,0,1,2,3,4,5,6,7,y
0,0.0,4.0,3.0,2.0,0.0,0.0,3.0,1.0, negative
1,0.0,0.0,3.0,4.0,0.0,0.0,1.0,1.0, negative
2,2.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0, negative
3,1.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0, negative
4,2.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0, negative
5,1.0,0.0,3.0,1.0,0.0,0.0,3.0,2.0, negative
6,2.0,1.0,4.0,4.0,0.0,0.0,3.0,1.0, negative
7,2.0,4.0,0.0,3.0,0.0,0.0,4.0,1.0, negative
8,1.0,1.0,3.0,4.0,0.0,0.0,4.0,2.0, negative
9,3.0,3.0,0.0,2.0,0.0,0.0,4.0,2.0, negative
10,2.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0, negative
11,1.0,3.0,2.0,4.0,0.0,0.0,0.0,1.0, negative
12,0.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0, negative
13,2.0,0.0,2.0,4.0,0.0,0.0,2.0,1.0, negative
14,1.0,2.0,3.0,4.0,0.0,0.0,4.0,1.0, negative
15,0.0,1.0,3.0,4.0,0.0,0.0,2.0,1.0, negative
16,1.0,2.0,4.0,4.0,0.0,0.0,3.0,1.0, negative
17,2.0,1.0,3.0,4.0,0.0,0.0,3.0,1.0, negative
18,2.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0, negative
19,1.0,3.0,4.0,4.0,0.0,0.0,1.0,1.0, negative
20,1.0,2.0,4.0,4.0,0.0,0.0,3.0,1.0, negative
21,2.0,3.0,4.0,3.0,0.0,0.0,2.0,1.0, negative
22,0.0,2.0,4.0,1.0,0.0,0.0,3.0,1.0, negative
23,2.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0, negative
24,2.0,2.0,4.0,4.0,0.0,0.0,0.0,2.0, negative
25,1.0,0.0,4.0,3.0,0.0,0.0,4.0,0.0, negative
26,2.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0, negative
27,3.0,3.0,4.0,1.0,0.0,0.0,2.0,1.0, negative
28,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0, negative
29,2.0,1.0,4.0,3.0,0.0,0.0,2.0,1.0, negative
30,0.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0, negative
31,3.0,3.0,3.0,2.0,0.0,0.0,4.0,1.0, negative
32,2.0,2.0,4.0,4.0,0.0,0.0,4.0,1.0, negative
33,3.0,1.0,4.0,0.0,0.0,0.0,2.0,1.0, negative
34,1.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0, negative
35,0.0,1.0,4.0,1.0,0.0,0.0,3.0,1.0, negative
36,2.0,3.0,3.0,4.0,0.0,0.0,2.0,2.0, negative
37,1.0,3.0,3.0,2.0,0.0,0.0,4.0,1.0, negative
38,2.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0, negative
39,0.0,4.0,1.0,3.0,0.0,0.0,2.0,2.0, negative
40,1.0,2.0,4.0,4.0,0.0,0.0,3.0,1.0, negative
41,2.0,1.0,4.0,3.0,0.0,0.0,0.0,2.0, negative
42,2.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0, negative
43,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0, negative
44,3.0,3.0,2.0,2.0,0.0,0.0,4.0,1.0, negative
45,0.0,2.0,3.0,4.0,0.0,0.0,1.0,1.0, negative
46,1.0,2.0,4.0,4.0,0.0,0.0,0.0,1.0, negative
47,3.0,3.0,4.0,3.0,0.0,0.0,0.0,2.0, negative
48,1.0,1.0,3.0,3.0,0.0,0.0,3.0,1.0, negative
49,1.0,3.0,4.0,2.0,0.0,0.0,1.0,1.0, negative
50,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0, negative
51,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0, negative
52,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0, negative
53,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0, negative
54,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0, negative
55,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0, negative
56,1.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0, negative
57,0.0,2.0,1.0,2.0,0.0,0.0,3.0,1.0, negative
58,2.0,4.0,0.0,3.0,0.0,0.0,4.0,2.0, negative
59,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0, negative
60,1.0,1.0,2.0,2.0,0.0,0.0,4.0,2.0, negative
61,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0, negative
62,1.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0, negative
63,2.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0, negative
64,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0, negative
65,3.0,3.0,1.0,0.0,0.0,0.0,3.0,2.0, negative
66,1.0,3.0,1.0,3.0,0.0,0.0,3.0,2.0, negative
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0, negative
68,1.0,0.0,2.0,2.0,0.0,0.0,4.0,1.0, negative
69,0.0,3.0,1.0,1.0,0.0,0.0,4.0,1.0, negative
70,2.0,0.0,1.0,4.0,0.0,0.0,2.0,2.0, negative
71,2.0,1.0,2.0,4.0,0.0,0.0,1.0,2.0, negative
72,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0, negative
73,2.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0, negative
74,0.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0, negative
75,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0, negative
76,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0, negative
77,3.0,3.0,2.0,1.0,0.0,0.0,4.0,2.0, negative
78,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0, negative
79,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0, negative
80,3.0,4.0,3.0,3.0,0.0,0.0,0.0,1.0, negative
81,4.0,4.0,2.0,3.0,0.0,0.0,0.0,1.0, negative
82,3.0,4.0,3.0,0.0,0.0,0.0,3.0,1.0, negative
83,3.0,4.0,3.0,2.0,0.0,0.0,0.0,1.0, negative
84,4.0,4.0,2.0,3.0,0.0,0.0,0.0,1.0, negative
85,3.0,4.0,3.0,2.0,0.0,0.0,1.0,1.0, negative
86,1.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0, negative
87,4.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0, negative
88,1.0,1.0,3.0,1.0,0.0,0.0,4.0,1.0, negative
89,3.0,4.0,3.0,0.0,0.0,0.0,4.0,2.0, negative
90,3.0,2.0,4.0,4.0,0.0,0.0,4.0,1.0, negative
91,3.0,2.0,1.0,0.0,0.0,0.0,4.0,1.0, negative
92,4.0,4.0,4.0,2.0,0.0,0.0,3.0,1.0, negative
93,4.0,2.0,0.0,3.0,0.0,0.0,4.0,1.0, negative
94,3.0,4.0,3.0,2.0,0.0,0.0,4.0,1.0, negative
95,3.0,3.0,1.0,2.0,0.0,0.0,3.0,1.0, positive
96,4.0,3.0,1.0,1.0,0.0,0.0,4.0,1.0, positive
97,3.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0, positive
98,4.0,4.0,0.0,3.0,0.0,0.0,2.0,1.0, positive
99,4.0,4.0,4.0,4.0,0.0,0.0,4.0,1.0, positive
100,4.0,1.0,2.0,2.0,0.0,0.0,3.0,2.0, positive
101,4.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0, positive
102,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0, positive
103,3.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0, positive
104,3.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0, positive
105,4.0,4.0,1.0,2.0,0.0,0.0,4.0,1.0, positive
106,4.0,2.0,2.0,2.0,0.0,0.0,4.0,1.0, positive
107,3.0,4.0,4.0,4.0,0.0,0.0,0.0,2.0, positive
108,2.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0, positive
109,4.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0, positive
110,3.0,2.0,1.0,2.0,0.0,0.0,3.0,1.0, positive
111,2.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0, positive
112,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0, positive
113,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0, positive
114,4.0,4.0,4.0,4.0,0.0,0.0,4.0,1.0, positive
115,3.0,1.0,2.0,2.0,0.0,0.0,4.0,1.0, positive
116,4.0,3.0,2.0,3.0,0.0,0.0,4.0,1.0, positive
117,4.0,4.0,4.0,3.0,0.0,0.0,2.0,2.0, positive
118,2.0,4.0,1.0,3.0,0.0,0.0,4.0,2.0, positive
119,4.0,3.0,0.0,4.0,0.0,0.0,4.0,1.0, positive
120,0.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0, positive
121,3.0,3.0,0.0,4.0,0.0,0.0,2.0,1.0, positive
122,3.0,2.0,1.0,3.0,0.0,0.0,2.0,1.0, positive
123,4.0,3.0,4.0,0.0,0.0,0.0,4.0,1.0, positive
124,4.0,2.0,2.0,4.0,0.0,0.0,2.0,2.0, positive
125,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0, positive
126,4.0,4.0,1.0,1.0,0.0,0.0,4.0,1.0, positive
127,4.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0, positive
128,4.0,2.0,1.0,3.0,0.0,0.0,2.0,1.0, positive
