@relation ./ML-assignments/Assignment6/databases_disc/databases_EWD2_arff/vowel0/EWD2vowel0-5-2tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute Class {' negative',' positive'}
@data
0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1.0,3.0,1.0,' negativ
1,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1.0,3.0,1.0,' negativ
2,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,1.0,4.0,2.0,3.0,2.0,' negativ
3,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0,1.0,' negativ
4,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,4.0,1.0,3.0,2.0,' negativ
5,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,1.0,4.0,2.0,3.0,2.0,' negativ
6,0.0,0.0,0.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,' negativ
7,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,' negativ
8,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,1.0,2.0,3.0,4.0,2.0,' negativ
9,0.0,0.0,0.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0,' negativ
10,0.0,0.0,0.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,' negativ
11,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,4.0,2.0,2.0,' negativ
12,0.0,0.0,0.0,1.0,1.0,3.0,2.0,3.0,3.0,4.0,2.0,1.0,1.0,' positiv
13,0.0,0.0,0.0,3.0,2.0,3.0,1.0,2.0,0.0,2.0,1.0,4.0,2.0,' negativ
14,0.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,' negativ
15,0.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,1.0,3.0,3.0,2.0,3.0,' negativ
16,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,' negativ
17,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,' negativ
18,0.0,0.0,0.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,' negativ
19,0.0,0.0,0.0,0.0,1.0,4.0,3.0,3.0,2.0,3.0,1.0,0.0,1.0,' positiv
20,0.0,0.0,0.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,' negativ
