%
% Comments go after a '%' sign.
%
%
% Relation: World Cup 2014
%
%
% Attributes: 8     Instances: 86
%
%

@relation World Cup 2014

@attribute '0' numeric
@attribute '0' numeric
@attribute '1' numeric
@attribute '2' numeric
@attribute '3' numeric
@attribute '4' numeric
@attribute '5' numeric
@attribute 'y' {' negative',' positive'}

@data
0,0.0,1.0,2.0,1.0,0.0,0.0,' negative'
1,1.0,1.0,2.0,1.0,0.0,1.0,' negative'
2,1.0,0.0,2.0,1.0,0.0,1.0,' negative'
3,1.0,1.0,2.0,1.0,0.0,1.0,' negative'
4,1.0,1.0,2.0,1.0,0.0,1.0,' negative'
5,0.0,0.0,2.0,1.0,1.0,1.0,' negative'
6,1.0,1.0,2.0,0.0,0.0,0.0,' negative'
7,1.0,1.0,2.0,0.0,1.0,1.0,' negative'
8,0.0,1.0,2.0,1.0,1.0,1.0,' negative'
9,1.0,1.0,2.0,1.0,1.0,1.0,' negative'
10,1.0,1.0,2.0,1.0,0.0,1.0,' negative'
11,0.0,1.0,2.0,1.0,0.0,1.0,' negative'
12,1.0,1.0,2.0,1.0,0.0,1.0,' negative'
13,1.0,1.0,2.0,1.0,0.0,1.0,' negative'
14,0.0,1.0,2.0,1.0,1.0,1.0,' negative'
15,0.0,1.0,2.0,0.0,0.0,1.0,' negative'
16,2.0,2.0,2.0,1.0,1.0,1.0,' negative'
17,1.0,1.0,2.0,1.0,0.0,1.0,' negative'
18,0.0,0.0,2.0,1.0,0.0,1.0,' negative'
19,1.0,1.0,2.0,1.0,1.0,0.0,' negative'
20,1.0,1.0,2.0,1.0,0.0,0.0,' negative'
21,2.0,1.0,2.0,1.0,1.0,1.0,' negative'
22,1.0,1.0,2.0,1.0,1.0,1.0,' negative'
23,0.0,1.0,2.0,1.0,1.0,1.0,' negative'
24,1.0,1.0,2.0,1.0,1.0,1.0,' negative'
25,0.0,0.0,2.0,1.0,0.0,1.0,' negative'
26,2.0,1.0,2.0,1.0,2.0,2.0,' negative'
27,1.0,0.0,2.0,1.0,2.0,2.0,' negative'
28,1.0,2.0,2.0,1.0,2.0,2.0,' negative'
29,0.0,0.0,2.0,2.0,2.0,2.0,' negative'
30,1.0,1.0,2.0,1.0,0.0,2.0,' negative'
31,0.0,2.0,2.0,0.0,2.0,2.0,' negative'
32,1.0,1.0,2.0,1.0,2.0,2.0,' negative'
33,1.0,1.0,2.0,1.0,2.0,2.0,' negative'
34,0.0,1.0,2.0,2.0,2.0,2.0,' negative'
35,0.0,2.0,2.0,1.0,2.0,2.0,' negative'
36,0.0,0.0,0.0,1.0,2.0,0.0,' negative'
37,2.0,1.0,2.0,1.0,2.0,1.0,' negative'
38,2.0,1.0,2.0,1.0,0.0,2.0,' negative'
39,1.0,1.0,2.0,1.0,2.0,2.0,' negative'
40,1.0,1.0,2.0,0.0,2.0,2.0,' negative'
41,0.0,1.0,2.0,1.0,2.0,1.0,' negative'
42,2.0,2.0,2.0,2.0,2.0,2.0,' negative'
43,2.0,0.0,2.0,2.0,2.0,2.0,' negative'
44,2.0,1.0,2.0,1.0,2.0,2.0,' negative'
45,2.0,1.0,2.0,1.0,2.0,2.0,' negative'
46,2.0,1.0,2.0,2.0,2.0,2.0,' negative'
47,0.0,1.0,2.0,0.0,2.0,2.0,' negative'
48,2.0,1.0,2.0,2.0,1.0,2.0,' negative'
49,2.0,1.0,2.0,2.0,2.0,0.0,' negative'
50,2.0,1.0,2.0,0.0,2.0,2.0,' negative'
51,2.0,1.0,2.0,1.0,1.0,1.0,' negative'
52,2.0,0.0,2.0,1.0,1.0,1.0,' negative'
53,2.0,0.0,2.0,1.0,1.0,1.0,' negative'
54,2.0,2.0,2.0,1.0,1.0,1.0,' negative'
55,2.0,2.0,2.0,0.0,1.0,0.0,' negative'
56,2.0,2.0,2.0,0.0,1.0,1.0,' negative'
57,2.0,2.0,2.0,1.0,1.0,1.0,' negative'
58,2.0,2.0,2.0,1.0,1.0,0.0,' negative'
59,2.0,0.0,2.0,1.0,1.0,1.0,' negative'
60,2.0,2.0,2.0,1.0,1.0,1.0,' negative'
61,2.0,0.0,2.0,1.0,1.0,0.0,' positive'
62,2.0,2.0,2.0,2.0,1.0,0.0,' positive'
63,2.0,1.0,2.0,2.0,1.0,1.0,' positive'
64,2.0,2.0,2.0,2.0,1.0,1.0,' positive'
65,2.0,1.0,0.0,1.0,1.0,0.0,' positive'
66,2.0,2.0,2.0,2.0,0.0,0.0,' positive'
67,2.0,2.0,2.0,2.0,1.0,0.0,' positive'
68,2.0,2.0,2.0,2.0,0.0,0.0,' positive'
69,2.0,2.0,2.0,1.0,1.0,1.0,' positive'
70,2.0,2.0,2.0,2.0,1.0,1.0,' positive'
71,2.0,2.0,2.0,2.0,1.0,0.0,' positive'
72,2.0,1.0,2.0,2.0,1.0,0.0,' positive'
73,2.0,2.0,2.0,2.0,1.0,0.0,' positive'
74,2.0,2.0,2.0,2.0,1.0,0.0,' positive'
75,1.0,2.0,2.0,2.0,1.0,1.0,' positive'
76,1.0,2.0,2.0,2.0,1.0,1.0,' positive'
77,2.0,1.0,2.0,0.0,1.0,0.0,' positive'
78,0.0,2.0,0.0,2.0,1.0,1.0,' positive'
79,2.0,2.0,2.0,2.0,1.0,0.0,' positive'
80,2.0,1.0,2.0,2.0,1.0,0.0,' positive'
81,2.0,2.0,2.0,2.0,0.0,0.0,' positive'
82,2.0,1.0,0.0,1.0,1.0,0.0,' positive'
83,2.0,1.0,0.0,1.0,1.0,1.0,' positive'
84,2.0,1.0,0.0,2.0,1.0,0.0,' positive'
85,2.0,1.0,0.0,2.0,1.0,0.0,' positive'
