%
% Comments go after a '%' sign.
%
%
% Relation: World Cup 2014
%
%
% Attributes: 11     Instances: 30
%
%

@relation World Cup 2014

@attribute '0' numeric
@attribute '0' numeric
@attribute '1' numeric
@attribute '2' numeric
@attribute '3' numeric
@attribute '4' numeric
@attribute '5' numeric
@attribute '6' numeric
@attribute '7' numeric
@attribute '8' numeric
@attribute 'y' {' negative',' positive'}

@data
0,6.0,7.0,5.0,9.0,7.0,6.0,1.0,1.0,3.0,' negative'
1,6.0,5.0,5.0,0.0,7.0,6.0,0.0,1.0,3.0,' negative'
2,4.0,7.0,2.0,5.0,0.0,1.0,2.0,9.0,9.0,' negative'
3,4.0,7.0,3.0,4.0,4.0,5.0,1.0,5.0,5.0,' negative'
4,4.0,7.0,2.0,7.0,1.0,7.0,2.0,9.0,9.0,' negative'
5,4.0,7.0,3.0,4.0,4.0,6.0,1.0,5.0,5.0,' negative'
6,4.0,5.0,2.0,1.0,1.0,6.0,2.0,9.0,9.0,' negative'
7,6.0,7.0,5.0,8.0,7.0,6.0,1.0,1.0,3.0,' negative'
8,4.0,6.0,3.0,4.0,4.0,6.0,1.0,4.0,5.0,' negative'
9,3.0,7.0,1.0,4.0,1.0,6.0,2.0,8.0,8.0,' negative'
10,3.0,7.0,1.0,2.0,1.0,6.0,2.0,8.0,8.0,' negative'
11,4.0,7.0,3.0,4.0,4.0,3.0,1.0,5.0,5.0,' negative'
12,3.0,7.0,1.0,2.0,0.0,6.0,2.0,9.0,8.0,' negative'
13,7.0,7.0,6.0,3.0,7.0,9.0,0.0,1.0,3.0,' negative'
14,4.0,8.0,2.0,4.0,2.0,6.0,2.0,7.0,7.0,' negative'
15,7.0,7.0,6.0,7.0,7.0,6.0,0.0,1.0,3.0,' negative'
16,4.0,7.0,3.0,0.0,4.0,6.0,1.0,5.0,5.0,' negative'
17,6.0,7.0,4.0,4.0,7.0,8.0,0.0,0.0,2.0,' negative'
18,6.0,7.0,4.0,4.0,7.0,7.0,0.0,0.0,2.0,' negative'
19,4.0,6.0,2.0,4.0,3.0,6.0,2.0,6.0,6.0,' negative'
20,6.0,8.0,5.0,6.0,7.0,6.0,0.0,1.0,3.0,' negative'
21,3.0,7.0,1.0,5.0,0.0,6.0,2.0,8.0,8.0,' negative'
22,4.0,7.0,3.0,4.0,4.0,3.0,1.0,4.0,5.0,' negative'
23,4.0,7.0,3.0,4.0,4.0,4.0,1.0,5.0,5.0,' negative'
24,6.0,7.0,5.0,4.0,7.0,6.0,0.0,1.0,3.0,' negative'
25,5.0,3.0,6.0,4.0,6.0,0.0,3.0,2.0,2.0,' positive'
26,2.0,4.0,6.0,4.0,6.0,4.0,5.0,2.0,0.0,' positive'
27,2.0,4.0,6.0,4.0,6.0,2.0,5.0,2.0,1.0,' positive'
28,0.0,0.0,0.0,4.0,5.0,6.0,6.0,3.0,1.0,' positive'
29,1.0,2.0,0.0,4.0,4.0,6.0,4.0,4.0,4.0,' positive'
