,0,1,2,3,Class
0,3.0,6.0,0.0,0.0, positive
1,3.0,7.0,1.0,0.0, positive
2,2.0,7.0,0.0,0.0, positive
3,1.0,3.0,0.0,0.0, positive
4,1.0,3.0,0.0,0.0, positive
5,0.0,3.0,0.0,0.0, positive
6,2.0,7.0,1.0,0.0, positive
7,1.0,3.0,0.0,0.0, positive
8,1.0,5.0,1.0,2.0, positive
9,4.0,5.0,6.0,6.0, negative
10,7.0,3.0,6.0,5.0, negative
11,5.0,4.0,6.0,6.0, negative
12,6.0,3.0,5.0,5.0, negative
13,4.0,1.0,5.0,3.0, negative
14,6.0,3.0,6.0,5.0, negative
15,3.0,0.0,5.0,5.0, negative
16,5.0,3.0,6.0,5.0, negative
17,1.0,0.0,4.0,3.0, negative
18,3.0,1.0,5.0,5.0, negative
19,8.0,6.0,8.0,9.0, negative
20,3.0,0.0,7.0,7.0, negative
21,9.0,2.0,9.0,7.0, negative
22,6.0,4.0,8.0,8.0, negative
23,9.0,7.0,9.0,7.0, negative
24,5.0,2.0,8.0,8.0, negative
25,6.0,4.0,8.0,9.0, negative
26,6.0,3.0,7.0,9.0, negative
27,5.0,0.0,7.0,7.0, negative
28,4.0,3.0,7.0,7.0, negative
29,2.0,5.0,0.0,0.0, positive
30,1.0,3.0,0.0,0.0, positive
31,0.0,3.0,0.0,0.0, positive
32,1.0,6.0,0.0,0.0, positive
33,3.0,7.0,1.0,1.0, positive
34,1.0,5.0,0.0,0.0, positive
35,0.0,2.0,0.0,0.0, positive
36,1.0,5.0,1.0,0.0, positive
37,1.0,3.0,0.0,0.0, positive
38,0.0,3.0,0.0,0.0, positive
39,3.0,9.0,0.0,1.0, positive
40,3.0,7.0,0.0,1.0, positive
41,2.0,5.0,0.0,0.0, positive
42,3.0,5.0,1.0,0.0, positive
43,2.0,6.0,0.0,1.0, positive
44,0.0,6.0,0.0,0.0, positive
45,2.0,4.0,1.0,1.0, positive
46,1.0,5.0,1.0,0.0, positive
47,1.0,3.0,1.0,0.0, positive
48,1.0,5.0,1.0,1.0, positive
49,2.0,5.0,0.0,0.0, positive
50,2.0,5.0,0.0,0.0, positive
51,1.0,4.0,1.0,0.0, positive
52,1.0,3.0,1.0,0.0, positive
53,3.0,5.0,0.0,1.0, positive
54,2.0,8.0,0.0,0.0, positive
55,3.0,9.0,0.0,0.0, positive
56,1.0,4.0,0.0,0.0, positive
57,3.0,5.0,0.0,0.0, positive
58,2.0,5.0,0.0,0.0, positive
59,1.0,5.0,0.0,0.0, positive
60,0.0,0.0,0.0,0.0, positive
61,2.0,7.0,1.0,1.0, positive
62,1.0,3.0,0.0,0.0, positive
63,0.0,4.0,0.0,0.0, positive
64,2.0,6.0,0.0,0.0, positive
65,1.0,4.0,0.0,0.0, positive
66,1.0,4.0,0.0,0.0, positive
67,4.0,8.0,0.0,0.0, positive
68,0.0,4.0,0.0,0.0, positive
