%
% Comments go after a '%' sign.
%
%
% Relation: World Cup 2014
%
%
% Attributes: 21     Instances: 724
%
%

@relation World Cup 2014

@attribute '0' numeric
@attribute '0' numeric
@attribute '1' numeric
@attribute '2' numeric
@attribute '3' numeric
@attribute '4' numeric
@attribute '5' numeric
@attribute '6' numeric
@attribute '7' numeric
@attribute '8' numeric
@attribute '9' numeric
@attribute '10' numeric
@attribute '11' numeric
@attribute '12' numeric
@attribute '13' numeric
@attribute '14' numeric
@attribute '15' numeric
@attribute '16' numeric
@attribute '17' numeric
@attribute '18' numeric
@attribute 'y' {' negative',' positive'}

@data
0,7.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,6.0,1.0,8.0,2.0,3.0,9.0,' negative'
1,0.0,2.0,0.0,0.0,0.0,5.0,8.0,5.0,7.0,2.0,1.0,3.0,1.0,4.0,4.0,5.0,3.0,6.0,0.0,' negative'
2,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,6.0,0.0,0.0,1.0,' negative'
3,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,6.0,0.0,0.0,1.0,' negative'
4,8.0,9.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,6.0,0.0,9.0,2.0,5.0,7.0,' negative'
5,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,5.0,0.0,9.0,1.0,' negative'
6,1.0,7.0,0.0,0.0,0.0,2.0,1.0,4.0,3.0,5.0,4.0,6.0,4.0,4.0,6.0,1.0,6.0,3.0,1.0,' negative'
7,1.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,5.0,4.0,6.0,4.0,5.0,5.0,1.0,6.0,2.0,1.0,' negative'
8,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,3.0,4.0,1.0,6.0,1.0,' negative'
9,7.0,8.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,2.0,0.0,1.0,1.0,6.0,0.0,9.0,2.0,4.0,8.0,' negative'
10,4.0,3.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,5.0,4.0,6.0,4.0,4.0,6.0,1.0,6.0,2.0,1.0,' negative'
11,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,3.0,4.0,1.0,6.0,1.0,' negative'
12,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,8.0,3.0,2.0,3.0,4.0,2.0,' positive'
13,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,2.0,4.0,2.0,5.0,4.0,2.0,4.0,3.0,1.0,' negative'
14,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,0.0,9.0,0.0,' negative'
15,3.0,3.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,8.0,2.0,2.0,2.0,4.0,2.0,' positive'
16,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,4.0,1.0,6.0,4.0,' positive'
17,0.0,8.0,0.0,0.0,0.0,3.0,1.0,4.0,2.0,4.0,3.0,5.0,3.0,5.0,5.0,1.0,5.0,3.0,1.0,' negative'
18,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,4.0,1.0,6.0,3.0,' positive'
19,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,5.0,0.0,9.0,1.0,' negative'
20,8.0,4.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,5.0,4.0,3.0,2.0,5.0,1.0,' negative'
21,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,9.0,2.0,3.0,2.0,4.0,3.0,' positive'
22,4.0,6.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,7.0,0.0,7.0,2.0,2.0,8.0,' negative'
23,3.0,4.0,0.0,2.0,0.0,1.0,0.0,2.0,3.0,2.0,1.0,2.0,1.0,8.0,3.0,2.0,3.0,4.0,2.0,' positive'
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,7.0,8.0,6.0,1.0,8.0,1.0,8.0,2.0,0.0,' negative'
25,0.0,2.0,0.0,0.0,0.0,6.0,2.0,8.0,4.0,3.0,1.0,3.0,2.0,4.0,3.0,6.0,3.0,4.0,0.0,' negative'
26,4.0,7.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,3.0,2.0,3.0,2.0,6.0,3.0,3.0,3.0,2.0,1.0,' negative'
27,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,3.0,1.0,3.0,5.0,3.0,3.0,6.0,0.0,' negative'
28,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,4.0,1.0,5.0,4.0,' positive'
29,5.0,7.0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,4.0,3.0,5.0,3.0,6.0,4.0,2.0,5.0,2.0,1.0,' negative'
30,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,8.0,9.0,8.0,2.0,6.0,3.0,9.0,1.0,0.0,' negative'
31,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,7.0,5.0,0.0,9.0,0.0,7.0,4.0,0.0,' negative'
32,8.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,4.0,2.0,4.0,2.0,5.0,5.0,3.0,4.0,3.0,1.0,' negative'
33,7.0,4.0,0.0,0.0,0.0,3.0,1.0,4.0,5.0,4.0,2.0,4.0,3.0,6.0,4.0,3.0,4.0,2.0,1.0,' negative'
34,7.0,8.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,0.0,9.0,2.0,3.0,8.0,' negative'
35,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9.0,9.0,9.0,9.0,5.0,3.0,4.0,9.0,0.0,0.0,' negative'
36,3.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,8.0,8.0,9.0,8.0,2.0,6.0,3.0,9.0,1.0,0.0,' negative'
37,7.0,5.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,3.0,2.0,4.0,2.0,6.0,4.0,3.0,4.0,3.0,1.0,' negative'
38,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,2.0,4.0,1.0,5.0,1.0,' negative'
39,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,2.0,4.0,1.0,6.0,1.0,' negative'
40,3.0,4.0,0.0,0.0,0.0,3.0,1.0,3.0,4.0,1.0,0.0,1.0,0.0,6.0,3.0,5.0,1.0,7.0,0.0,' negative'
41,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,4.0,1.0,5.0,3.0,' positive'
42,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,8.0,7.0,2.0,7.0,1.0,8.0,1.0,0.0,' negative'
43,3.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,8.0,3.0,2.0,3.0,4.0,2.0,' positive'
44,4.0,6.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,6.0,0.0,0.0,0.0,' negative'
45,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,4.0,5.0,3.0,9.0,0.0,0.0,' negative'
46,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,6.0,0.0,9.0,0.0,' negative'
47,2.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,7.0,4.0,2.0,3.0,4.0,2.0,' positive'
