attr0,attr1,attr2,attr3,attr4,attr5,attr6,attrClass
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
0.0,0.0,0.0,0.0,0.0,0.0,0.0, negative
