@relation ./ML-assignments/Assignment6/databases_disc/databases_KBN3_arff/iris0/KBN3iris0-5-3tra.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute Class {' negative'}
@data
0,3.0,4.0,3.0,3.0,' negativ
1,3.0,7.0,3.0,4.0,' negativ
2,6.0,6.0,4.0,2.0,' negativ
3,4.0,6.0,3.0,3.0,' negativ
4,6.0,6.0,4.0,3.0,' negativ
5,1.0,1.0,2.0,1.0,' negativ
6,2.0,4.0,3.0,1.0,' negativ
7,4.0,7.0,4.0,4.0,' negativ
8,0.0,2.0,0.0,0.0,' negativ
9,0.0,3.0,2.0,2.0,' negativ
10,0.0,0.0,1.0,0.0,' negativ
11,3.0,5.0,3.0,3.0,' negativ
12,3.0,1.0,2.0,0.0,' negativ
13,3.0,4.0,4.0,2.0,' negativ
14,5.0,6.0,3.0,2.0,' negativ
15,1.0,5.0,3.0,3.0,' negativ
16,2.0,3.0,2.0,0.0,' negativ
17,4.0,1.0,3.0,3.0,' negativ
18,1.0,2.0,2.0,0.0,' negativ
19,3.0,6.0,4.0,5.0,' negativ
20,3.0,4.0,2.0,1.0,' negativ
21,3.0,4.0,4.0,1.0,' negativ
22,4.0,4.0,3.0,1.0,' negativ
23,5.0,5.0,5.0,4.0,' negativ
24,2.0,3.0,1.0,0.0,' negativ
25,1.0,2.0,2.0,0.0,' negativ
26,1.0,2.0,1.0,0.0,' negativ
27,2.0,3.0,2.0,1.0,' negativ
28,3.0,3.0,5.0,4.0,' negativ
29,5.0,6.0,4.0,3.0,' negativ
30,4.0,1.0,3.0,1.0,' negativ
31,1.0,5.0,2.0,1.0,' negativ
32,1.0,2.0,2.0,1.0,' negativ
33,1.0,3.0,3.0,1.0,' negativ
34,3.0,5.0,4.0,2.0,' negativ
35,2.0,3.0,2.0,1.0,' negativ
36,0.0,1.0,0.0,0.0,' negativ
37,1.0,3.0,3.0,1.0,' negativ
38,2.0,5.0,3.0,1.0,' negativ
39,4.0,4.0,3.0,1.0,' negativ
40,0.0,2.0,0.0,0.0,' negativ
41,2.0,4.0,2.0,1.0,' negativ
42,4.0,7.0,7.0,9.0,' negativ
43,2.0,3.0,5.0,5.0,' negativ
44,4.0,4.0,6.0,5.0,' negativ
45,5.0,5.0,7.0,8.0,' negativ
46,8.0,5.0,9.0,7.0,' negativ
47,0.0,2.0,3.0,4.0,' negativ
48,5.0,2.0,7.0,5.0,' negativ
49,7.0,8.0,7.0,9.0,' negativ
50,4.0,3.0,5.0,5.0,' negativ
51,2.0,2.0,5.0,6.0,' negativ
52,4.0,6.0,5.0,8.0,' negativ
53,1.0,4.0,4.0,6.0,' negativ
54,9.0,4.0,9.0,6.0,' negativ
55,4.0,3.0,4.0,5.0,' negativ
56,5.0,7.0,6.0,7.0,' negativ
57,7.0,6.0,7.0,5.0,' negativ
58,7.0,5.0,7.0,4.0,' negativ
59,9.0,9.0,8.0,6.0,' negativ
60,4.0,4.0,6.0,8.0,' negativ
61,4.0,4.0,5.0,3.0,' negativ
62,3.0,3.0,6.0,2.0,' negativ
63,4.0,7.0,6.0,9.0,' negativ
64,6.0,6.0,6.0,7.0,' negativ
65,5.0,6.0,6.0,9.0,' negativ
66,6.0,6.0,5.0,8.0,' negativ
67,2.0,3.0,5.0,5.0,' negativ
68,6.0,6.0,7.0,8.0,' negativ
69,5.0,7.0,6.0,9.0,' negativ
70,5.0,5.0,5.0,8.0,' negativ
71,4.0,2.0,5.0,5.0,' negativ
72,5.0,5.0,5.0,6.0,' negativ
73,3.0,5.0,5.0,5.0,' negativ
74,5.0,5.0,6.0,5.0,' negativ
75,9.0,3.0,9.0,8.0,' negativ
76,3.0,1.0,5.0,3.0,' negativ
77,6.0,6.0,6.0,8.0,' negativ
78,4.0,4.0,4.0,5.0,' negativ
