@relation ./ML-assignments/Assignment6/databases_disc/databases_KBN3_arff/iris0/KBN3iris0-5-2tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute Class {' negative',' positive'}
@data
0,1.0,3.0,2.0,0.0,' positiv
1,2.0,6.0,3.0,1.0,' positiv
2,1.0,3.0,3.0,0.0,' positiv
3,4.0,9.0,2.0,0.0,' positiv
4,2.0,5.0,3.0,0.0,' positiv
5,1.0,3.0,2.0,0.0,' positiv
6,1.0,4.0,2.0,0.0,' positiv
7,3.0,6.0,3.0,0.0,' positiv
8,1.0,4.0,2.0,0.0,' positiv
9,5.0,2.0,6.0,6.0,' negativ
10,3.0,1.0,5.0,5.0,' negativ
11,6.0,2.0,6.0,5.0,' negativ
12,4.0,0.0,5.0,3.0,' negativ
13,5.0,4.0,7.0,7.0,' negativ
14,6.0,2.0,5.0,5.0,' negativ
15,8.0,3.0,7.0,7.0,' negativ
16,4.0,1.0,4.0,3.0,' negativ
17,4.0,0.0,4.0,3.0,' negativ
18,4.0,0.0,4.0,3.0,' negativ
19,5.0,1.0,7.0,6.0,' negativ
20,6.0,0.0,6.0,5.0,' negativ
21,4.0,3.0,5.0,5.0,' negativ
22,4.0,1.0,6.0,4.0,' negativ
23,6.0,2.0,8.0,7.0,' negativ
24,7.0,3.0,9.0,8.0,' negativ
25,6.0,1.0,7.0,7.0,' negativ
26,9.0,3.0,9.0,6.0,' negativ
27,6.0,2.0,7.0,6.0,' negativ
28,8.0,4.0,8.0,9.0,' negativ
29,2.0,5.0,2.0,0.0,' positiv
30,2.0,3.0,2.0,0.0,' positiv
31,1.0,3.0,3.0,0.0,' positiv
32,2.0,6.0,2.0,0.0,' positiv
33,3.0,7.0,3.0,1.0,' positiv
34,1.0,5.0,2.0,0.0,' positiv
35,0.0,2.0,2.0,0.0,' positiv
36,3.0,6.0,3.0,0.0,' positiv
37,1.0,5.0,3.0,0.0,' positiv
38,0.0,3.0,1.0,0.0,' positiv
39,4.0,9.0,3.0,1.0,' positiv
40,3.0,7.0,2.0,1.0,' positiv
41,2.0,5.0,2.0,0.0,' positiv
42,4.0,7.0,3.0,0.0,' positiv
43,2.0,7.0,3.0,0.0,' positiv
44,3.0,5.0,3.0,0.0,' positiv
45,1.0,6.0,0.0,0.0,' positiv
46,2.0,4.0,3.0,1.0,' positiv
47,1.0,5.0,3.0,0.0,' positiv
48,2.0,3.0,3.0,0.0,' positiv
49,2.0,5.0,3.0,1.0,' positiv
50,3.0,5.0,3.0,0.0,' positiv
51,3.0,5.0,2.0,0.0,' positiv
52,1.0,4.0,3.0,0.0,' positiv
53,3.0,5.0,3.0,1.0,' positiv
54,3.0,8.0,3.0,0.0,' positiv
55,2.0,3.0,3.0,0.0,' positiv
56,2.0,4.0,1.0,0.0,' positiv
57,4.0,5.0,2.0,0.0,' positiv
58,2.0,3.0,3.0,0.0,' positiv
59,0.0,3.0,2.0,0.0,' positiv
60,2.0,5.0,2.0,0.0,' positiv
61,0.0,0.0,2.0,0.0,' positiv
62,2.0,7.0,3.0,1.0,' positiv
63,2.0,7.0,3.0,0.0,' positiv
64,2.0,4.0,2.0,0.0,' positiv
65,2.0,3.0,3.0,0.0,' positiv
66,5.0,8.0,1.0,0.0,' positiv
67,0.0,4.0,2.0,0.0,' positiv
68,2.0,5.0,3.0,2.0,' positiv
