%
% Comments go after a '%' sign.
%
%
% Relation: World Cup 2014
%
%
% Attributes: 6     Instances: 79
%
%

@relation World Cup 2014

@attribute '0' numeric
@attribute '0' numeric
@attribute '1' numeric
@attribute '2' numeric
@attribute '3' numeric
@attribute 'y' {' negative'}

@data
0,1.0,1.0,1.0,1.0,' negative'
1,1.0,2.0,1.0,1.0,' negative'
2,2.0,2.0,1.0,1.0,' negative'
3,2.0,2.0,1.0,1.0,' negative'
4,2.0,2.0,1.0,1.0,' negative'
5,0.0,0.0,0.0,0.0,' negative'
6,0.0,1.0,1.0,0.0,' negative'
7,1.0,2.0,1.0,1.0,' negative'
8,0.0,0.0,0.0,0.0,' negative'
9,0.0,1.0,0.0,1.0,' negative'
10,0.0,0.0,0.0,0.0,' negative'
11,1.0,2.0,0.0,1.0,' negative'
12,1.0,0.0,0.0,0.0,' negative'
13,1.0,1.0,1.0,1.0,' negative'
14,2.0,2.0,0.0,1.0,' negative'
15,0.0,2.0,1.0,1.0,' negative'
16,0.0,1.0,0.0,0.0,' negative'
17,1.0,0.0,1.0,1.0,' negative'
18,0.0,0.0,0.0,0.0,' negative'
19,1.0,2.0,1.0,2.0,' negative'
20,1.0,1.0,0.0,0.0,' negative'
21,1.0,1.0,1.0,0.0,' negative'
22,2.0,1.0,0.0,0.0,' negative'
23,2.0,2.0,1.0,1.0,' negative'
24,0.0,0.0,0.0,0.0,' negative'
25,0.0,0.0,0.0,0.0,' negative'
26,0.0,0.0,0.0,0.0,' negative'
27,0.0,1.0,0.0,0.0,' negative'
28,1.0,1.0,2.0,1.0,' negative'
29,2.0,2.0,1.0,1.0,' negative'
30,1.0,0.0,0.0,0.0,' negative'
31,0.0,2.0,0.0,0.0,' negative'
32,0.0,0.0,0.0,0.0,' negative'
33,0.0,0.0,0.0,0.0,' negative'
34,1.0,2.0,1.0,1.0,' negative'
35,0.0,0.0,0.0,0.0,' negative'
36,0.0,0.0,0.0,0.0,' negative'
37,0.0,1.0,0.0,0.0,' negative'
38,0.0,2.0,0.0,0.0,' negative'
39,1.0,1.0,0.0,0.0,' negative'
40,0.0,0.0,0.0,0.0,' negative'
41,0.0,1.0,0.0,0.0,' negative'
42,1.0,2.0,2.0,2.0,' negative'
43,0.0,1.0,2.0,2.0,' negative'
44,1.0,1.0,2.0,2.0,' negative'
45,2.0,2.0,2.0,2.0,' negative'
46,2.0,2.0,2.0,2.0,' negative'
47,0.0,0.0,1.0,1.0,' negative'
48,2.0,0.0,2.0,2.0,' negative'
49,2.0,2.0,2.0,2.0,' negative'
50,2.0,1.0,2.0,2.0,' negative'
51,0.0,0.0,1.0,2.0,' negative'
52,2.0,2.0,2.0,2.0,' negative'
53,0.0,1.0,1.0,2.0,' negative'
54,2.0,1.0,2.0,2.0,' negative'
55,1.0,1.0,1.0,2.0,' negative'
56,2.0,2.0,2.0,2.0,' negative'
57,2.0,2.0,2.0,2.0,' negative'
58,2.0,2.0,2.0,1.0,' negative'
59,2.0,2.0,2.0,2.0,' negative'
60,2.0,1.0,2.0,2.0,' negative'
61,1.0,1.0,2.0,1.0,' negative'
62,1.0,0.0,2.0,1.0,' negative'
63,1.0,2.0,2.0,2.0,' negative'
64,2.0,2.0,2.0,2.0,' negative'
65,2.0,2.0,2.0,2.0,' negative'
66,2.0,2.0,2.0,2.0,' negative'
67,0.0,1.0,2.0,2.0,' negative'
68,2.0,2.0,2.0,2.0,' negative'
69,2.0,2.0,2.0,2.0,' negative'
70,2.0,2.0,2.0,2.0,' negative'
71,1.0,0.0,1.0,2.0,' negative'
72,2.0,2.0,2.0,2.0,' negative'
73,1.0,2.0,2.0,2.0,' negative'
74,2.0,2.0,2.0,2.0,' negative'
75,2.0,0.0,2.0,2.0,' negative'
76,1.0,0.0,1.0,1.0,' negative'
77,2.0,2.0,2.0,2.0,' negative'
78,1.0,1.0,1.0,2.0,' negative'
