"","Pattern","Target_support","Complement_support","Support_difference","Target_coverage","Complement_coverage","Coverage_difference","Confidence"
"13","Procedimiento_isNacional = '1' Entidad_isCiudadDeMexico = '1' Descripcion_isMantenimiento = '0'",0.56,0.16,0.4,22448,9122,13326,0.711054798859677
"14","Entidad_isCiudadDeMexico = '1' Descripcion_isMantenimiento = '0' Procedimiento_isNacional = '1'",0.56,0.16,0.4,22448,9122,13326,0.711054798859677
"15","Procedimiento_isNacional = '1' Entidad_isCiudadDeMexico = '1' Descripcion_isPrograma = '0'",0.56,0.16,0.4,22474,9136,13338,0.710977538753559
"16","Descripcion_isPrograma = '0' Entidad_isCiudadDeMexico = '1' Procedimiento_isNacional = '1'",0.56,0.16,0.4,22474,9136,13338,0.710977538753559
"17","Procedimiento_isNacional = '1' Entidad_isCiudadDeMexico = '1' Descripcion_isPrograma = '0'",0.56,0.16,0.4,22474,9136,13338,0.710977538753559
"18","Procedimiento_isNacional = '1' Entidad_isCiudadDeMexico = '1' Descripcion_isSuministro = '0'",0.56,0.16,0.4,22701,8908,13793,0.718181530576735
"19","Entidad_isCiudadDeMexico = '1' Procedimiento_isNacional = '1' Descripcion_isSuministro = '0'",0.56,0.16,0.4,22701,8908,13793,0.718181530576735
"20","Entidad_isCiudadDeMexico = '1' Procedimiento_isNacional = '1' Descripcion_isSuministro = '0'",0.56,0.16,0.4,22701,8908,13793,0.718181530576735
"21","Entidad_isCiudadDeMexico = '1' Procedimiento_isIntTLC = '0' Procedimiento_isNacional = '1'",0.56,0.16,0.4,22761,9146,13615,0.713354436330586
"22","Procedimiento_isIntTLC = '0' Entidad_isCiudadDeMexico = '1' Procedimiento_isNacional = '1'",0.56,0.16,0.4,22761,9146,13615,0.713354436330586
"23","Procedimiento_isIntTLC = '0' Entidad_isCiudadDeMexico = '1' Procedimiento_isNacional = '1'",0.56,0.16,0.4,22761,9146,13615,0.713354436330586
"10","Procedimiento_isNacional = '1' Entidad_isCiudadDeMexico = '1' Descripcion_isProfesional = '0'",0.55,0.16,0.39,22405,9142,13263,0.710210162614512
"11","Procedimiento_isNacional = '1' Entidad_isCiudadDeMexico = '1' Descripcion_isProfesional = '0'",0.55,0.16,0.39,22405,9142,13263,0.710210162614512
"12","Entidad_isCiudadDeMexico = '1' Descripcion_isProfesional = '0' Procedimiento_isNacional = '1'",0.55,0.16,0.39,22405,9142,13263,0.710210162614512
"3","Entidad_isCiudadDeMexico = '1' Plantilla_isAdjudicacion = '1' Procedimiento_isNacional = '1'",0.5,0.15,0.35,20197,8134,12063,0.712894003035544
"24","Entidad_isCiudadDeMexico = '1' Procedimiento_isIntTLC = '0' Descripcion_isProfesional = '0'",0.57,0.22,0.35,22869,12485,10384,0.646857498444306
"25","Entidad_isCiudadDeMexico = '1' Descripcion_isProfesional = '0' Procedimiento_isIntTLC = '0'",0.57,0.22,0.35,22869,12485,10384,0.646857498444306
"26","Procedimiento_isIntTLC = '0' Entidad_isCiudadDeMexico = '1' Descripcion_isProfesional = '0'",0.57,0.22,0.35,22869,12485,10384,0.646857498444306
"27","Entidad_isCiudadDeMexico = '1' Descripcion_isSuministro = '0' Procedimiento_isIntTLC = '0'",0.57,0.22,0.35,23166,12220,10946,0.654665686994857
"8","Entidad_isCiudadDeMexico = '1' Procedimiento_isIntTLC = '0' Plantilla_isLicitacion = '0'",0.54,0.2,0.34,21678,10900,10778,0.665418380502179
"9","Entidad_isCiudadDeMexico = '1' Procedimiento_isIntTLC = '0' Plantilla_isLicitacion = '0'",0.54,0.2,0.34,21678,10900,10778,0.665418380502179
"1","Procedimiento_isNacional = '1' Entidad_isCiudadDeMexico = '1' Publicacion_isTrimestre3 = '0'",0.45,0.12,0.33,18355,6864,11491,0.727824259486895
"2","Procedimiento_isNacional = '1' Publicacion_isTrimestre3 = '0' Entidad_isCiudadDeMexico = '1'",0.45,0.12,0.33,18355,6864,11491,0.727824259486895
"4","Entidad_isCiudadDeMexico = '1' Plantilla_isAdjudicacion = '1' Procedimiento_isIntTLC = '0'",0.5,0.18,0.32,20272,10015,10257,0.669330075609998
"5","Entidad_isCiudadDeMexico = '1' Procedimiento_isIntTLC = '0' Plantilla_isAdjudicacion = '1'",0.5,0.18,0.32,20272,10015,10257,0.669330075609998
"6","Entidad_isCiudadDeMexico = '1' Plantilla_isAdjudicacion = '1' Procedimiento_isIntTLC = '0'",0.5,0.18,0.32,20272,10015,10257,0.669330075609998
"7","Entidad_isCiudadDeMexico = '1' Descripcion_isProfesional = '0' Plantilla_isLicitacion = '0'",0.53,0.22,0.31,21367,12275,9092,0.635128708162416
