"","Pattern","Target_support","Complement_support","Support_difference","Target_coverage","Complement_coverage","Coverage_difference","Confidence"
"14","Contratacion_isAdquisiciones = '0' Contratacion_isObraPublica = '0' Plantilla_isAdjudicacion = '1'",0.55,0.21,0.34,20529,12386,8143,0.623697402400122
"15","Contratacion_isObraPublica = '0' Contratacion_isAdquisiciones = '0' Plantilla_isAdjudicacion = '1'",0.55,0.21,0.34,20529,12386,8143,0.623697402400122
"16","Contratacion_isAdquisiciones = '0' Plantilla_isAdjudicacion = '1' Contratacion_isObraPublica = '0'",0.55,0.21,0.34,20529,12386,8143,0.623697402400122
"17","Contratacion_isAdquisiciones = '0' Plantilla_isAdjudicacion = '1' Contratacion_isObraPublica = '0'",0.55,0.21,0.34,20529,12386,8143,0.623697402400122
"18","Plantilla_isAdjudicacion = '1' Contratacion_isAdquisiciones = '0' Contratacion_isObraPublica = '0'",0.55,0.21,0.34,20529,12386,8143,0.623697402400122
"19","Contratacion_isServicios = '1' Plantilla_isInvitacion = '0' Plantilla_isLicitacion = '0'",0.55,0.21,0.34,20721,12352,8369,0.626523145768452
"20","Plantilla_isInvitacion = '0' Contratacion_isServicios = '1' Plantilla_isLicitacion = '0'",0.55,0.21,0.34,20721,12352,8369,0.626523145768452
"21","Contratacion_isServicios = '1' Plantilla_isLicitacion = '0' Plantilla_isInvitacion = '0'",0.55,0.21,0.34,20721,12352,8369,0.626523145768452
"22","Plantilla_isLicitacion = '0' Contratacion_isServicios = '1' Plantilla_isInvitacion = '0'",0.55,0.21,0.34,20721,12352,8369,0.626523145768452
"23","Contratacion_isServicios = '1' Plantilla_isLicitacion = '0' Plantilla_isInvitacion = '0'",0.55,0.21,0.34,20721,12352,8369,0.626523145768452
"1","Contratacion_isServicios = '1' Plantilla_isAdjudicacion = '1' Descripcion_isPrograma = '0'",0.54,0.2,0.34,20033,11920,8113,0.626952085876131
"2","Contratacion_isServicios = '1' Plantilla_isAdjudicacion = '1' Descripcion_isPrograma = '0'",0.54,0.2,0.34,20033,11920,8113,0.626952085876131
"3","Plantilla_isAdjudicacion = '1' Descripcion_isPrograma = '0' Contratacion_isServicios = '1'",0.54,0.2,0.34,20033,11920,8113,0.626952085876131
"4","Plantilla_isAdjudicacion = '1' Contratacion_isServicios = '1' Procedimiento_isNacional = '1'",0.54,0.2,0.34,20197,11815,8382,0.630919655129326
"5","Procedimiento_isIntTLC = '0' Contratacion_isServicios = '1' Plantilla_isAdjudicacion = '1'",0.54,0.2,0.34,20272,11904,8368,0.630034808552959
"6","Plantilla_isAdjudicacion = '1' Procedimiento_isIntTLC = '0' Contratacion_isServicios = '1'",0.54,0.2,0.34,20272,11904,8368,0.630034808552959
"7","Procedimiento_isIntTLC = '0' Contratacion_isServicios = '1' Plantilla_isAdjudicacion = '1'",0.54,0.2,0.34,20272,11904,8368,0.630034808552959
"8","Contratacion_isObraPublica = '0' Contratacion_isServicios = '1' Plantilla_isAdjudicacion = '1'",0.54,0.2,0.34,20313,12029,8284,0.628068765073279
"9","Contratacion_isAdquisiciones = '0' Plantilla_isAdjudicacion = '1' Contratacion_isServicios = '1'",0.54,0.2,0.34,20313,12029,8284,0.628068765073279
"10","Plantilla_isAdjudicacion = '1' Contratacion_isObraPublica = '0' Contratacion_isServicios = '1'",0.54,0.2,0.34,20313,12029,8284,0.628068765073279
"11","Contratacion_isObraPublica = '0' Contratacion_isServicios = '1' Plantilla_isAdjudicacion = '1'",0.54,0.2,0.34,20313,12029,8284,0.628068765073279
"12","Contratacion_isServicios = '1' Plantilla_isLicitacion = '0' Plantilla_isAdjudicacion = '1'",0.54,0.2,0.34,20313,12029,8284,0.628068765073279
"13","Plantilla_isLicitacion = '0' Contratacion_isServicios = '1' Plantilla_isAdjudicacion = '1'",0.54,0.2,0.34,20313,12029,8284,0.628068765073279
"27","Contratacion_isServicios = '1' Descripcion_isMateri = '0' Plantilla_isLicitacion = '0'",0.58,0.24,0.34,21526,14097,7429,0.604272520562558
"28","Contratacion_isObraPublica = '0' Contratacion_isServicios = '1' Plantilla_isLicitacion = '0'",0.58,0.24,0.34,21724,14199,7525,0.60473791164435
"29","Plantilla_isInvitacion = '0' Contratacion_isServicios = '1' Procedimiento_isNacional = '1'",0.58,0.24,0.34,21767,14317,7450,0.603231349074382
"30","Contratacion_isAdquisiciones = '0' Contratacion_isObraPublica = '0' Plantilla_isLicitacion = '0'",0.59,0.25,0.34,21967,14584,7383,0.60099586878608
"31","Contratacion_isAdquisiciones = '0' Contratacion_isObraPublica = '0' Plantilla_isLicitacion = '0'",0.59,0.25,0.34,21967,14584,7383,0.60099586878608
"32","Contratacion_isObraPublica = '0' Contratacion_isAdquisiciones = '0' Plantilla_isLicitacion = '0'",0.59,0.25,0.34,21967,14584,7383,0.60099586878608
"33","Contratacion_isAdquisiciones = '0' Plantilla_isLicitacion = '0' Contratacion_isObraPublica = '0'",0.59,0.25,0.34,21967,14584,7383,0.60099586878608
"24","Contratacion_isServicios = '1' Plantilla_isLicitacion = '0' Procedimiento_isNacional = '1'",0.57,0.24,0.33,21485,13822,7663,0.608519557028351
"25","Contratacion_isServicios = '1' Procedimiento_isNacional = '1' Plantilla_isLicitacion = '0'",0.57,0.24,0.33,21485,13822,7663,0.608519557028351
"26","Contratacion_isServicios = '1' Plantilla_isLicitacion = '0' Procedimiento_isNacional = '1'",0.57,0.24,0.33,21485,13822,7663,0.608519557028351
