File,Pattern,Score
Number of trees.txt,citPA2016 > 14.79 AND cit2016 > 117378.00 AND pubTCP2018 > 19.10 AND pubPA2016 > 0.95,0.4
Number of trees.txt,citPA2016 > 14.79 AND cit2018 > 31738.50 AND pubPA2018 > 0.98 AND citPP2017 > 8.65 AND h5Index > 165.00,0.39
Number of trees.txt,pub2017 > 7940.00 AND pubTCP2017 > 21.50 AND pubPA2016 > 0.95,0.37
Number of trees.txt,citPP2018 > 4.05 AND cit2016 > 117378.00 AND citPA2017 > 9.69,0.36
ClassifierAttributeEval AttrSel.txt,citPA2016 > 14.79 AND cit2016 > 117378.00 AND pubTCP2018 > 19.10 AND pubPA2016 > 0.95,0.4
ClassifierAttributeEval AttrSel.txt,citPA2016 > 14.79 AND cit2018 > 31738.50 AND pubPA2018 > 0.98 AND citPP2017 > 8.65 AND h5Index > 165.00,0.39
ClassifierAttributeEval AttrSel.txt,pub2017 > 7940.00 AND pubTCP2017 > 21.50 AND pubPA2016 > 0.95,0.37
ClassifierAttributeEval AttrSel.txt,citPP2018 > 4.05 AND cit2016 > 117378.00 AND citPA2017 > 9.69,0.36
5 Minimum object by leaf.txt,h5Index > 172.50 AND pub2018 > 7036.50 AND citPP2018 > 4.25 AND pubPA2018 > 0.98,0.35
5 Minimum object by leaf.txt,pubTJP2018 > 38.70 AND cit2016 > 117378.00 AND intCol2016 > 35.70,0.35
5 Minimum object by leaf.txt,citPA2017 > 10.10 AND cit2017 > 79138.00,0.35
5 Minimum object by leaf.txt,pub2017 > 7940.00 AND citPA2017 > 9.68,0.35
4 Minimum object by leaf.txt,cit2018 > 35720.00 AND pubPA2016 > 0.95 AND pubTCP2017 > 21.50 AND pub2016 > 7472.50,0.37
4 Minimum object by leaf.txt,pub2016 > 7543.00 AND citPP2017 > 8.65 AND intCol2018 > 36.45,0.37
4 Minimum object by leaf.txt,pubTCP2016 > 13.65 AND intCol2016 > 35.70 AND cit2016 > 117378.00,0.37
4 Minimum object by leaf.txt,citPA2016 > 14.79 AND cit2018 > 31738.50 AND intCol2016 > 35.55 AND cit2016 > 117378.00,0.36
5 Random features.txt,pub2016 > 7543.00 AND citPP2017 > 8.65 AND intCol2018 > 36.45,0.37
5 Random features.txt,pub2016 > 7543.00 AND fwCitImp2016 > 1.94 AND pubPA2017 > 0.97,0.36
5 Random features.txt,pubTCP2018 > 19.45 AND cit2016 > 117378.00 AND intCol2018 > 36.45,0.36
5 Random features.txt,fwCitImp2016 > 1.94 AND cit2016 > 117378.00 AND pubPA2018 > 0.98,0.36
15 Random features.txt,pub2017 > 7940.00 AND citPA2017 > 9.68,0.35
15 Random features.txt,intCol2016 > 37.45 AND cit2016 > 117378.00,0.34
15 Random features.txt,cit2016 > 107650.00 AND intCol2016 > 37.45 AND h5Index > 165.00,0.34
15 Random features.txt,pub2016 > 7543.00 AND citPA2017 > 9.68,0.34
20 RandomSubSpace.txt,citPA2016 > 14.79 AND cit2016 > 117378.00 AND pubTCP2018 > 19.10 AND pubPA2016 > 0.95,0.4
