%
% Comments go after a '%' sign.
%
%
% Relation: World Cup 2014
%
%
% Attributes: 13     Instances: 146
%
%

@relation World Cup 2014

@attribute '0' numeric
@attribute '0' numeric
@attribute '1' numeric
@attribute '2' numeric
@attribute '3' numeric
@attribute '4' numeric
@attribute '5' numeric
@attribute '6' numeric
@attribute '7' numeric
@attribute '8' numeric
@attribute '9' numeric
@attribute '10' numeric
@attribute 'y' {' negative',' positive'}

@data
0,3.0,5.0,0.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,' negative'
1,3.0,4.0,0.0,2.0,1.0,1.0,2.0,4.0,7.0,2.0,1.0,' negative'
2,2.0,3.0,1.0,1.0,2.0,2.0,4.0,3.0,4.0,1.0,1.0,' negative'
3,1.0,3.0,0.0,1.0,2.0,2.0,3.0,1.0,8.0,1.0,2.0,' negative'
4,4.0,3.0,2.0,4.0,4.0,9.0,9.0,5.0,2.0,6.0,1.0,' negative'
5,3.0,2.0,5.0,5.0,1.0,1.0,5.0,4.0,5.0,5.0,3.0,' negative'
6,3.0,2.0,5.0,5.0,1.0,1.0,5.0,4.0,5.0,5.0,3.0,' negative'
7,1.0,1.0,5.0,1.0,1.0,1.0,6.0,2.0,5.0,2.0,1.0,' negative'
8,3.0,4.0,1.0,5.0,3.0,8.0,7.0,5.0,4.0,5.0,1.0,' negative'
9,3.0,5.0,0.0,4.0,2.0,0.0,0.0,3.0,6.0,0.0,4.0,' negative'
10,5.0,1.0,8.0,2.0,1.0,4.0,4.0,4.0,4.0,5.0,3.0,' negative'
11,3.0,4.0,3.0,2.0,1.0,3.0,6.0,3.0,4.0,0.0,1.0,' negative'
12,2.0,5.0,1.0,2.0,2.0,1.0,5.0,3.0,5.0,1.0,2.0,' negative'
13,3.0,2.0,7.0,2.0,2.0,3.0,4.0,4.0,5.0,2.0,0.0,' negative'
14,2.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,7.0,1.0,0.0,' negative'
15,3.0,6.0,0.0,3.0,1.0,0.0,0.0,3.0,6.0,2.0,2.0,' negative'
16,3.0,2.0,3.0,2.0,1.0,0.0,2.0,3.0,5.0,0.0,1.0,' negative'
