var0,var1,var2,var3,var4,var5,var6,var7,y,fold,train_test
0.46,0.44,0.52,0.11,0.5,0.0,0.5,0.22, negative,2,tst
0.59,0.45,0.53,0.19,0.5,0.0,0.59,0.27, negative,2,tst
0.38,0.61,0.61,0.12,0.5,0.0,0.53,0.47, negative,2,tst
0.48,0.54,0.55,0.12,0.5,0.0,0.51,0.22, negative,2,tst
0.3,0.56,0.55,0.18,0.5,0.0,0.5,0.22, negative,2,tst
0.65,0.65,0.52,0.16,0.5,0.0,0.6,0.22, negative,2,tst
0.34,0.54,0.5,0.21,0.5,0.0,0.54,0.31, negative,2,tst
0.29,0.32,0.58,0.15,0.5,0.0,0.5,0.3, negative,2,tst
0.59,0.48,0.5,0.14,0.5,0.0,0.45,0.25, negative,2,tst
0.42,0.43,0.56,0.1,0.5,0.0,0.49,0.22, negative,2,tst
0.4,0.42,0.71,0.21,0.5,0.0,0.54,0.32, negative,2,tst
0.21,0.41,0.55,0.11,0.5,0.0,0.5,0.27, negative,2,tst
0.54,0.38,0.52,0.18,0.5,0.0,0.48,0.22, negative,2,tst
0.32,0.42,0.52,0.24,0.5,0.0,0.6,0.22, negative,2,tst
0.44,0.42,0.6,0.21,0.5,0.0,0.57,0.22, negative,2,tst
0.57,0.41,0.59,0.24,0.5,0.0,0.4,0.22, negative,2,tst
0.37,0.53,0.6,0.19,0.5,0.5,0.42,0.22, positive,2,tst
0.38,0.51,0.75,0.17,0.5,0.0,0.55,0.22, negative,2,tst
0.8,0.46,0.5,0.15,0.5,0.0,0.53,0.22, negative,2,tst
0.46,0.35,0.53,0.16,0.5,0.0,0.51,0.29, negative,2,tst
0.56,0.52,0.55,0.19,0.5,0.0,0.54,0.22, negative,2,tst
0.45,0.56,0.54,0.32,0.5,0.0,0.57,0.22, negative,2,tst
0.59,0.58,0.46,0.19,0.5,0.0,0.56,0.27, negative,2,tst
0.35,0.46,0.49,0.15,1.0,0.0,0.55,0.35, negative,2,tst
0.43,0.51,0.48,0.14,0.5,0.0,0.5,0.22, negative,2,tst
0.25,0.4,0.51,0.18,0.5,0.0,0.5,0.27, negative,2,tst
0.47,0.47,0.58,0.16,0.5,0.0,0.49,0.28, negative,2,tst
0.62,0.58,0.52,0.15,0.5,0.0,0.52,0.29, negative,2,tst
0.45,0.42,0.52,0.2,0.5,0.0,0.5,0.25, negative,2,tst
0.6,0.4,0.59,0.18,0.5,0.0,0.48,0.22, negative,2,tst
