var0,var1,var2,var3,var4,var5,var6,var7,y,fold,train_test
M,0.49,0.39,0.15,0.573,0.225,0.124,0.17, positive,4,tst
F,0.67,0.535,0.185,1.597,0.6275,0.35,0.47, positive,4,tst
M,0.675,0.555,0.2,1.4385,0.545,0.2665,0.465, positive,4,tst
F,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355, negative,4,tst
M,0.42,0.335,0.115,0.369,0.171,0.071,0.12, negative,4,tst
M,0.36,0.295,0.105,0.24100000000000002,0.0865,0.053,0.095, negative,4,tst
M,0.45,0.355,0.115,0.479,0.2125,0.1045,0.15, negative,4,tst
M,0.255,0.195,0.065,0.08,0.0315,0.018000000000000002,0.027000000000000003, negative,4,tst
M,0.49,0.385,0.125,0.609,0.3065,0.096,0.1775, negative,4,tst
F,0.64,0.51,0.165,1.486,0.7595,0.332,0.321, negative,4,tst
F,0.535,0.4,0.135,0.8215,0.3935,0.196,0.205, negative,4,tst
M,0.535,0.435,0.14,0.8740000000000001,0.3735,0.22899999999999998,0.2195, negative,4,tst
F,0.58,0.45,0.145,1.137,0.5585,0.22,0.29, negative,4,tst
M,0.63,0.485,0.155,1.278,0.637,0.275,0.31, negative,4,tst
I,0.48,0.38,0.125,0.6245,0.3395,0.1085,0.1665, negative,4,tst
I,0.515,0.385,0.125,0.6115,0.3175,0.1265,0.15, negative,4,tst
M,0.61,0.485,0.16,1.0145,0.5315,0.212,0.2415, negative,4,tst
M,0.625,0.48,0.185,1.2065,0.5870000000000001,0.29,0.28600000000000003, negative,4,tst
I,0.385,0.28,0.085,0.2175,0.09699999999999999,0.038,0.067, negative,4,tst
I,0.43,0.34,0.0,0.428,0.2065,0.086,0.115, negative,4,tst
I,0.43,0.315,0.095,0.37799999999999995,0.175,0.08,0.1045, negative,4,tst
F,0.455,0.365,0.115,0.4305,0.184,0.10800000000000001,0.1245, negative,4,tst
I,0.47,0.355,0.12,0.39299999999999996,0.16699999999999998,0.0885,0.115, negative,4,tst
I,0.475,0.38,0.12,0.441,0.1785,0.0885,0.1505, negative,4,tst
I,0.475,0.36,0.11,0.49200000000000005,0.21100000000000002,0.11,0.15, negative,4,tst
I,0.48,0.365,0.1,0.461,0.2205,0.0835,0.135, negative,4,tst
M,0.475,0.37,0.125,0.649,0.34700000000000003,0.136,0.142, negative,4,tst
M,0.485,0.39,0.085,0.6435,0.2945,0.10300000000000001,0.198, negative,4,tst
F,0.62,0.435,0.155,1.012,0.47700000000000004,0.23600000000000002,0.275, negative,4,tst
M,0.65,0.485,0.14,1.175,0.475,0.2435,0.215, negative,4,tst
I,0.36,0.27,0.095,0.2,0.073,0.055999999999999994,0.061, negative,4,tst
I,0.385,0.29,0.09,0.2365,0.1,0.0505,0.076, negative,4,tst
I,0.475,0.36,0.125,0.4905,0.205,0.1305,0.125, negative,4,tst
I,0.48,0.37,0.12,0.536,0.251,0.114,0.15, negative,4,tst
I,0.495,0.4,0.105,0.602,0.2505,0.1265,0.19, negative,4,tst
I,0.5,0.39,0.12,0.5955,0.2455,0.147,0.17300000000000001, negative,4,tst
I,0.55,0.415,0.145,0.7815,0.373,0.16,0.2215, negative,4,tst
M,0.575,0.455,0.165,0.867,0.3765,0.1805,0.268, negative,4,tst
F,0.605,0.48,0.14,0.991,0.4735,0.2345,0.24, negative,4,tst
I,0.455,0.325,0.135,0.82,0.4005,0.1715,0.21100000000000002, negative,4,tst
I,0.455,0.345,0.11,0.434,0.207,0.0855,0.1215, negative,4,tst
M,0.515,0.395,0.135,1.0070000000000001,0.47200000000000003,0.2495,0.252, negative,4,tst
F,0.64,0.475,0.14,1.0725,0.4895,0.2295,0.31, negative,4,tst
I,0.415,0.31,0.095,0.311,0.1125,0.0625,0.115, negative,4,tst
I,0.53,0.43,0.14,0.677,0.298,0.0965,0.23, negative,4,tst
M,0.45,0.33,0.105,0.4955,0.2575,0.08199999999999999,0.129, negative,4,tst
I,0.475,0.365,0.12,0.5185,0.268,0.1095,0.1365, negative,4,tst
F,0.535,0.42,0.13,0.6990000000000001,0.3125,0.1565,0.2035, negative,4,tst
M,0.47,0.35,0.1,0.4775,0.1885,0.0885,0.175, negative,4,tst
F,0.44,0.33,0.115,0.4005,0.14300000000000002,0.113,0.12, negative,4,tst
I,0.495,0.385,0.125,0.585,0.2755,0.1235,0.165, negative,4,tst
I,0.395,0.325,0.105,0.306,0.111,0.0735,0.095, negative,4,tst
F,0.64,0.5,0.15,1.0705,0.371,0.2705,0.36, negative,4,tst
M,0.465,0.375,0.11,0.5,0.21,0.113,0.1505, negative,4,tst
I,0.51,0.385,0.15,0.625,0.3095,0.11900000000000001,0.1725, negative,4,tst
I,0.55,0.42,0.13,0.636,0.294,0.14400000000000002,0.1755, negative,4,tst
F,0.55,0.44,0.135,0.8435,0.434,0.1995,0.185, negative,4,tst
M,0.58,0.455,0.13,0.852,0.41,0.1725,0.225, negative,4,tst
F,0.585,0.435,0.14,0.6955,0.3085,0.129,0.2245, negative,4,tst
F,0.595,0.465,0.15,1.1005,0.5415,0.166,0.265, negative,4,tst
I,0.375,0.29,0.14,0.3,0.14,0.0625,0.0825, negative,4,tst
I,0.41,0.315,0.1,0.3,0.124,0.0575,0.1, negative,4,tst
M,0.45,0.325,0.115,0.4305,0.2235,0.0785,0.1155, negative,4,tst
I,0.46,0.345,0.105,0.415,0.187,0.087,0.11, negative,4,tst
I,0.485,0.365,0.14,0.4475,0.1895,0.0925,0.2305, negative,4,tst
I,0.515,0.39,0.11,0.531,0.2415,0.098,0.1615, negative,4,tst
F,0.545,0.44,0.15,0.9475,0.366,0.239,0.275, negative,4,tst
I,0.495,0.375,0.12,0.614,0.2855,0.1365,0.161, negative,4,tst
I,0.5,0.37,0.12,0.5445,0.249,0.1065,0.152, negative,4,tst
F,0.575,0.425,0.15,0.8765,0.455,0.18,0.228, negative,4,tst
I,0.595,0.43,0.165,0.9845,0.4525,0.207,0.2725, negative,4,tst
I,0.45,0.33,0.115,0.365,0.14,0.0825,0.1245, negative,4,tst
I,0.45,0.34,0.125,0.4045,0.171,0.07,0.1345, negative,4,tst
I,0.525,0.4,0.11,0.6275,0.3015,0.126,0.18, negative,4,tst
M,0.535,0.41,0.12,0.6835,0.3125,0.1655,0.159, negative,4,tst
M,0.46,0.36,0.125,0.547,0.2165,0.1105,0.19, negative,4,tst
I,0.295,0.215,0.075,0.11599999999999999,0.037000000000000005,0.0295,0.04, negative,4,tst
I,0.475,0.365,0.14,0.4545,0.171,0.11800000000000001,0.158, negative,4,tst
I,0.395,0.3,0.09,0.27899999999999997,0.134,0.049,0.075, negative,4,tst
M,0.55,0.44,0.155,0.9155,0.3645,0.195,0.25, negative,4,tst
F,0.555,0.44,0.145,0.8815,0.43,0.1975,0.2155, negative,4,tst
F,0.575,0.46,0.165,1.065,0.4985,0.2145,0.2815, negative,4,tst
I,0.54,0.41,0.135,0.7025,0.31,0.177,0.2, negative,4,tst
I,0.575,0.455,0.155,0.8725,0.349,0.2095,0.285, negative,4,tst
M,0.6,0.47,0.15,0.9279999999999999,0.4225,0.183,0.275, negative,4,tst
F,0.655,0.455,0.17,1.275,0.583,0.303,0.33299999999999996, negative,4,tst
I,0.47,0.345,0.12,0.3685,0.1525,0.0615,0.125, negative,4,tst
I,0.485,0.365,0.125,0.426,0.163,0.0965,0.151, negative,4,tst
I,0.52,0.415,0.14,0.6385,0.2945,0.1405,0.171, negative,4,tst
I,0.55,0.45,0.14,0.753,0.3445,0.1325,0.24, negative,4,tst
