var0,var1,var2,var3,var4,var5,var6,var7,var8,y,fold,train_test
73,-45,88,-1,8,0,15,81,66, negative,4,tst
44,-37,77,0,-2,0,33,79,46, negative,4,tst
81,-28,89,2,8,0,8,81,72, negative,4,tst
53,-73,88,0,6,-30,35,83,48, negative,4,tst
55,1029,75,-3,28,26,20,46,26, positive,4,tst
43,-33,77,0,-2,0,34,79,46, negative,4,tst
37,-75,112,105,34,14,75,78,4, negative,4,tst
62,66,82,0,-42,-8,20,126,106, negative,4,tst
37,-70,106,0,34,-2,69,72,4, negative,4,tst
45,-29,89,1,6,-2,44,84,40, negative,4,tst
43,-58,76,0,42,0,33,35,2, negative,4,tst
47,-49,77,0,-2,0,30,79,50, negative,4,tst
45,-64,77,-3,44,-4,32,34,2, negative,4,tst
47,33,77,0,28,0,30,48,18, negative,4,tst
37,-100,106,-1,30,1,69,75,6, negative,4,tst
45,-27,81,0,44,0,36,37,2, negative,4,tst
50,24,77,0,-22,0,27,101,74, negative,4,tst
58,-70,88,0,8,0,30,81,50, negative,4,tst
74,-42,107,0,62,-1,33,45,12, negative,4,tst
71,-33,107,0,60,-21,36,47,12, negative,4,tst
49,-42,77,0,-2,0,28,79,52, negative,4,tst
37,-118,106,3,30,-16,69,75,6, negative,4,tst
43,29,77,0,28,0,34,48,14, negative,4,tst
68,-60,88,0,8,0,21,81,60, negative,4,tst
57,-71,88,0,8,0,32,81,48, negative,4,tst
37,-82,76,0,36,0,39,40,2, negative,4,tst
37,-80,106,-1,34,-2,69,72,4, negative,4,tst
37,-56,106,0,34,-1,69,72,4, negative,4,tst
64,-63,88,0,8,0,24,81,56, negative,4,tst
37,-105,106,0,34,0,69,72,4, negative,4,tst
51,23,77,0,28,0,26,48,22, negative,4,tst
45,-49,77,0,-2,0,32,79,48, negative,4,tst
50,23,77,0,-22,0,27,101,74, negative,4,tst
37,-110,106,0,34,-3,69,72,4, negative,4,tst
37,-37,106,-3,34,-6,69,72,4, negative,4,tst
48,45,77,0,-22,0,29,101,72, negative,4,tst
71,-35,107,0,60,-26,35,47,12, negative,4,tst
64,1532,106,-2,34,-35,42,72,30, positive,4,tst
45,-44,79,2,0,0,34,79,44, negative,4,tst
