var0,var1,var2,var3,var4,var5,y,fold,train_test
vhigh, vhigh, 2, 2, med, low, negative,2,tst
vhigh, vhigh, 2, 2, med, med, negative,2,tst
vhigh, vhigh, 2, 2, big, high, negative,2,tst
vhigh, vhigh, 2, 4, small, low, negative,2,tst
vhigh, vhigh, 2, 4, small, high, negative,2,tst
vhigh, vhigh, 2, 4, med, high, negative,2,tst
vhigh, vhigh, 2, 4, big, high, negative,2,tst
vhigh, vhigh, 2, more, small, low, negative,2,tst
vhigh, vhigh, 3, 2, big, low, negative,2,tst
vhigh, vhigh, 3, 4, small, med, negative,2,tst
vhigh, vhigh, 3, 4, big, low, negative,2,tst
vhigh, vhigh, 3, 4, big, med, negative,2,tst
vhigh, vhigh, 3, more, big, med, negative,2,tst
vhigh, vhigh, 4, 4, small, high, negative,2,tst
vhigh, vhigh, 4, 4, med, med, negative,2,tst
vhigh, vhigh, 4, 4, big, med, negative,2,tst
vhigh, vhigh, 4, more, small, low, negative,2,tst
vhigh, vhigh, 5more, 2, small, high, negative,2,tst
vhigh, vhigh, 5more, 2, med, low, negative,2,tst
vhigh, vhigh, 5more, 2, med, med, negative,2,tst
vhigh, vhigh, 5more, 4, big, high, negative,2,tst
vhigh, high, 2, 2, small, med, negative,2,tst
vhigh, high, 2, 2, small, high, negative,2,tst
vhigh, high, 2, 2, med, med, negative,2,tst
vhigh, high, 2, 2, big, med, negative,2,tst
vhigh, high, 2, more, small, low, negative,2,tst
vhigh, high, 2, more, small, high, negative,2,tst
vhigh, high, 2, more, med, low, negative,2,tst
vhigh, high, 2, more, big, low, negative,2,tst
vhigh, high, 3, 4, small, med, negative,2,tst
vhigh, high, 3, more, big, med, negative,2,tst
vhigh, high, 4, 2, med, low, negative,2,tst
vhigh, high, 4, 2, med, high, negative,2,tst
vhigh, high, 4, 2, big, low, negative,2,tst
vhigh, high, 4, 2, big, high, negative,2,tst
vhigh, high, 4, 4, small, med, negative,2,tst
vhigh, high, 4, 4, med, high, negative,2,tst
vhigh, high, 4, more, big, med, negative,2,tst
vhigh, high, 5more, 2, small, low, negative,2,tst
vhigh, high, 5more, 2, small, high, negative,2,tst
vhigh, high, 5more, 4, small, high, negative,2,tst
vhigh, high, 5more, more, small, med, negative,2,tst
vhigh, high, 5more, more, small, high, negative,2,tst
vhigh, high, 5more, more, med, low, negative,2,tst
vhigh, med, 2, 2, med, high, negative,2,tst
vhigh, med, 2, 2, big, med, negative,2,tst
vhigh, med, 2, 4, big, med, negative,2,tst
vhigh, med, 2, more, med, high, negative,2,tst
vhigh, med, 2, more, big, low, negative,2,tst
vhigh, med, 3, 2, small, high, negative,2,tst
vhigh, med, 3, 2, med, med, negative,2,tst
vhigh, med, 3, 2, med, high, negative,2,tst
vhigh, med, 3, 4, med, high, negative,2,tst
vhigh, med, 3, more, med, low, negative,2,tst
vhigh, med, 3, more, med, med, negative,2,tst
vhigh, med, 4, 2, small, low, negative,2,tst
vhigh, med, 4, 4, small, high, negative,2,tst
vhigh, med, 4, 4, med, med, negative,2,tst
vhigh, med, 4, more, small, med, negative,2,tst
vhigh, med, 4, more, small, high, negative,2,tst
vhigh, med, 4, more, med, high, negative,2,tst
vhigh, med, 4, more, big, low, negative,2,tst
vhigh, med, 4, more, big, med, negative,2,tst
vhigh, med, 5more, 2, big, low, negative,2,tst
vhigh, med, 5more, 2, big, high, negative,2,tst
vhigh, med, 5more, 4, small, med, negative,2,tst
vhigh, med, 5more, 4, small, high, negative,2,tst
vhigh, med, 5more, 4, med, low, negative,2,tst
vhigh, med, 5more, 4, big, high, negative,2,tst
vhigh, med, 5more, more, big, high, negative,2,tst
vhigh, low, 2, 4, med, low, negative,2,tst
vhigh, low, 2, 4, big, low, negative,2,tst
vhigh, low, 2, more, med, med, negative,2,tst
vhigh, low, 2, more, big, med, negative,2,tst
vhigh, low, 3, 2, small, high, negative,2,tst
vhigh, low, 3, 4, small, low, negative,2,tst
vhigh, low, 3, 4, med, low, negative,2,tst
vhigh, low, 3, 4, med, med, negative,2,tst
vhigh, low, 3, 4, big, low, negative,2,tst
vhigh, low, 3, more, med, high, negative,2,tst
vhigh, low, 4, 2, big, low, negative,2,tst
vhigh, low, 4, 2, big, med, negative,2,tst
vhigh, low, 4, 2, big, high, negative,2,tst
vhigh, low, 4, 4, big, low, negative,2,tst
vhigh, low, 4, more, small, med, negative,2,tst
vhigh, low, 4, more, med, low, negative,2,tst
vhigh, low, 4, more, big, low, negative,2,tst
vhigh, low, 5more, 4, med, low, negative,2,tst
vhigh, low, 5more, 4, med, high, negative,2,tst
vhigh, low, 5more, 4, big, med, negative,2,tst
vhigh, low, 5more, more, med, low, negative,2,tst
vhigh, low, 5more, more, med, med, negative,2,tst
vhigh, low, 5more, more, big, low, negative,2,tst
high, vhigh, 2, 2, big, low, negative,2,tst
high, vhigh, 2, 4, med, low, negative,2,tst
high, vhigh, 2, 4, big, high, negative,2,tst
high, vhigh, 2, more, med, low, negative,2,tst
high, vhigh, 2, more, big, low, negative,2,tst
high, vhigh, 3, 2, small, med, negative,2,tst
high, vhigh, 3, 4, small, med, negative,2,tst
high, vhigh, 3, 4, med, low, negative,2,tst
high, vhigh, 3, 4, med, high, negative,2,tst
high, vhigh, 4, 2, med, low, negative,2,tst
high, vhigh, 4, 2, med, high, negative,2,tst
high, vhigh, 4, 2, big, high, negative,2,tst
high, vhigh, 4, 4, med, low, negative,2,tst
high, vhigh, 4, 4, big, low, negative,2,tst
high, vhigh, 4, more, small, high, negative,2,tst
high, vhigh, 4, more, med, low, negative,2,tst
high, vhigh, 5more, 2, small, low, negative,2,tst
high, vhigh, 5more, 2, small, med, negative,2,tst
high, vhigh, 5more, 2, med, low, negative,2,tst
high, vhigh, 5more, 4, small, low, negative,2,tst
high, vhigh, 5more, 4, small, med, negative,2,tst
high, vhigh, 5more, 4, small, high, negative,2,tst
high, vhigh, 5more, 4, med, med, negative,2,tst
high, vhigh, 5more, 4, big, med, negative,2,tst
high, vhigh, 5more, 4, big, high, negative,2,tst
high, high, 2, 2, small, low, negative,2,tst
high, high, 2, 4, small, med, negative,2,tst
high, high, 2, 4, big, med, negative,2,tst
high, high, 2, more, small, med, negative,2,tst
high, high, 2, more, med, high, negative,2,tst
high, high, 2, more, big, high, negative,2,tst
high, high, 3, 2, small, low, negative,2,tst
high, high, 3, 2, small, high, negative,2,tst
high, high, 3, 2, med, low, negative,2,tst
high, high, 3, 2, big, high, negative,2,tst
high, high, 3, 4, small, low, negative,2,tst
high, high, 3, 4, med, low, negative,2,tst
high, high, 3, more, small, med, negative,2,tst
high, high, 3, more, med, low, negative,2,tst
high, high, 4, 4, small, med, negative,2,tst
high, high, 4, 4, small, high, negative,2,tst
high, high, 4, 4, med, high, negative,2,tst
high, high, 4, more, small, med, negative,2,tst
high, high, 5more, 4, med, high, negative,2,tst
high, high, 5more, more, small, med, negative,2,tst
high, med, 2, 4, med, med, negative,2,tst
high, med, 2, 4, med, high, negative,2,tst
high, med, 2, more, small, med, negative,2,tst
high, med, 3, 2, med, low, negative,2,tst
high, med, 3, 2, big, low, negative,2,tst
high, med, 3, 2, big, med, negative,2,tst
high, med, 3, 4, big, high, negative,2,tst
high, med, 3, more, small, med, negative,2,tst
high, med, 3, more, big, low, negative,2,tst
high, med, 4, 2, med, high, negative,2,tst
high, med, 4, 2, big, high, negative,2,tst
high, med, 4, 4, small, high, negative,2,tst
high, med, 5more, 2, small, high, negative,2,tst
high, med, 5more, 2, big, high, negative,2,tst
high, med, 5more, 4, big, med, negative,2,tst
high, med, 5more, more, small, med, negative,2,tst
