var0,var1,var2,var3,var4,var5,y,fold,train_test
49.0,29.0,48.0,56.0,24.0,35.0, negative,2,tra
7.0,4.0,48.0,54.0,35.0,44.0, negative,2,tra
59.0,49.0,48.0,52.0,45.0,36.0, negative,2,tra
23.0,32.0,48.0,55.0,25.0,35.0, negative,2,tra
67.0,39.0,48.0,36.0,38.0,46.0, negative,2,tra
29.0,28.0,48.0,44.0,23.0,34.0, negative,2,tra
2.0,44.0,48.0,46.0,51.0,57.0, negative,2,tra
42.0,4.0,48.0,56.0,18.0,3.0, negative,2,tra
25.0,48.0,48.0,44.0,17.0,29.0, negative,2,tra
39.0,32.0,48.0,46.0,24.0,35.0, negative,2,tra
51.0,5.0,48.0,46.0,32.0,35.0, negative,2,tra
25.0,4.0,48.0,46.0,44.0,52.0, negative,2,tra
34.0,45.0,48.0,38.0,24.0,35.0, negative,2,tra
44.0,27.0,48.0,55.0,52.0,58.0, negative,2,tra
23.0,4.0,48.0,39.0,28.0,38.0, negative,2,tra
41.0,57.0,48.0,39.0,21.0,32.0, negative,2,tra
4.0,45.0,48.0,38.0,22.0,0.0, negative,2,tra
31.0,23.0,48.0,73.0,5.0,14.0, negative,2,tra
51.0,54.0,48.0,41.0,34.0,43.0, negative,2,tra
3.0,16.0,48.0,56.0,11.0,23.0, negative,2,tra
36.0,39.0,48.0,48.0,22.0,23.0, negative,2,tra
29.0,37.0,48.0,48.0,44.0,52.0, negative,2,tra
25.0,4.0,48.0,47.0,33.0,42.0, negative,2,tra
21.0,51.0,48.0,5.0,32.0,41.0, negative,2,tra
43.0,37.0,48.0,53.0,35.0,44.0, negative,2,tra
43.0,39.0,48.0,47.0,31.0,41.0, negative,2,tra
34.0,33.0,48.0,38.0,35.0,44.0, negative,2,tra
24.0,35.0,48.0,31.0,19.0,31.0, negative,2,tra
36.0,54.0,48.0,41.0,38.0,46.0, negative,2,tra
29.0,52.0,48.0,42.0,29.0,39.0, negative,2,tra
32.0,42.0,48.0,35.0,28.0,38.0, negative,2,tra
38.0,46.0,48.0,48.0,22.0,29.0, negative,2,tra
4.0,5.0,48.0,45.0,39.0,47.0, negative,2,tra
28.0,38.0,48.0,5.0,33.0,42.0, negative,2,tra
17.0,38.0,48.0,45.0,42.0,5.0, negative,2,tra
42.0,35.0,48.0,58.0,15.0,27.0, negative,2,tra
23.0,33.0,48.0,43.0,33.0,43.0, negative,2,tra
29.0,3.0,48.0,45.0,3.0,17.0, negative,2,tra
22.0,36.0,48.0,35.0,39.0,47.0, negative,2,tra
23.0,58.0,48.0,37.0,53.0,59.0, negative,2,tra
47.0,47.0,48.0,22.0,16.0,26.0, negative,2,tra
4.0,35.0,48.0,45.0,33.0,42.0, negative,2,tra
42.0,38.0,48.0,54.0,34.0,43.0, negative,2,tra
44.0,56.0,48.0,5.0,46.0,54.0, negative,2,tra
36.0,41.0,48.0,48.0,47.0,54.0, negative,2,tra
47.0,29.0,48.0,51.0,33.0,43.0, negative,2,tra
24.0,43.0,48.0,54.0,52.0,59.0, negative,2,tra
25.0,37.0,48.0,41.0,33.0,42.0, negative,2,tra
52.0,57.0,48.0,42.0,47.0,54.0, negative,2,tra
25.0,37.0,48.0,43.0,26.0,36.0, negative,2,tra
35.0,48.0,48.0,56.0,4.0,48.0, negative,2,tra
26.0,26.0,48.0,34.0,25.0,35.0, negative,2,tra
44.0,51.0,48.0,47.0,26.0,36.0, negative,2,tra
44.0,42.0,48.0,42.0,25.0,2.0, negative,2,tra
24.0,43.0,48.0,37.0,28.0,38.0, negative,2,tra
48.0,42.0,48.0,45.0,25.0,35.0, negative,2,tra
41.0,48.0,48.0,51.0,44.0,51.0, negative,2,tra
34.0,28.0,48.0,41.0,35.0,44.0, negative,2,tra
41.0,43.0,48.0,45.0,31.0,41.0, negative,2,tra
29.0,47.0,48.0,41.0,23.0,34.0, negative,2,tra
34.0,55.0,48.0,58.0,31.0,41.0, negative,2,tra
4.0,46.0,48.0,52.0,49.0,56.0, negative,2,tra
5.0,49.0,48.0,49.0,46.0,53.0, negative,2,tra
52.0,44.0,48.0,37.0,36.0,42.0, negative,2,tra
5.0,51.0,48.0,27.0,23.0,34.0, negative,2,tra
53.0,42.0,48.0,16.0,29.0,39.0, negative,2,tra
34.0,46.0,48.0,52.0,35.0,44.0, negative,2,tra
41.0,43.0,48.0,5.0,24.0,25.0, negative,2,tra
64.0,76.0,48.0,45.0,35.0,38.0, negative,2,tra
35.0,37.0,48.0,3.0,34.0,43.0, negative,2,tra
57.0,54.0,48.0,37.0,28.0,33.0, negative,2,tra
65.0,55.0,48.0,34.0,37.0,28.0, negative,2,tra
38.0,4.0,48.0,63.0,25.0,35.0, negative,2,tra
24.0,57.0,48.0,63.0,34.0,43.0, negative,2,tra
38.0,26.0,48.0,54.0,16.0,28.0, negative,2,tra
33.0,47.0,48.0,53.0,18.0,29.0, negative,2,tra
24.0,34.0,48.0,38.0,3.0,4.0, negative,2,tra
26.0,5.0,48.0,44.0,32.0,41.0, negative,2,tra
44.0,49.0,48.0,39.0,38.0,4.0, negative,2,tra
