var0,var1,var2,var3,var4,var5,var6,y,fold,train_test
0.44,0.52,0.48,0.5,0.43,0.47,0.54, negative,5,tra
0.23,0.48,0.48,0.5,0.59,0.88,0.89, negative,5,tra
0.34,0.49,0.48,0.5,0.58,0.85,0.8, negative,5,tra
0.43,0.4,0.48,0.5,0.58,0.75,0.78, negative,5,tra
0.46,0.61,0.48,0.5,0.48,0.86,0.87, negative,5,tra
0.27,0.35,0.48,0.5,0.51,0.77,0.79, negative,5,tra
0.52,0.39,0.48,0.5,0.65,0.71,0.73, negative,5,tra
0.29,0.47,0.48,0.5,0.71,0.65,0.69, negative,5,tra
0.12,0.67,0.48,0.5,0.74,0.58,0.63, negative,5,tra
0.4,0.5,0.48,0.5,0.65,0.82,0.84, negative,5,tra
0.73,0.36,0.48,0.5,0.53,0.91,0.92, negative,5,tra
0.84,0.44,0.48,0.5,0.48,0.71,0.74, negative,5,tra
0.48,0.45,0.48,0.5,0.6,0.78,0.8, negative,5,tra
0.54,0.49,0.48,0.5,0.4,0.87,0.88, negative,5,tra
0.48,0.41,0.48,0.5,0.51,0.9,0.88, negative,5,tra
0.5,0.66,0.48,0.5,0.31,0.92,0.92, negative,5,tra
0.72,0.46,0.48,0.5,0.51,0.66,0.7, negative,5,tra
0.33,0.56,0.48,0.5,0.33,0.78,0.8, negative,5,tra
0.64,0.58,0.48,0.5,0.48,0.78,0.73, negative,5,tra
0.54,0.57,0.48,0.5,0.56,0.81,0.83, negative,5,tra
0.49,0.42,0.48,0.5,0.53,0.79,0.81, negative,5,tra
0.33,0.45,0.48,0.5,0.45,0.88,0.89, negative,5,tra
0.45,0.4,0.48,0.5,0.61,0.74,0.77, negative,5,tra
0.71,0.4,0.48,0.5,0.71,0.7,0.74, negative,5,tra
0.5,0.37,0.48,0.5,0.66,0.64,0.69, negative,5,tra
0.66,0.53,0.48,0.5,0.59,0.66,0.66, negative,5,tra
0.6,0.61,0.48,0.5,0.54,0.67,0.71, negative,5,tra
0.83,0.37,0.48,0.5,0.61,0.71,0.74, negative,5,tra
0.63,0.54,0.48,0.5,0.65,0.79,0.81, negative,5,tra
0.7,0.4,0.48,0.5,0.56,0.86,0.83, negative,5,tra
0.6,0.5,1.0,0.5,0.54,0.77,0.8, negative,5,tra
0.16,0.51,0.48,0.5,0.33,0.39,0.48, negative,5,tra
0.74,0.7,0.48,0.5,0.66,0.65,0.69, negative,5,tra
0.7,0.46,0.48,0.5,0.56,0.78,0.73, negative,5,tra
0.12,0.43,0.48,0.5,0.63,0.7,0.74, negative,5,tra
0.61,0.52,0.48,0.5,0.54,0.67,0.52, negative,5,tra
0.33,0.37,0.48,0.5,0.46,0.65,0.69, negative,5,tra
0.63,0.65,0.48,0.5,0.66,0.67,0.71, negative,5,tra
0.41,0.51,0.48,0.5,0.53,0.75,0.78, negative,5,tra
0.34,0.67,0.48,0.5,0.52,0.76,0.79, negative,5,tra
0.58,0.34,0.48,0.5,0.56,0.87,0.81, negative,5,tra
0.59,0.56,0.48,0.5,0.55,0.8,0.82, negative,5,tra
0.51,0.4,0.48,0.5,0.57,0.62,0.67, negative,5,tra
0.5,0.57,0.48,0.5,0.71,0.61,0.66, negative,5,tra
0.6,0.46,0.48,0.5,0.45,0.81,0.83, negative,5,tra
0.36,0.47,0.48,0.5,0.51,0.69,0.72, negative,5,tra
0.39,0.41,0.48,0.5,0.52,0.72,0.75, negative,5,tra
0.35,0.51,0.48,0.5,0.61,0.71,0.74, negative,5,tra
0.31,0.44,0.48,0.5,0.5,0.79,0.82, negative,5,tra
0.48,0.49,0.48,0.5,0.52,0.77,0.71, negative,5,tra
0.11,0.5,0.48,0.5,0.58,0.72,0.68, negative,5,tra
