var0,var1,var2,var3,var4,var5,var6,var7,var8,y,fold,train_test
80,0,85,6,-40,10,5,126,122, negative,3,tst
79,6,83,1,-40,13,4,124,120, negative,3,tst
80,1,84,0,-28,0,4,112,108, negative,3,tst
105,0,106,-3,72,8,1,34,34, negative,3,tst
105,0,106,-1,70,0,1,36,36, negative,3,tst
81,-5,84,0,-22,-6,4,108,104, negative,3,tst
102,0,103,0,72,12,1,31,30, negative,3,tst
76,0,81,2,-40,0,5,122,118, negative,3,tst
82,0,86,0,-4,-24,3,91,88, negative,3,tst
77,0,81,-2,-40,0,4,122,118, negative,3,tst
83,0,86,0,-6,-23,3,94,90, negative,3,tst
105,0,106,-7,70,0,1,36,36, negative,3,tst
78,1,82,0,-46,0,4,128,124, negative,3,tst
79,-1,83,-3,-32,12,4,117,112, negative,3,tst
84,4,89,0,6,-10,5,84,80, negative,3,tst
79,4,83,0,-30,0,4,114,110, negative,3,tst
82,0,86,1,-6,3,4,94,90, negative,3,tst
85,0,88,-2,2,-5,3,86,82, negative,3,tst
81,0,84,0,-22,-16,4,108,104, negative,3,tst
82,0,86,5,-10,0,4,96,92, negative,3,tst
80,-4,84,0,-36,0,5,121,116, negative,3,tst
80,0,84,1,-36,16,5,121,116, negative,3,tst
82,-1,86,0,-2,2,4,88,84, negative,3,tst
85,0,88,0,2,4,3,86,82, negative,3,tst
84,0,88,0,0,25,3,88,84, negative,3,tst
80,-1,84,0,-36,0,5,121,116, negative,3,tst
106,0,108,-3,70,-4,1,38,36, negative,3,tst
81,0,84,4,-14,0,4,100,96, negative,3,tst
42,36,77,0,-22,0,36,101,64, positive,3,tst
77,2,81,1,-40,13,4,123,118, negative,3,tst
107,5,108,-1,70,-2,1,38,36, negative,3,tst
80,0,84,2,-42,-23,5,128,124, negative,3,tst
79,0,83,0,-42,2,4,127,122, negative,3,tst
108,0,109,0,72,4,1,36,36, negative,3,tst
81,1,84,0,-14,1,3,100,96, negative,3,tst
82,0,85,0,-6,26,3,93,90, negative,3,tst
78,-4,83,0,-46,0,4,129,124, negative,3,tst
79,-1,83,-2,-40,2,4,124,120, negative,3,tst
106,0,108,5,70,0,2,38,36, negative,3,tst
84,-3,88,0,6,0,5,83,78, negative,3,tst
81,-2,84,0,-18,0,4,103,98, negative,3,tst
85,0,88,-6,6,0,3,83,80, negative,3,tst
81,0,86,0,-22,10,4,109,104, negative,3,tst
79,2,83,0,-28,0,4,112,108, negative,3,tst
81,0,85,0,-40,3,4,126,122, negative,3,tst
81,4,84,1,-20,0,4,105,102, negative,3,tst
81,5,84,0,-24,0,4,110,106, negative,3,tst
82,0,85,0,-2,0,3,88,84, negative,3,tst
102,0,103,0,70,-17,1,33,32, negative,3,tst
101,0,102,0,72,5,1,30,28, negative,3,tst
78,0,83,7,-42,0,4,126,122, negative,3,tst
105,3,106,3,70,0,1,36,36, negative,3,tst
79,4,83,1,-42,-23,4,127,122, negative,3,tst
105,2,106,1,70,0,1,36,34, negative,3,tst
101,0,102,0,70,0,1,33,32, negative,3,tst
83,0,86,-1,-4,0,3,92,88, negative,3,tst
105,-3,106,-5,70,0,1,36,34, negative,3,tst
79,-2,83,-3,-40,3,4,124,120, negative,3,tst
79,0,83,-2,-46,0,4,129,126, negative,3,tst
75,4,79,4,-42,0,4,123,120, negative,3,tst
81,0,85,0,-40,9,4,126,122, negative,3,tst
84,2,86,-5,-4,0,3,92,88, negative,3,tst
76,0,80,-3,-40,0,4,121,118, negative,3,tst
80,0,84,1,-42,0,5,128,124, negative,3,tst
105,-5,106,-7,70,0,1,36,34, negative,3,tst
102,0,103,0,72,6,1,31,30, negative,3,tst
81,0,84,0,-14,-14,4,100,96, negative,3,tst
105,-1,106,-1,70,0,1,36,34, negative,3,tst
79,0,83,0,-28,16,4,112,108, negative,3,tst
80,5,84,0,-38,0,4,123,118, negative,3,tst
85,-3,88,0,6,9,3,83,80, negative,3,tst
78,0,83,8,-42,0,4,126,122, negative,3,tst
107,1,108,1,70,-26,1,38,36, negative,3,tst
106,5,108,1,70,0,1,38,36, negative,3,tst
