classifier,discretizer,dataset,fold,avg_precision,auc
GaussianMixture,0,shuttle-6_vs_2-3.csv,0,0.025023165896926637,0.9313636363636364
GaussianMixture,1,shuttle-6_vs_2-3.csv,0,0.025023165896926637,0.9313636363636364
GaussianMixture,2,shuttle-6_vs_2-3.csv,0,0.025023165896926637,0.9313636363636364
GaussianMixture,0,cleveland-0_vs_4.csv,0,0.045680250653925926,0.8418269230769231
GaussianMixture,1,cleveland-0_vs_4.csv,0,0.045680250653925926,0.8418269230769231
GaussianMixture,2,cleveland-0_vs_4.csv,0,0.045680250653925926,0.8418269230769231
GaussianMixture,0,yeast-0-3-5-9_vs_7-8.csv,0,0.07865039550767006,0.6124561403508773
GaussianMixture,1,yeast-0-3-5-9_vs_7-8.csv,0,0.07865039550767006,0.6124561403508773
GaussianMixture,2,yeast-0-3-5-9_vs_7-8.csv,0,0.07865039550767006,0.6124561403508773
GaussianMixture,0,yeast-2_vs_8.csv,0,0.03335299597954225,0.7547619047619047
GaussianMixture,1,yeast-2_vs_8.csv,0,0.03335299597954225,0.7547619047619047
GaussianMixture,2,yeast-2_vs_8.csv,0,0.03335299597954225,0.7547619047619047
GaussianMixture,0,yeast-1-2-8-9_vs_7.csv,0,0.024239609536697307,0.6299163940385314
GaussianMixture,1,yeast-1-2-8-9_vs_7.csv,0,0.024239609536697307,0.6299163940385314
GaussianMixture,2,yeast-1-2-8-9_vs_7.csv,0,0.024239609536697307,0.6299163940385314
DTAE,0,results_dtae_buenobueno.csv,0,-1.0,-1.0
DTAE,1,results_dtae_buenobueno.csv,0,-1.0,-1.0
DTAE,2,results_dtae_buenobueno.csv,0,-1.0,-1.0
GaussianMixture,0,yeast-0-5-6-7-9_vs_4.csv,0,0.07007305582944355,0.654170263493238
GaussianMixture,1,yeast-0-5-6-7-9_vs_4.csv,0,0.07007305582944355,0.654170263493238
GaussianMixture,2,yeast-0-5-6-7-9_vs_4.csv,0,0.07007305582944355,0.654170263493238
GaussianMixture,0,ecoli-0-3-4_vs_5.csv,0,0.06360004173945148,0.7816666666666666
GaussianMixture,1,ecoli-0-3-4_vs_5.csv,0,0.06360004173945148,0.7816666666666666
GaussianMixture,2,ecoli-0-3-4_vs_5.csv,0,0.06360004173945148,0.7816666666666666
GaussianMixture,0,ecoli-0-1-3-7_vs_2-6.csv,0,0.015688120567932055,0.8618352450469239
GaussianMixture,1,ecoli-0-1-3-7_vs_2-6.csv,0,0.015688120567932055,0.8618352450469239
GaussianMixture,2,ecoli-0-1-3-7_vs_2-6.csv,0,0.015688120567932055,0.8618352450469239
GaussianMixture,0,lymphography-normal-fibrosis.csv,0,0.02444952453735083,0.9671361502347418
GaussianMixture,1,lymphography-normal-fibrosis.csv,0,0.02444952453735083,0.9671361502347418
GaussianMixture,2,lymphography-normal-fibrosis.csv,0,0.02444952453735083,0.9671361502347418
GaussianMixture,0,ecoli-0_vs_1.csv,0,0.8703650016366848,0.7818545091272363
GaussianMixture,1,ecoli-0_vs_1.csv,0,0.8703650016366848,0.7818545091272363
GaussianMixture,2,ecoli-0_vs_1.csv,0,0.8703650016366848,0.7818545091272363
GaussianMixture,0,dermatology-6.csv,0,0.03414099202964119,0.8022189349112426
GaussianMixture,1,dermatology-6.csv,0,0.03414099202964119,0.8022189349112426
GaussianMixture,2,dermatology-6.csv,0,0.03414099202964119,0.8022189349112426
GaussianMixture,0,pimaImb.csv,0,0.26760227326121183,0.6744477611940298
GaussianMixture,1,pimaImb.csv,0,0.26760227326121183,0.6744477611940298
GaussianMixture,2,pimaImb.csv,0,0.26760227326121183,0.6744477611940298
GaussianMixture,0,shuttle-c2-vs-c4.csv,0,0.028165688665649974,0.9742547425474255
GaussianMixture,1,shuttle-c2-vs-c4.csv,0,0.028165688665649974,0.9742547425474255
GaussianMixture,2,shuttle-c2-vs-c4.csv,0,0.028165688665649974,0.9742547425474255
GaussianMixture,0,car-vgood.csv,0,0.03570430962314849,0.5376520653129192
GaussianMixture,1,car-vgood.csv,0,0.03570430962314849,0.5376520653129192
GaussianMixture,2,car-vgood.csv,0,0.03570430962314849,0.5376520653129192
GaussianMixture,0,kr-vs-k-one_vs_fifteen.csv,0,0.017807870093375856,0.9998875393612235
GaussianMixture,1,kr-vs-k-one_vs_fifteen.csv,0,0.017807870093375856,0.9998875393612235
GaussianMixture,2,kr-vs-k-one_vs_fifteen.csv,0,0.017807870093375856,0.9998875393612235
GaussianMixture,0,vowel0.csv,0,0.05428547069326829,0.793046275674338
GaussianMixture,1,vowel0.csv,0,0.05428547069326829,0.793046275674338
GaussianMixture,2,vowel0.csv,0,0.05428547069326829,0.793046275674338
GaussianMixture,0,winequality-white-9_vs_4.csv,0,0.023360219586035895,0.7300613496932515
GaussianMixture,1,winequality-white-9_vs_4.csv,0,0.023360219586035895,0.7300613496932515
GaussianMixture,2,winequality-white-9_vs_4.csv,0,0.023360219586035895,0.7300613496932515
GaussianMixture,0,winequality-red-8_vs_6-7.csv,0,0.024816686195976878,0.5829018983140848
GaussianMixture,1,winequality-red-8_vs_6-7.csv,0,0.024816686195976878,0.5829018983140848
GaussianMixture,2,winequality-red-8_vs_6-7.csv,0,0.024816686195976878,0.5829018983140848
GaussianMixture,0,winequality-white-3_vs_7.csv,0,0.012405392016730694,0.8856818181818182
GaussianMixture,1,winequality-white-3_vs_7.csv,0,0.012405392016730694,0.8856818181818182
GaussianMixture,2,winequality-white-3_vs_7.csv,0,0.012405392016730694,0.8856818181818182
GaussianMixture,0,poker-8-9_vs_5.csv,0,0.08789057318817617,0.6563512195121951
GaussianMixture,1,poker-8-9_vs_5.csv,0,0.08789057318817617,0.6563512195121951
GaussianMixture,2,poker-8-9_vs_5.csv,0,0.08789057318817617,0.6563512195121951
GaussianMixture,0,abalone-19_vs_10-11-12-13.csv,0,0.015606166369036157,0.6044614779874213
GaussianMixture,1,abalone-19_vs_10-11-12-13.csv,0,0.015606166369036157,0.6044614779874213
GaussianMixture,2,abalone-19_vs_10-11-12-13.csv,0,0.015606166369036157,0.6044614779874213
GaussianMixture,0,segment0.csv,0,0.24462378633628118,0.7171516731148181
GaussianMixture,1,segment0.csv,0,0.24462378633628118,0.7171516731148181
GaussianMixture,2,segment0.csv,0,0.24462378633628118,0.7171516731148181
GaussianMixture,0,yeast-2_vs_4.csv,0,0.059172162310100515,0.8108245458010418
GaussianMixture,1,yeast-2_vs_4.csv,0,0.059172162310100515,0.8108245458010418
GaussianMixture,2,yeast-2_vs_4.csv,0,0.059172162310100515,0.8108245458010418
GaussianMixture,0,winequality-white-3-9_vs_5.csv,0,0.009920510687633178,0.815264241592313
GaussianMixture,1,winequality-white-3-9_vs_5.csv,0,0.009920510687633178,0.815264241592313
GaussianMixture,2,winequality-white-3-9_vs_5.csv,0,0.009920510687633178,0.815264241592313
GaussianMixture,0,vehicle2.csv,0,0.38331810164426117,0.5673537661426985
GaussianMixture,1,vehicle2.csv,0,0.38331810164426117,0.5673537661426985
GaussianMixture,2,vehicle2.csv,0,0.38331810164426117,0.5673537661426985
GaussianMixture,0,vehicle3.csv,0,0.22555462310405106,0.5185554431283852
GaussianMixture,1,vehicle3.csv,0,0.22555462310405106,0.5185554431283852
GaussianMixture,2,vehicle3.csv,0,0.22555462310405106,0.5185554431283852
GaussianMixture,0,ecoli4.csv,0,0.034754249544830584,0.8680379746835443
GaussianMixture,1,ecoli4.csv,0,0.034754249544830584,0.8680379746835443
GaussianMixture,2,ecoli4.csv,0,0.034754249544830584,0.8680379746835443
GaussianMixture,0,winequality-red-8_vs_6.csv,0,0.02430306089011005,0.625914315569488
GaussianMixture,1,winequality-red-8_vs_6.csv,0,0.02430306089011005,0.625914315569488
GaussianMixture,2,winequality-red-8_vs_6.csv,0,0.02430306089011005,0.625914315569488
GaussianMixture,0,wisconsinImb.csv,0,0.20260709451579592,0.9723887066983301
GaussianMixture,1,wisconsinImb.csv,0,0.20260709451579592,0.9723887066983301
GaussianMixture,2,wisconsinImb.csv,0,0.20260709451579592,0.9723887066983301
GaussianMixture,0,kr-vs-k-zero-one_vs_draw.csv,0,0.01862664036322308,0.960719395054159
GaussianMixture,1,kr-vs-k-zero-one_vs_draw.csv,0,0.01862664036322308,0.960719395054159
GaussianMixture,2,kr-vs-k-zero-one_vs_draw.csv,0,0.01862664036322308,0.960719395054159
GaussianMixture,0,yeast-1_vs_7.csv,0,0.04883215617993984,0.6441336441336443
GaussianMixture,1,yeast-1_vs_7.csv,0,0.04883215617993984,0.6441336441336443
