classifier,discretizer,dataset,fold,avg_precision,auc
DTAE,0,shuttle-6_vs_2-3.csv,0,0.5781755895694344,0.8263636363636364
DTAE,1,shuttle-6_vs_2-3.csv,0,0.9640645554383054,0.6236363636363637
DTAE,2,shuttle-6_vs_2-3.csv,0,0.9618895376691801,0.595
DTAE,0,cleveland-0_vs_4.csv,0,0.699399434607137,0.7735576923076923
DTAE,1,cleveland-0_vs_4.csv,0,0.9009685912495107,0.6019230769230769
DTAE,2,cleveland-0_vs_4.csv,0,0.9129647036693358,0.5990384615384615
DTAE,0,yeast-0-3-5-9_vs_7-8.csv,0,0.908530792707211,0.582171052631579
DTAE,1,yeast-0-3-5-9_vs_7-8.csv,0,0.9019966547528859,0.510438596491228
DTAE,2,yeast-0-3-5-9_vs_7-8.csv,0,0.8720797975404788,0.5940789473684212
DTAE,0,yeast-2_vs_8.csv,0,0.930048095226502,0.600487012987013
DTAE,1,yeast-2_vs_8.csv,0,0.9740408192109687,0.7798701298701299
DTAE,2,yeast-2_vs_8.csv,0,0.9126144673787719,0.6489177489177489
DTAE,0,yeast-1-2-8-9_vs_7.csv,0,0.9677120631383557,0.5329516539440203
DTAE,1,yeast-1-2-8-9_vs_7.csv,0,0.9504272475393342,0.5219374772809887
DTAE,2,yeast-1-2-8-9_vs_7.csv,0,0.9625263507642041,0.5125045438022537
DTAE,0,results_dtae_buenobueno.csv,0,-1.0,-1.0
DTAE,1,results_dtae_buenobueno.csv,0,-1.0,-1.0
DTAE,2,results_dtae_buenobueno.csv,0,-1.0,-1.0
DTAE,0,yeast-0-5-6-7-9_vs_4.csv,0,0.885431075876836,0.5726558967402475
DTAE,1,yeast-0-5-6-7-9_vs_4.csv,0,0.8424230877249779,0.5219920253216591
DTAE,2,yeast-0-5-6-7-9_vs_4.csv,0,0.9359743577019466,0.7231471204834135
DTAE,0,ecoli-0-3-4_vs_5.csv,0,0.6383970755203817,0.8404166666666667
DTAE,1,ecoli-0-3-4_vs_5.csv,0,0.9331054459259231,0.78375
DTAE,2,ecoli-0-3-4_vs_5.csv,0,0.5689862039564619,0.8459722222222221
DTAE,0,ecoli-0-1-3-7_vs_2-6.csv,0,0.9528248342673109,0.6671011470281543
DTAE,1,ecoli-0-1-3-7_vs_2-6.csv,0,0.903205838089559,0.6303441084462982
DTAE,2,ecoli-0-1-3-7_vs_2-6.csv,0,0.9825394669059311,0.8401981230448385
DTAE,0,lymphography-normal-fibrosis.csv,0,0.9726170855923539,0.8274647887323944
DTAE,1,lymphography-normal-fibrosis.csv,0,0.9046689855144914,0.5305164319248826
DTAE,2,lymphography-normal-fibrosis.csv,0,0.9120487503428768,0.5528169014084507
DTAE,0,ecoli-0_vs_1.csv,0,0.5432107048313495,0.9595858686767778
DTAE,1,ecoli-0_vs_1.csv,0,0.5173702080014714,0.8327581509399691
