%
% Comments go after a '%' sign.
%
%
% Relation: World Cup 2014
%
%
% Attributes: 8     Instances: 207
%
%

@relation World Cup 2014

@attribute '0' numeric
@attribute '0' numeric
@attribute '1' numeric
@attribute '2' numeric
@attribute '3' numeric
@attribute '4' numeric
@attribute '5' numeric
@attribute 'y' {' negative'}

@data
0,0.0,0.0,9.0,7.0,3.0,4.0,' negative'
1,6.0,0.0,9.0,6.0,3.0,4.0,' negative'
2,2.0,4.0,9.0,7.0,2.0,3.0,' negative'
3,7.0,5.0,9.0,4.0,4.0,4.0,' negative'
4,3.0,3.0,9.0,5.0,2.0,3.0,' negative'
5,4.0,0.0,9.0,7.0,1.0,0.0,' negative'
6,4.0,3.0,9.0,7.0,2.0,3.0,' negative'
7,2.0,6.0,9.0,5.0,1.0,2.0,' negative'
8,4.0,4.0,9.0,5.0,2.0,3.0,' negative'
9,2.0,5.0,9.0,6.0,1.0,2.0,' negative'
10,2.0,0.0,9.0,5.0,4.0,5.0,' negative'
11,4.0,3.0,9.0,7.0,5.0,5.0,' negative'
12,4.0,7.0,9.0,5.0,2.0,3.0,' negative'
13,0.0,6.0,9.0,4.0,2.0,0.0,' negative'
14,3.0,2.0,9.0,9.0,0.0,1.0,' negative'
15,4.0,5.0,9.0,6.0,2.0,2.0,' negative'
16,3.0,5.0,9.0,6.0,4.0,5.0,' negative'
17,2.0,7.0,9.0,0.0,3.0,4.0,' negative'
18,4.0,5.0,9.0,6.0,3.0,4.0,' negative'
19,5.0,5.0,9.0,5.0,2.0,3.0,' negative'
20,6.0,7.0,9.0,4.0,3.0,4.0,' negative'
21,0.0,3.0,9.0,5.0,3.0,4.0,' negative'
22,2.0,4.0,9.0,3.0,1.0,3.0,' negative'
23,4.0,7.0,9.0,5.0,4.0,4.0,' negative'
24,3.0,7.0,9.0,5.0,3.0,3.0,' negative'
25,7.0,6.0,9.0,7.0,0.0,0.0,' negative'
26,3.0,5.0,9.0,4.0,2.0,3.0,' negative'
27,4.0,6.0,9.0,6.0,2.0,2.0,' negative'
28,3.0,6.0,9.0,6.0,3.0,4.0,' negative'
29,0.0,5.0,9.0,7.0,4.0,4.0,' negative'
30,3.0,5.0,9.0,0.0,3.0,4.0,' negative'
31,6.0,6.0,9.0,6.0,3.0,4.0,' negative'
32,1.0,5.0,9.0,5.0,4.0,0.0,' negative'
33,4.0,4.0,9.0,7.0,5.0,6.0,' negative'
34,4.0,0.0,9.0,5.0,2.0,3.0,' negative'
35,4.0,4.0,9.0,7.0,1.0,2.0,' negative'
36,2.0,4.0,9.0,5.0,3.0,4.0,' negative'
37,4.0,7.0,9.0,5.0,4.0,3.0,' negative'
38,3.0,0.0,9.0,5.0,0.0,1.0,' negative'
39,2.0,4.0,9.0,4.0,4.0,4.0,' negative'
40,5.0,6.0,9.0,2.0,1.0,2.0,' negative'
41,6.0,6.0,9.0,3.0,3.0,4.0,' negative'
42,0.0,4.0,9.0,5.0,3.0,4.0,' negative'
43,4.0,4.0,9.0,0.0,3.0,4.0,' negative'
44,4.0,5.0,9.0,7.0,3.0,4.0,' negative'
45,5.0,4.0,9.0,5.0,2.0,3.0,' negative'
46,4.0,5.0,9.0,6.0,5.0,5.0,' negative'
47,2.0,0.0,9.0,5.0,2.0,3.0,' negative'
48,5.0,3.0,9.0,6.0,3.0,4.0,' negative'
49,2.0,5.0,9.0,7.0,5.0,5.0,' negative'
50,2.0,5.0,9.0,5.0,3.0,4.0,' negative'
51,5.0,7.0,9.0,5.0,5.0,5.0,' negative'
52,2.0,5.0,9.0,5.0,2.0,3.0,' negative'
53,3.0,6.0,9.0,7.0,0.0,4.0,' negative'
54,2.0,3.0,9.0,4.0,2.0,3.0,' negative'
55,4.0,7.0,9.0,6.0,2.0,3.0,' negative'
56,2.0,5.0,9.0,4.0,2.0,3.0,' negative'
57,4.0,0.0,9.0,6.0,2.0,3.0,' negative'
58,5.0,5.0,9.0,5.0,2.0,3.0,' negative'
59,4.0,3.0,9.0,5.0,2.0,3.0,' negative'
60,3.0,5.0,9.0,6.0,4.0,4.0,' negative'
61,3.0,3.0,9.0,5.0,3.0,4.0,' negative'
62,4.0,5.0,9.0,5.0,3.0,4.0,' negative'
63,3.0,6.0,9.0,5.0,2.0,3.0,' negative'
64,4.0,7.0,9.0,5.0,4.0,5.0,' negative'
65,0.0,6.0,9.0,6.0,5.0,5.0,' negative'
66,0.0,6.0,9.0,6.0,4.0,5.0,' negative'
67,5.0,5.0,9.0,1.0,3.0,3.0,' negative'
68,3.0,6.0,9.0,6.0,3.0,4.0,' negative'
69,0.0,5.0,9.0,4.0,2.0,2.0,' negative'
70,4.0,5.0,9.0,0.0,2.0,2.0,' negative'
71,0.0,6.0,9.0,4.0,2.0,3.0,' negative'
72,3.0,5.0,9.0,0.0,3.0,4.0,' negative'
