fingerprint,minutia,x,y,angle
B101X9I_1_1,v0,382,471,43.0
B101X9I_1_1,v1,399,435,30.0
B101X9I_1_1,v2,418,370,31.0
B101X9I_1_1,v3,354,511,32.0
B101X9I_1_1,v4,422,353,14.0
B101X9I_1_1,v5,360,459,8.0
B101X9I_1_1,v6,375,413,11.0
B101X9I_1_1,v7,305,469,327.0
B101X9I_1_1,v8,430,460,213.0
B101X9I_1_1,v9,368,512,171.0
B101X9I_1_1,v10,326,481,136.0
B101X9I_1_1,v11,355,526,120.0
B101X9I_1_1,v12,369,527,111.0
B101X9I_1_1,v13,378,533,99.0
B102X0I_1_1,v0,494,505,7.0
B102X0I_1_1,v1,447,515,0.0
B102X0I_1_1,v2,363,538,355.0
B102X0I_1_1,v3,496,493,350.0
B102X0I_1_1,v4,398,536,353.0
B102X0I_1_1,v5,440,500,343.0
B102X0I_1_1,v6,400,499,342.0
B102X0I_1_1,v7,376,510,342.0
B102X0I_1_1,v8,363,498,339.0
B102X0I_1_1,v9,431,468,331.0
B102X0I_1_1,v10,391,459,325.0
B102X0I_1_1,v11,444,421,321.0
B102X0I_1_1,v12,463,437,320.0
B102X0I_1_1,v13,389,493,165.0
B102X0I_1_1,v14,478,411,146.0
B102X0I_1_1,v15,562,434,132.0
B102X0I_1_1,v16,565,454,117.0
B102X0I_1_1,v17,578,403,97.0
B104X8I_1_1,v0,443,399,56.0
B104X8I_1_1,v1,456,282,20.0
B104X8I_1_1,v2,387,272,356.0
B104X8I_1_1,v3,373,433,356.0
B104X8I_1_1,v4,385,299,343.0
B104X8I_1_1,v5,330,359,338.0
B104X8I_1_1,v6,370,467,338.0
B104X8I_1_1,v7,377,521,315.0
B104X8I_1_1,v8,345,467,315.0
B104X8I_1_1,v9,407,464,232.0
B104X8I_1_1,v10,400,283,168.0
B104X8I_1_1,v11,383,461,153.0
B104X8I_1_1,v12,392,527,139.0
B105X2I_1_1,v0,732,369,72.0
B105X2I_1_1,v1,720,397,68.0
B105X2I_1_1,v2,743,366,58.0
B105X2I_1_1,v3,691,505,352.0
B105X2I_1_1,v4,674,532,351.0
B105X2I_1_1,v5,640,541,327.0
B105X2I_1_1,v6,604,538,319.0
