fingerprint,X,Y,Angle,Type
B101X9I_1_1,382,471,43.0,End
B101X9I_1_1,399,435,30.0,End
B101X9I_1_1,418,370,31.0,End
B101X9I_1_1,354,511,32.0,End
B101X9I_1_1,422,353,14.0,Bifurcation
B101X9I_1_1,360,459,8.0,Bifurcation
B101X9I_1_1,375,413,11.0,Bifurcation
B101X9I_1_1,305,469,327.0,End
B101X9I_1_1,430,460,213.0,End
B101X9I_1_1,368,512,171.0,Bifurcation
B101X9I_1_1,326,481,136.0,End
B101X9I_1_1,355,526,120.0,Bifurcation
B101X9I_1_1,369,527,111.0,End
B101X9I_1_1,378,533,99.0,Bifurcation
B102X0I_1_1,494,505,7.0,End
B102X0I_1_1,447,515,0.0,Bifurcation
B102X0I_1_1,363,538,355.0,Bifurcation
B102X0I_1_1,496,493,350.0,End
B102X0I_1_1,398,536,353.0,End
B102X0I_1_1,440,500,343.0,End
B102X0I_1_1,400,499,342.0,End
B102X0I_1_1,376,510,342.0,End
B102X0I_1_1,363,498,339.0,Bifurcation
B102X0I_1_1,431,468,331.0,End
B102X0I_1_1,391,459,325.0,End
B102X0I_1_1,444,421,321.0,End
B102X0I_1_1,463,437,320.0,Bifurcation
B102X0I_1_1,389,493,165.0,Bifurcation
B102X0I_1_1,478,411,146.0,End
B102X0I_1_1,562,434,132.0,End
B102X0I_1_1,565,454,117.0,Bifurcation
B102X0I_1_1,578,403,97.0,End
B104X8I_1_1,443,399,56.0,Bifurcation
B104X8I_1_1,456,282,20.0,End
B104X8I_1_1,387,272,356.0,End
B104X8I_1_1,373,433,356.0,End
B104X8I_1_1,385,299,343.0,End
B104X8I_1_1,330,359,338.0,End
B104X8I_1_1,370,467,338.0,End
B104X8I_1_1,377,521,315.0,End
B104X8I_1_1,345,467,315.0,End
B104X8I_1_1,407,464,232.0,End
B104X8I_1_1,400,283,168.0,End
B104X8I_1_1,383,461,153.0,End
B104X8I_1_1,392,527,139.0,Bifurcation
B105X2I_1_1,732,369,72.0,End
B105X2I_1_1,720,397,68.0,Bifurcation
B105X2I_1_1,743,366,58.0,End
B105X2I_1_1,691,505,352.0,End
B105X2I_1_1,674,532,351.0,End
B105X2I_1_1,640,541,327.0,End
B105X2I_1_1,604,538,319.0,Bifurcation
B105X2I_1_1,605,471,319.0,End
B105X2I_1_1,660,501,317.0,End
B105X2I_1_1,585,521,310.0,End
B105X2I_1_1,666,442,309.0,End
B105X2I_1_1,771,411,238.0,End
B105X2I_1_1,743,429,231.0,Bifurcation
B105X2I_1_1,731,436,210.0,End
B105X2I_1_1,765,481,203.0,Bifurcation
B105X2I_1_1,735,529,182.0,End
B105X2I_1_1,719,486,175.0,Bifurcation
B105X2I_1_1,717,357,122.0,Bifurcation
B105X2I_1_1,705,383,119.0,End
B106X8I_1_1,454,437,87.0,Bifurcation
B106X8I_1_1,460,398,83.0,End
B106X8I_1_1,472,407,78.0,End
B106X8I_1_1,468,380,60.0,End
B106X8I_1_1,430,327,315.0,End
B106X8I_1_1,364,347,304.0,Bifurcation
B106X8I_1_1,380,431,297.0,End
B106X8I_1_1,484,326,207.0,End
B106X8I_1_1,361,454,132.0,End
B106X8I_1_1,421,299,131.0,Bifurcation
B106X8I_1_1,440,350,128.0,End
B106X8I_1_1,458,360,129.0,Bifurcation
B106X8I_1_1,450,378,102.0,End
B106X8I_1_1,428,449,105.0,End
B106X8I_1_1,434,472,103.0,End
B106X8I_1_1,440,414,103.0,End
B106X8I_1_1,441,482,92.0,Bifurcation
B107X9I_1_1,392,405,88.0,Bifurcation
B107X9I_1_1,540,308,80.0,Bifurcation
B107X9I_1_1,403,390,80.0,End
B107X9I_1_1,485,224,9.0,End
B107X9I_1_1,412,460,356.0,End
