"","fingerprint","minutia","x","y","angle","score_change"
"B101X9I_1_1#v0","B101X9I_1_1","v0",382,471,43,-0.259036601
"B101X9I_1_1#v1","B101X9I_1_1","v1",399,435,30,-0.13131851
"B101X9I_1_1#v2","B101X9I_1_1","v2",418,370,31,0.11663081
"B101X9I_1_1#v3","B101X9I_1_1","v3",354,511,32,0.31230613
"B101X9I_1_1#v4","B101X9I_1_1","v4",422,353,14,0.239855302
"B101X9I_1_1#v5","B101X9I_1_1","v5",360,459,8,-0.234622816
"B101X9I_1_1#v6","B101X9I_1_1","v6",375,413,11,-0.180724878
"B101X9I_1_1#v7","B101X9I_1_1","v7",305,469,327,0.015346833
"B101X9I_1_1#v8","B101X9I_1_1","v8",430,460,213,-0.276647484
"B101X9I_1_1#v9","B101X9I_1_1","v9",368,512,171,0.268457198
"B101X9I_1_1#v10","B101X9I_1_1","v10",326,481,136,-0.236794148
"B101X9I_1_1#v11","B101X9I_1_1","v11",355,526,120,-0.072112009
"B101X9I_1_1#v12","B101X9I_1_1","v12",369,527,111,0.079240027
"B101X9I_1_1#v13","B101X9I_1_1","v13",378,533,99,0.039080282
"B102X0I_1_1#v0","B102X0I_1_1","v0",494,505,7,-0.602833137
"B102X0I_1_1#v1","B102X0I_1_1","v1",447,515,0,-0.4634499
"B102X0I_1_1#v2","B102X0I_1_1","v2",363,538,355,-0.08236337
"B102X0I_1_1#v3","B102X0I_1_1","v3",496,493,350,-0.637055621
"B102X0I_1_1#v4","B102X0I_1_1","v4",398,536,353,-0.456768029
"B102X0I_1_1#v5","B102X0I_1_1","v5",440,500,343,-0.524791711
"B102X0I_1_1#v6","B102X0I_1_1","v6",400,499,342,-0.27652791
"B102X0I_1_1#v7","B102X0I_1_1","v7",376,510,342,-0.165557681
"B102X0I_1_1#v8","B102X0I_1_1","v8",363,498,339,-0.130058157
"B102X0I_1_1#v9","B102X0I_1_1","v9",431,468,331,-0.710690251
"B102X0I_1_1#v10","B102X0I_1_1","v10",391,459,325,-0.087761626
"B102X0I_1_1#v11","B102X0I_1_1","v11",444,421,321,0.182613298
"B102X0I_1_1#v12","B102X0I_1_1","v12",463,437,320,0.155780053
"B102X0I_1_1#v13","B102X0I_1_1","v13",389,493,165,-0.769864366
"B102X0I_1_1#v14","B102X0I_1_1","v14",478,411,146,0.192721296
"B102X0I_1_1#v15","B102X0I_1_1","v15",562,434,132,-0.452585192
"B102X0I_1_1#v16","B102X0I_1_1","v16",565,454,117,0.156431631
"B102X0I_1_1#v17","B102X0I_1_1","v17",578,403,97,-0.002922417
"B104X8I_1_1#v0","B104X8I_1_1","v0",443,399,56,-0.224236003
"B104X8I_1_1#v1","B104X8I_1_1","v1",456,282,20,0.124903594
"B104X8I_1_1#v2","B104X8I_1_1","v2",387,272,356,0.066780872
"B104X8I_1_1#v3","B104X8I_1_1","v3",373,433,356,-0.20142155
"B104X8I_1_1#v4","B104X8I_1_1","v4",385,299,343,0.066780872
"B104X8I_1_1#v5","B104X8I_1_1","v5",330,359,338,0.011141279
"B104X8I_1_1#v6","B104X8I_1_1","v6",370,467,338,-0.068920671
"B104X8I_1_1#v7","B104X8I_1_1","v7",377,521,315,-0.162272708
"B104X8I_1_1#v8","B104X8I_1_1","v8",345,467,315,-0.384657821
"B104X8I_1_1#v9","B104X8I_1_1","v9",407,464,232,-0.209057928
"B104X8I_1_1#v10","B104X8I_1_1","v10",400,283,168,0.041897328
"B104X8I_1_1#v11","B104X8I_1_1","v11",383,461,153,-0.135718795
"B104X8I_1_1#v12","B104X8I_1_1","v12",392,527,139,-0.119623098
"B105X2I_1_1#v0","B105X2I_1_1","v0",732,369,72,0.088481622
"B105X2I_1_1#v1","B105X2I_1_1","v1",720,397,68,-0.082316902
