,0,1,2,3,y
0,2.0,5.0,1.0,0.0, positive
1,1.0,3.0,0.0,0.0, positive
2,2.0,6.0,1.0,1.0, positive
3,1.0,3.0,1.0,0.0, positive
4,4.0,9.0,0.0,0.0, positive
5,2.0,5.0,1.0,0.0, positive
6,1.0,3.0,0.0,0.0, positive
7,1.0,4.0,0.0,0.0, positive
8,3.0,6.0,1.0,0.0, positive
9,1.0,4.0,0.0,0.0, positive
10,5.0,2.0,7.0,6.0, negative
11,3.0,1.0,6.0,5.0, negative
12,6.0,2.0,7.0,5.0, negative
13,4.0,0.0,6.0,4.0, negative
14,5.0,4.0,7.0,7.0, negative
15,6.0,2.0,6.0,5.0, negative
16,8.0,3.0,8.0,7.0, negative
17,4.0,1.0,5.0,4.0, negative
18,4.0,0.0,5.0,4.0, negative
19,4.0,0.0,5.0,4.0, negative
20,5.0,1.0,8.0,6.0, negative
21,6.0,0.0,7.0,5.0, negative
22,4.0,3.0,6.0,5.0, negative
23,4.0,1.0,7.0,5.0, negative
24,6.0,2.0,9.0,7.0, negative
25,7.0,3.0,9.0,9.0, negative
26,6.0,1.0,8.0,7.0, negative
27,9.0,3.0,9.0,6.0, negative
28,6.0,2.0,8.0,6.0, negative
29,8.0,4.0,9.0,9.0, negative
30,2.0,5.0,0.0,0.0, positive
31,2.0,3.0,0.0,0.0, positive
32,1.0,3.0,1.0,0.0, positive
33,2.0,6.0,0.0,0.0, positive
34,3.0,7.0,1.0,1.0, positive
35,1.0,5.0,0.0,0.0, positive
36,0.0,2.0,0.0,0.0, positive
37,3.0,6.0,1.0,0.0, positive
38,1.0,5.0,1.0,0.0, positive
39,0.0,3.0,0.0,0.0, positive
40,4.0,9.0,1.0,1.0, positive
41,3.0,7.0,0.0,1.0, positive
42,2.0,5.0,0.0,0.0, positive
43,4.0,7.0,1.0,0.0, positive
44,2.0,7.0,1.0,0.0, positive
45,3.0,5.0,1.0,0.0, positive
46,1.0,6.0,0.0,0.0, positive
47,2.0,4.0,1.0,1.0, positive
48,1.0,5.0,1.0,0.0, positive
49,2.0,3.0,1.0,0.0, positive
50,2.0,5.0,1.0,1.0, positive
51,3.0,5.0,1.0,0.0, positive
52,3.0,5.0,0.0,0.0, positive
53,1.0,4.0,1.0,0.0, positive
54,3.0,5.0,1.0,1.0, positive
55,3.0,8.0,1.0,0.0, positive
56,2.0,3.0,1.0,0.0, positive
57,2.0,4.0,0.0,0.0, positive
58,4.0,5.0,0.0,0.0, positive
59,2.0,3.0,1.0,0.0, positive
60,0.0,3.0,0.0,0.0, positive
61,2.0,5.0,0.0,0.0, positive
62,0.0,0.0,0.0,0.0, positive
63,2.0,7.0,1.0,1.0, positive
64,2.0,7.0,1.0,0.0, positive
65,2.0,4.0,0.0,0.0, positive
66,2.0,3.0,1.0,0.0, positive
67,5.0,8.0,0.0,0.0, positive
68,0.0,4.0,0.0,0.0, positive
69,2.0,5.0,1.0,2.0, positive
