,0,1,2,3,y
0,0.0,2.0,2.0,1.0, positive
1,0.0,0.0,1.0,1.0, positive
2,3.0,3.0,3.0,1.0, positive
3,0.0,3.0,0.0,1.0, positive
4,1.0,3.0,3.0,2.0, positive
5,0.0,2.0,3.0,1.0, positive
6,3.0,3.0,2.0,2.0, positive
7,1.0,2.0,1.0,1.0, positive
8,3.0,4.0,0.0,1.0, positive
9,4.0,0.0,3.0,2.0, negative
10,4.0,0.0,4.0,2.0, negative
11,3.0,0.0,3.0,2.0, negative
12,4.0,0.0,4.0,3.0, negative
13,4.0,1.0,3.0,2.0, negative
14,3.0,1.0,3.0,3.0, negative
15,3.0,0.0,3.0,2.0, negative
16,4.0,1.0,4.0,3.0, negative
17,4.0,0.0,4.0,3.0, negative
18,4.0,2.0,4.0,3.0, negative
19,4.0,1.0,4.0,3.0, negative
20,3.0,0.0,4.0,3.0, negative
21,4.0,4.0,4.0,3.0, negative
22,3.0,1.0,4.0,3.0, negative
23,4.0,0.0,4.0,3.0, negative
24,4.0,0.0,4.0,3.0, negative
25,4.0,1.0,4.0,3.0, negative
26,4.0,2.0,4.0,3.0, negative
27,3.0,1.0,4.0,3.0, negative
28,4.0,3.0,4.0,3.0, negative
29,1.0,1.0,1.0,1.0, positive
30,1.0,3.0,1.0,1.0, positive
31,3.0,4.0,3.0,2.0, positive
32,0.0,3.0,1.0,1.0, positive
33,1.0,3.0,2.0,1.0, positive
34,3.0,4.0,2.0,1.0, positive
35,1.0,3.0,3.0,1.0, positive
36,1.0,1.0,1.0,0.0, positive
37,0.0,1.0,0.0,0.0, positive
38,3.0,4.0,2.0,2.0, positive
39,3.0,4.0,0.0,2.0, positive
40,2.0,3.0,1.0,1.0, positive
41,3.0,4.0,3.0,1.0, positive
42,2.0,4.0,2.0,1.0, positive
43,2.0,4.0,2.0,2.0, positive
44,2.0,2.0,3.0,2.0, positive
45,1.0,3.0,3.0,1.0, positive
46,1.0,1.0,3.0,1.0, positive
47,2.0,3.0,2.0,1.0, positive
48,2.0,3.0,1.0,1.0, positive
49,1.0,2.0,3.0,1.0, positive
50,2.0,4.0,2.0,0.0, positive
51,3.0,4.0,1.0,1.0, positive
52,1.0,2.0,2.0,0.0, positive
53,1.0,2.0,0.0,1.0, positive
54,3.0,3.0,0.0,1.0, positive
55,1.0,2.0,2.0,0.0, positive
56,0.0,1.0,0.0,1.0, positive
57,2.0,3.0,2.0,1.0, positive
58,1.0,3.0,0.0,1.0, positive
59,0.0,0.0,0.0,1.0, positive
60,2.0,4.0,3.0,2.0, positive
61,1.0,1.0,1.0,1.0, positive
62,2.0,4.0,3.0,1.0, positive
63,0.0,2.0,1.0,1.0, positive
64,2.0,4.0,2.0,1.0, positive
65,0.0,2.0,0.0,1.0, positive
66,1.0,2.0,2.0,0.0, positive
67,0.0,2.0,0.0,1.0, positive
68,1.0,3.0,3.0,2.0, positive
