,0,1,2,3,y
0,6.0,4.0,3.0,2.0, negative
1,8.0,3.0,4.0,3.0, negative
2,3.0,7.0,3.0,4.0, negative
3,8.0,6.0,4.0,3.0, negative
4,6.0,6.0,3.0,4.0, negative
5,8.0,5.0,5.0,4.0, negative
6,0.0,0.0,1.0,2.0, negative
7,2.0,3.0,3.0,2.0, negative
8,5.0,7.0,4.0,4.0, negative
9,0.0,0.0,0.0,0.0, negative
10,0.0,0.0,0.0,0.0, negative
11,3.0,5.0,1.0,4.0, negative
12,3.0,0.0,1.0,0.0, negative
13,1.0,4.0,0.0,2.0, negative
14,7.0,5.0,2.0,3.0, negative
15,1.0,5.0,3.0,4.0, negative
16,2.0,2.0,1.0,0.0, negative
17,4.0,0.0,3.0,4.0, negative
18,5.0,1.0,5.0,4.0, negative
19,4.0,3.0,4.0,1.0, negative
20,6.0,4.0,2.0,2.0, negative
21,6.0,5.0,2.0,3.0, negative
22,2.0,2.0,0.0,1.0, negative
23,0.0,5.0,3.0,4.0, negative
24,7.0,5.0,4.0,4.0, negative
25,0.0,1.0,1.0,2.0, negative
26,4.0,5.0,3.0,3.0, negative
27,2.0,2.0,1.0,1.0, negative
28,0.0,0.0,0.0,0.0, negative
29,1.0,2.0,1.0,2.0, negative
30,2.0,5.0,1.0,1.0, negative
31,2.0,4.0,1.0,2.0, negative
32,4.0,4.0,2.0,2.0, negative
33,0.0,1.0,0.0,0.0, negative
34,2.0,3.0,1.0,2.0, negative
35,5.0,7.0,8.0,9.0, negative
36,2.0,2.0,6.0,6.0, negative
37,8.0,5.0,8.0,8.0, negative
38,9.0,5.0,9.0,8.0, negative
39,0.0,1.0,3.0,4.0, negative
40,9.0,4.0,9.0,5.0, negative
41,7.0,1.0,8.0,5.0, negative
42,8.0,7.0,9.0,9.0, negative
43,6.0,6.0,6.0,7.0, negative
44,6.0,2.0,6.0,6.0, negative
45,8.0,5.0,7.0,8.0, negative
46,2.0,1.0,5.0,7.0, negative
47,2.0,3.0,6.0,9.0, negative
48,6.0,6.0,6.0,9.0, negative
49,9.0,7.0,9.0,8.0, negative
50,1.0,3.0,5.0,7.0, negative
51,9.0,3.0,9.0,7.0, negative
52,7.0,7.0,8.0,8.0, negative
53,8.0,6.0,8.0,5.0, negative
54,4.0,5.0,5.0,5.0, negative
55,6.0,3.0,7.0,8.0, negative
56,9.0,3.0,9.0,6.0, negative
57,9.0,7.0,9.0,7.0, negative
58,6.0,3.0,7.0,8.0, negative
59,4.0,2.0,7.0,3.0, negative
60,9.0,5.0,9.0,9.0, negative
61,5.0,7.0,7.0,9.0, negative
62,6.0,5.0,7.0,5.0, negative
63,3.0,5.0,4.0,5.0, negative
64,8.0,5.0,6.0,8.0, negative
65,7.0,5.0,7.0,9.0, negative
66,8.0,5.0,6.0,9.0, negative
67,2.0,2.0,6.0,6.0, negative
68,8.0,6.0,8.0,9.0, negative
69,7.0,7.0,8.0,9.0, negative
70,7.0,5.0,6.0,9.0, negative
71,5.0,1.0,5.0,6.0, negative
72,6.0,5.0,6.0,7.0, negative
73,4.0,7.0,6.0,9.0, negative
74,3.0,5.0,6.0,5.0, negative
75,6.0,5.0,7.0,5.0, negative
76,9.0,2.0,9.0,9.0, negative
77,3.0,0.0,5.0,4.0, negative
78,4.0,3.0,4.0,5.0, negative
