,0,1,2,3,y
0,8.0,4.0,4.0,3.0, negative
1,3.0,5.0,3.0,4.0, negative
2,3.0,8.0,3.0,4.0, negative
3,8.0,7.0,5.0,4.0, negative
4,1.0,0.0,1.0,2.0, negative
5,2.0,4.0,3.0,2.0, negative
6,5.0,8.0,4.0,4.0, negative
7,0.0,3.0,1.0,3.0, negative
8,3.0,6.0,2.0,4.0, negative
9,4.0,5.0,4.0,3.0, negative
10,1.0,5.0,0.0,2.0, negative
11,7.0,7.0,2.0,3.0, negative
12,2.0,3.0,1.0,0.0, negative
13,4.0,0.0,3.0,4.0, negative
14,1.0,1.0,1.0,0.0, negative
15,3.0,7.0,4.0,6.0, negative
16,4.0,4.0,1.0,2.0, negative
17,5.0,1.0,5.0,4.0, negative
18,6.0,5.0,2.0,2.0, negative
19,7.0,6.0,2.0,3.0, negative
20,7.0,6.0,5.0,5.0, negative
21,2.0,1.0,0.0,0.0, negative
22,1.0,0.0,0.0,0.0, negative
23,1.0,0.0,0.0,0.0, negative
24,2.0,3.0,1.0,1.0, negative
25,3.0,3.0,6.0,4.0, negative
26,0.0,6.0,3.0,4.0, negative
27,7.0,7.0,4.0,4.0, negative
28,5.0,0.0,2.0,2.0, negative
29,1.0,6.0,1.0,2.0, negative
30,1.0,1.0,1.0,2.0, negative
31,1.0,1.0,2.0,1.0, negative
32,4.0,6.0,3.0,3.0, negative
33,2.0,1.0,1.0,1.0, negative
34,0.0,0.0,0.0,0.0, negative
35,1.0,3.0,2.0,2.0, negative
36,2.0,5.0,2.0,2.0, negative
37,4.0,5.0,2.0,2.0, negative
38,0.0,1.0,0.0,0.0, negative
39,5.0,8.0,8.0,9.0, negative
40,2.0,3.0,6.0,7.0, negative
41,8.0,6.0,8.0,8.0, negative
42,5.0,5.0,7.0,6.0, negative
43,7.0,6.0,8.0,8.0, negative
44,9.0,5.0,9.0,6.0, negative
45,9.0,8.0,9.0,9.0, negative
46,7.0,7.0,6.0,7.0, negative
47,6.0,3.0,7.0,7.0, negative
48,8.0,6.0,7.0,8.0, negative
49,2.0,1.0,5.0,7.0, negative
50,2.0,4.0,6.0,9.0, negative
51,6.0,7.0,7.0,9.0, negative
52,9.0,8.0,9.0,8.0, negative
53,1.0,4.0,5.0,7.0, negative
54,9.0,4.0,9.0,7.0, negative
55,5.0,3.0,5.0,6.0, negative
56,7.0,8.0,8.0,8.0, negative
57,9.0,7.0,8.0,6.0, negative
58,4.0,6.0,5.0,6.0, negative
59,6.0,4.0,7.0,8.0, negative
60,9.0,6.0,8.0,4.0, negative
61,9.0,4.0,9.0,7.0, negative
62,9.0,8.0,9.0,7.0, negative
63,6.0,4.0,7.0,8.0, negative
64,5.0,4.0,6.0,4.0, negative
65,9.0,6.0,9.0,9.0, negative
66,6.0,7.0,7.0,6.0, negative
67,3.0,6.0,4.0,6.0, negative
68,8.0,7.0,6.0,9.0, negative
69,2.0,3.0,6.0,7.0, negative
70,7.0,8.0,8.0,9.0, negative
71,7.0,6.0,6.0,9.0, negative
72,5.0,1.0,5.0,7.0, negative
73,4.0,8.0,7.0,9.0, negative
74,3.0,6.0,6.0,6.0, negative
75,7.0,6.0,7.0,6.0, negative
76,9.0,1.0,9.0,9.0, negative
77,8.0,7.0,8.0,9.0, negative
78,4.0,4.0,4.0,6.0, negative
