,0,1,2,3,y
0,1.0,3.0,1.0,0.0, positive
1,2.0,6.0,2.0,1.0, positive
2,1.0,3.0,2.0,0.0, positive
3,4.0,9.0,1.0,0.0, positive
4,2.0,5.0,2.0,0.0, positive
5,1.0,3.0,1.0,0.0, positive
6,1.0,4.0,1.0,0.0, positive
7,3.0,6.0,2.0,0.0, positive
8,1.0,4.0,1.0,0.0, positive
9,5.0,2.0,6.0,6.0, negative
10,3.0,1.0,5.0,5.0, negative
11,6.0,2.0,6.0,5.0, negative
12,4.0,0.0,5.0,3.0, negative
13,5.0,4.0,7.0,7.0, negative
14,6.0,2.0,5.0,5.0, negative
15,8.0,3.0,7.0,7.0, negative
16,4.0,1.0,4.0,3.0, negative
17,4.0,0.0,4.0,3.0, negative
18,4.0,0.0,4.0,3.0, negative
19,5.0,1.0,7.0,6.0, negative
20,6.0,0.0,6.0,5.0, negative
21,4.0,3.0,5.0,5.0, negative
22,4.0,1.0,6.0,4.0, negative
23,6.0,2.0,8.0,7.0, negative
24,7.0,3.0,9.0,8.0, negative
25,6.0,1.0,7.0,7.0, negative
26,9.0,3.0,9.0,6.0, negative
27,6.0,2.0,7.0,6.0, negative
28,8.0,4.0,8.0,9.0, negative
29,2.0,5.0,1.0,0.0, positive
30,2.0,3.0,1.0,0.0, positive
31,1.0,3.0,2.0,0.0, positive
32,2.0,6.0,1.0,0.0, positive
33,3.0,7.0,2.0,1.0, positive
34,1.0,5.0,1.0,0.0, positive
35,0.0,2.0,1.0,0.0, positive
36,3.0,6.0,2.0,0.0, positive
37,1.0,5.0,2.0,0.0, positive
38,0.0,3.0,0.0,0.0, positive
39,4.0,9.0,2.0,1.0, positive
40,3.0,7.0,1.0,1.0, positive
41,2.0,5.0,1.0,0.0, positive
42,4.0,7.0,2.0,0.0, positive
43,2.0,7.0,2.0,0.0, positive
44,3.0,5.0,2.0,0.0, positive
45,1.0,6.0,0.0,0.0, positive
46,2.0,4.0,2.0,1.0, positive
47,1.0,5.0,3.0,0.0, positive
48,2.0,3.0,2.0,0.0, positive
49,2.0,5.0,2.0,1.0, positive
50,3.0,5.0,2.0,0.0, positive
51,3.0,5.0,1.0,0.0, positive
52,1.0,4.0,2.0,0.0, positive
53,3.0,5.0,2.0,1.0, positive
54,3.0,8.0,2.0,0.0, positive
55,2.0,3.0,2.0,0.0, positive
56,2.0,4.0,1.0,0.0, positive
57,4.0,5.0,1.0,0.0, positive
58,2.0,3.0,2.0,0.0, positive
59,0.0,3.0,1.0,0.0, positive
60,2.0,5.0,1.0,0.0, positive
61,0.0,0.0,1.0,0.0, positive
62,2.0,7.0,3.0,1.0, positive
63,2.0,7.0,2.0,0.0, positive
64,2.0,4.0,1.0,0.0, positive
65,2.0,3.0,2.0,0.0, positive
66,5.0,8.0,1.0,0.0, positive
67,0.0,4.0,1.0,0.0, positive
68,2.0,5.0,2.0,2.0, positive
