@relation ./ML-assignments/Assignment6/databases_disc/databases_EFQ1_arff/habermanImb/EFQ1habermanImb-5-5tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute Class {' negative',' positive'}
@data
0,0.0,2.0,0.0,' positiv
1,0.0,1.0,2.0,' negativ
2,0.0,0.0,1.0,' negativ
3,0.0,0.0,0.0,' negativ
4,2.0,1.0,0.0,' negativ
5,0.0,1.0,2.0,' negativ
6,2.0,2.0,0.0,' negativ
7,2.0,2.0,0.0,' negativ
8,1.0,1.0,1.0,' negativ
9,0.0,2.0,0.0,' negativ
10,1.0,1.0,0.0,' positiv
11,1.0,2.0,1.0,' negativ
12,1.0,0.0,1.0,' negativ
13,2.0,0.0,2.0,' negativ
14,2.0,2.0,1.0,' negativ
15,2.0,2.0,0.0,' negativ
16,0.0,2.0,0.0,' positiv
17,1.0,0.0,2.0,' negativ
18,0.0,0.0,1.0,' negativ
19,2.0,0.0,0.0,' positiv
20,0.0,2.0,0.0,' positiv
21,2.0,1.0,0.0,' negativ
22,0.0,2.0,2.0,' negativ
23,1.0,2.0,1.0,' negativ
24,1.0,2.0,1.0,' negativ
25,2.0,0.0,0.0,' negativ
26,0.0,2.0,0.0,' negativ
27,2.0,2.0,0.0,' negativ
28,2.0,0.0,1.0,' negativ
29,1.0,0.0,1.0,' positiv
30,1.0,2.0,2.0,' positiv
31,0.0,2.0,2.0,' positiv
32,0.0,0.0,1.0,' negativ
33,2.0,2.0,0.0,' negativ
34,1.0,0.0,1.0,' negativ
35,0.0,2.0,0.0,' negativ
36,1.0,0.0,1.0,' negativ
37,2.0,2.0,1.0,' positiv
38,0.0,0.0,0.0,' negativ
39,2.0,2.0,2.0,' positiv
40,0.0,1.0,0.0,' negativ
41,1.0,0.0,1.0,' negativ
42,1.0,0.0,2.0,' positiv
43,2.0,0.0,0.0,' negativ
44,2.0,0.0,0.0,' positiv
45,0.0,1.0,1.0,' negativ
46,2.0,2.0,0.0,' negativ
47,0.0,2.0,0.0,' negativ
48,2.0,2.0,1.0,' negativ
49,0.0,2.0,2.0,' positiv
50,0.0,2.0,0.0,' negativ
51,2.0,1.0,0.0,' negativ
52,1.0,1.0,2.0,' negativ
53,2.0,1.0,0.0,' negativ
54,0.0,1.0,2.0,' negativ
55,2.0,0.0,0.0,' negativ
56,2.0,2.0,0.0,' negativ
57,1.0,2.0,1.0,' positiv
58,1.0,1.0,2.0,' positiv
59,0.0,1.0,2.0,' positiv
60,2.0,0.0,1.0,' positiv
61,2.0,2.0,2.0,' positiv
62,2.0,1.0,2.0,' positiv
63,1.0,0.0,1.0,' positiv
64,2.0,2.0,0.0,' positiv
65,2.0,2.0,1.0,' positiv
66,2.0,0.0,0.0,' positiv
67,1.0,1.0,2.0,' positiv
68,2.0,2.0,2.0,' positiv
69,1.0,2.0,2.0,' positiv
70,1.0,0.0,1.0,' positiv
71,0.0,2.0,1.0,' positiv
72,0.0,0.0,0.0,' positiv
73,2.0,1.0,1.0,' positiv
74,1.0,0.0,1.0,' positiv
75,2.0,0.0,2.0,' positiv
76,1.0,2.0,2.0,' positiv
77,0.0,0.0,2.0,' positiv
78,0.0,1.0,0.0,' positiv
79,0.0,0.0,2.0,' positiv
80,1.0,2.0,2.0,' positiv
81,0.0,0.0,0.0,' positiv
82,2.0,1.0,0.0,' positiv
83,0.0,2.0,2.0,' positiv
84,0.0,0.0,1.0,' positiv
85,2.0,0.0,1.0,' positiv
86,2.0,1.0,2.0,' positiv
87,2.0,0.0,0.0,' positiv
88,0.0,2.0,1.0,' positiv
89,1.0,0.0,2.0,' positiv
90,1.0,1.0,2.0,' positiv
91,2.0,1.0,2.0,' positiv
92,1.0,1.0,0.0,' positiv
93,2.0,0.0,1.0,' positiv
94,1.0,1.0,1.0,' positiv
95,1.0,2.0,1.0,' positiv
96,1.0,2.0,2.0,' positiv
97,2.0,1.0,2.0,' positiv
98,1.0,0.0,2.0,' positiv
99,2.0,1.0,2.0,' positiv
100,0.0,1.0,2.0,' positiv
101,2.0,1.0,1.0,' positiv
102,1.0,2.0,2.0,' positiv
103,0.0,1.0,0.0,' positiv
104,0.0,1.0,0.0,' positiv
105,0.0,1.0,2.0,' positiv
106,0.0,1.0,2.0,' positiv
107,1.0,0.0,2.0,' positiv
108,1.0,0.0,2.0,' positiv
109,0.0,2.0,1.0,' positiv
110,0.0,2.0,2.0,' positiv
111,2.0,0.0,2.0,' positiv
112,2.0,1.0,2.0,' positiv
113,1.0,2.0,1.0,' positiv
114,1.0,2.0,2.0,' positiv
115,2.0,2.0,1.0,' positiv
116,0.0,1.0,0.0,' positiv
117,0.0,2.0,0.0,' positiv
118,2.0,1.0,2.0,' positiv
119,2.0,2.0,0.0,' positiv
120,1.0,1.0,2.0,' positiv
121,0.0,0.0,1.0,' positiv
122,0.0,0.0,2.0,' positiv
123,2.0,1.0,1.0,' positiv
124,1.0,2.0,1.0,' positiv
