%
% Comments go after a '%' sign.
%
%
% Relation: World Cup 2014
%
%
% Attributes: 6     Instances: 79
%
%

@relation World Cup 2014

@attribute '0' numeric
@attribute '0' numeric
@attribute '1' numeric
@attribute '2' numeric
@attribute '3' numeric
@attribute 'y' {' negative'}

@data
0,5.0,4.0,4.0,1.0,' negative'
1,6.0,4.0,4.0,2.0,' negative'
2,3.0,7.0,3.0,4.0,' negative'
3,6.0,6.0,4.0,2.0,' negative'
4,4.0,6.0,3.0,3.0,' negative'
5,6.0,6.0,4.0,3.0,' negative'
6,1.0,1.0,2.0,1.0,' negative'
7,2.0,4.0,3.0,1.0,' negative'
8,4.0,7.0,4.0,4.0,' negative'
9,0.0,2.0,0.0,0.0,' negative'
10,0.0,0.0,1.0,0.0,' negative'
11,3.0,5.0,3.0,3.0,' negative'
12,3.0,1.0,2.0,0.0,' negative'
13,2.0,4.0,1.0,1.0,' negative'
14,5.0,6.0,3.0,2.0,' negative'
15,2.0,5.0,3.0,3.0,' negative'
16,2.0,3.0,2.0,0.0,' negative'
17,4.0,1.0,3.0,3.0,' negative'
18,4.0,2.0,4.0,3.0,' negative'
19,3.0,4.0,4.0,1.0,' negative'
20,4.0,4.0,3.0,1.0,' negative'
21,5.0,5.0,3.0,2.0,' negative'
22,2.0,3.0,2.0,1.0,' negative'
23,1.0,5.0,3.0,3.0,' negative'
24,5.0,6.0,4.0,3.0,' negative'
25,1.0,2.0,2.0,1.0,' negative'
26,3.0,5.0,4.0,2.0,' negative'
27,2.0,3.0,2.0,1.0,' negative'
28,0.0,1.0,0.0,0.0,' negative'
29,2.0,3.0,3.0,1.0,' negative'
30,2.0,5.0,3.0,1.0,' negative'
31,2.0,4.0,3.0,1.0,' negative'
32,4.0,4.0,3.0,1.0,' negative'
33,0.0,2.0,0.0,0.0,' negative'
34,2.0,4.0,2.0,1.0,' negative'
35,4.0,7.0,7.0,9.0,' negative'
36,2.0,3.0,5.0,5.0,' negative'
37,7.0,5.0,7.0,7.0,' negative'
38,8.0,5.0,9.0,7.0,' negative'
39,0.0,2.0,3.0,4.0,' negative'
40,7.0,4.0,8.0,5.0,' negative'
41,5.0,2.0,7.0,5.0,' negative'
42,7.0,8.0,7.0,9.0,' negative'
43,5.0,6.0,5.0,6.0,' negative'
44,4.0,3.0,5.0,5.0,' negative'
45,6.0,5.0,6.0,7.0,' negative'
46,2.0,2.0,5.0,6.0,' negative'
47,2.0,4.0,5.0,9.0,' negative'
48,4.0,6.0,5.0,8.0,' negative'
49,9.0,9.0,9.0,8.0,' negative'
50,2.0,4.0,4.0,6.0,' negative'
51,9.0,4.0,9.0,6.0,' negative'
52,5.0,7.0,6.0,7.0,' negative'
53,7.0,6.0,7.0,5.0,' negative'
54,3.0,5.0,4.0,5.0,' negative'
55,4.0,4.0,6.0,7.0,' negative'
56,8.0,4.0,7.0,5.0,' negative'
57,9.0,9.0,8.0,6.0,' negative'
58,4.0,4.0,6.0,8.0,' negative'
59,3.0,3.0,6.0,2.0,' negative'
60,9.0,5.0,7.0,8.0,' negative'
61,4.0,7.0,6.0,9.0,' negative'
62,4.0,6.0,6.0,5.0,' negative'
63,3.0,5.0,4.0,5.0,' negative'
64,6.0,6.0,6.0,7.0,' negative'
65,5.0,6.0,6.0,9.0,' negative'
66,6.0,6.0,5.0,8.0,' negative'
67,2.0,3.0,5.0,5.0,' negative'
68,6.0,6.0,7.0,8.0,' negative'
69,5.0,7.0,6.0,9.0,' negative'
70,5.0,5.0,5.0,8.0,' negative'
71,4.0,2.0,5.0,5.0,' negative'
72,5.0,5.0,5.0,6.0,' negative'
73,4.0,7.0,6.0,8.0,' negative'
74,3.0,5.0,5.0,5.0,' negative'
75,5.0,5.0,6.0,5.0,' negative'
76,9.0,3.0,9.0,8.0,' negative'
77,3.0,1.0,5.0,3.0,' negative'
78,4.0,4.0,4.0,5.0,' negative'
