,0,1,2,3,Class
0,3.0,4.0,3.0,3.0, negative
1,3.0,7.0,3.0,4.0, negative
2,6.0,6.0,4.0,2.0, negative
3,4.0,6.0,3.0,3.0, negative
4,6.0,6.0,4.0,3.0, negative
5,1.0,1.0,2.0,1.0, negative
6,2.0,4.0,3.0,1.0, negative
7,4.0,7.0,4.0,4.0, negative
8,0.0,2.0,0.0,0.0, negative
9,0.0,3.0,2.0,2.0, negative
10,0.0,0.0,1.0,0.0, negative
11,3.0,5.0,3.0,3.0, negative
12,3.0,1.0,2.0,0.0, negative
13,3.0,4.0,4.0,2.0, negative
14,5.0,6.0,3.0,2.0, negative
15,1.0,5.0,3.0,3.0, negative
16,2.0,3.0,2.0,0.0, negative
17,4.0,1.0,3.0,3.0, negative
18,1.0,2.0,2.0,0.0, negative
19,3.0,6.0,4.0,5.0, negative
20,3.0,4.0,2.0,1.0, negative
21,3.0,4.0,4.0,1.0, negative
22,4.0,4.0,3.0,1.0, negative
23,5.0,5.0,5.0,4.0, negative
24,2.0,3.0,1.0,0.0, negative
25,1.0,2.0,2.0,0.0, negative
26,1.0,2.0,1.0,0.0, negative
27,2.0,3.0,2.0,1.0, negative
28,3.0,3.0,5.0,4.0, negative
29,5.0,6.0,4.0,3.0, negative
30,4.0,1.0,3.0,1.0, negative
31,1.0,5.0,2.0,1.0, negative
32,1.0,2.0,2.0,1.0, negative
33,1.0,3.0,3.0,1.0, negative
34,3.0,5.0,4.0,2.0, negative
35,2.0,3.0,2.0,1.0, negative
36,0.0,1.0,0.0,0.0, negative
37,1.0,3.0,3.0,1.0, negative
38,2.0,5.0,3.0,1.0, negative
39,4.0,4.0,3.0,1.0, negative
40,0.0,2.0,0.0,0.0, negative
41,2.0,4.0,2.0,1.0, negative
42,4.0,7.0,7.0,9.0, negative
43,2.0,3.0,5.0,5.0, negative
44,4.0,4.0,6.0,5.0, negative
45,5.0,5.0,7.0,8.0, negative
46,8.0,5.0,9.0,7.0, negative
47,0.0,2.0,3.0,4.0, negative
48,5.0,2.0,7.0,5.0, negative
49,7.0,8.0,7.0,9.0, negative
50,4.0,3.0,5.0,5.0, negative
51,2.0,2.0,5.0,6.0, negative
52,4.0,6.0,5.0,8.0, negative
53,1.0,4.0,4.0,6.0, negative
54,9.0,4.0,9.0,6.0, negative
55,4.0,3.0,4.0,5.0, negative
56,5.0,7.0,6.0,7.0, negative
57,7.0,6.0,7.0,5.0, negative
58,7.0,5.0,7.0,4.0, negative
59,9.0,9.0,8.0,6.0, negative
60,4.0,4.0,6.0,8.0, negative
61,4.0,4.0,5.0,3.0, negative
62,3.0,3.0,6.0,2.0, negative
63,4.0,7.0,6.0,9.0, negative
64,6.0,6.0,6.0,7.0, negative
65,5.0,6.0,6.0,9.0, negative
66,6.0,6.0,5.0,8.0, negative
67,2.0,3.0,5.0,5.0, negative
68,6.0,6.0,7.0,8.0, negative
69,5.0,7.0,6.0,9.0, negative
70,5.0,5.0,5.0,8.0, negative
71,4.0,2.0,5.0,5.0, negative
72,5.0,5.0,5.0,6.0, negative
73,3.0,5.0,5.0,5.0, negative
74,5.0,5.0,6.0,5.0, negative
75,9.0,3.0,9.0,8.0, negative
76,3.0,1.0,5.0,3.0, negative
77,6.0,6.0,6.0,8.0, negative
78,4.0,4.0,4.0,5.0, negative
