classifer_name,dataset_name,accuracy
ocSVM,dermatology-6,0.95
ISOF,dermatology-6,0.860207101
BRM,dermatology-6,1
GMM,dermatology-6,0.802218935
ocSVM,car-good,0.561557076
ISOF,car-good,0.539900936
BRM,car-good,0.997300626
GMM,car-good,0.53164557
ocSVM,cleveland-0_vs_4,0.863461538
ISOF,cleveland-0_vs_4,0.915865385
BRM,cleveland-0_vs_4,1
GMM,cleveland-0_vs_4,0.841826923
ocSVM,ecoli-0-1_vs_5,0.817045455
ISOF,ecoli-0-1_vs_5,0.867272727
BRM,ecoli-0-1_vs_5,0.998863636
GMM,ecoli-0-1_vs_5,0.815
ocSVM,ecoli-0_vs_1,0.719553174
ISOF,ecoli-0_vs_1,0.826264644
BRM,ecoli-0_vs_1,0.99791118
GMM,ecoli-0_vs_1,0.781763691
ocSVM,ecoli-0-1_vs_2-3-5,0.809280303
ISOF,ecoli-0-1_vs_2-3-5,0.832575758
BRM,ecoli-0-1_vs_2-3-5,0.977840909
GMM,ecoli-0-1_vs_2-3-5,0.808522727
ocSVM,abalone-19_vs_10-11-12-13,0.503321541
ISOF,abalone-19_vs_10-11-12-13,0.508608491
BRM,abalone-19_vs_10-11-12-13,0.843553459
GMM,abalone-19_vs_10-11-12-13,0.604697327
ocSVM,abalone-20_vs_8-9-10,0.772975173
ISOF,abalone-20_vs_8-9-10,0.747252747
BRM,abalone-20_vs_8-9-10,0.968111518
GMM,abalone-20_vs_8-9-10,0.87028897
ocSVM,car-vgood,0.545575651
ISOF,car-vgood,0.508959711
BRM,car-vgood,1
GMM,car-vgood,0.630325177
ocSVM,abalone-21_vs_8,0.911564626
ISOF,abalone-21_vs_8,0.902998236
BRM,abalone-21_vs_8,0.990173847
GMM,abalone-21_vs_8,0.937011842
ocSVM,ecoli-0-1-4-7_vs_2-3-5-6,0.780972706
ISOF,ecoli-0-1-4-7_vs_2-3-5-6,0.809614737
BRM,ecoli-0-1-4-7_vs_2-3-5-6,0.963383129
GMM,ecoli-0-1-4-7_vs_2-3-5-6,0.793777378
ocSVM,ecoli-0-4-6_vs_5,0.806010929
ISOF,ecoli-0-4-6_vs_5,0.835519126
BRM,ecoli-0-4-6_vs_5,0.998907104
GMM,ecoli-0-4-6_vs_5,0.775956284
ocSVM,ecoli-0-1-3-7_vs_2-6,0.851407716
ISOF,ecoli-0-1-3-7_vs_2-6,0.848800834
BRM,ecoli-0-1-3-7_vs_2-6,0.929614181
GMM,ecoli-0-1-3-7_vs_2-6,0.861835245
ocSVM,ecoli-0-1-4-7_vs_5-6,0.793094463
