classifier_name,dataset_name,accuracy
ocSVM,dermatology-6,0.936686391
ISOF,dermatology-6,0.79408284
BRM,dermatology-6,0.993047337
GMM,dermatology-6,0.802218935
ocSVM,car-good,0.506949358
ISOF,car-good,0.503979174
BRM,car-good,0.999353548
GMM,car-good,0.512356841
ocSVM,cleveland-0_vs_4,0.646634615
ISOF,cleveland-0_vs_4,0.902403846
BRM,cleveland-0_vs_4,0.845673077
GMM,cleveland-0_vs_4,0.841826923
ocSVM,ecoli-0-1_vs_5,0.808863636
ISOF,ecoli-0-1_vs_5,0.866818182
BRM,ecoli-0-1_vs_5,0.993636364
GMM,ecoli-0-1_vs_5,0.815
ocSVM,ecoli-0_vs_1,0.741985287
ISOF,ecoli-0_vs_1,0.776677868
BRM,ecoli-0_vs_1,0.99736627
GMM,ecoli-0_vs_1,0.781854509
ocSVM,ecoli-0-1_vs_2-3-5,0.789583333
ISOF,ecoli-0-1_vs_2-3-5,0.832386364
BRM,ecoli-0-1_vs_2-3-5,0.981439394
GMM,ecoli-0-1_vs_2-3-5,0.808522727
ocSVM,abalone-19_vs_10-11-12-13,0.557252358
ISOF,abalone-19_vs_10-11-12-13,0.516018082
BRM,abalone-19_vs_10-11-12-13,0.833352987
GMM,abalone-19_vs_10-11-12-13,0.604461478
ocSVM,abalone-20_vs_8-9-10,0.603256003
ISOF,abalone-20_vs_8-9-10,0.724704925
BRM,abalone-20_vs_8-9-10,0.981562882
GMM,abalone-20_vs_8-9-10,0.87049247
ocSVM,car-vgood,0.514232851
ISOF,car-vgood,0.642370137
BRM,car-vgood,1
GMM,car-vgood,0.513229104
ocSVM,abalone-21_vs_8,0.877676997
ISOF,abalone-21_vs_8,0.909297052
BRM,abalone-21_vs_8,0.841269841
GMM,abalone-21_vs_8,0.937137818
ocSVM,ecoli-0-1-4-7_vs_2-3-5-6,0.740312254
ISOF,ecoli-0-1-4-7_vs_2-3-5-6,0.802426148
BRM,ecoli-0-1-4-7_vs_2-3-5-6,0.949118275
GMM,ecoli-0-1-4-7_vs_2-3-5-6,0.793777378
ocSVM,ecoli-0-4-6_vs_5,0.775956284
ISOF,ecoli-0-4-6_vs_5,0.811748634
BRM,ecoli-0-4-6_vs_5,0.995355191
GMM,ecoli-0-4-6_vs_5,0.775956284
ocSVM,ecoli-0-1-3-7_vs_2-6,0.8362878
ISOF,ecoli-0-1-3-7_vs_2-6,0.834202294
BRM,ecoli-0-1-3-7_vs_2-6,0.921272158
GMM,ecoli-0-1-3-7_vs_2-6,0.861835245
ocSVM,ecoli-0-1-4-7_vs_5-6,0.765211726
ISOF,ecoli-0-1-4-7_vs_5-6,0.800260586
BRM,ecoli-0-1-4-7_vs_5-6,0.981368078
GMM,ecoli-0-1-4-7_vs_5-6,0.812117264
ocSVM,ecoli-0-3-4_vs_5,0.7975
ISOF,ecoli-0-3-4_vs_5,0.836666667
BRM,ecoli-0-3-4_vs_5,0.995833333
