folder_name,auc,preprocessing,classifier
dermatology-6,0.9366863905325444,raw,ocSVM
dermatology-6,0.7960059171597633,min_max,ocSVM
dermatology-6,0.95,std,ocSVM
dermatology-6,0.95,minmax_std,ocSVM
dermatology-6,0.7940828402366864,raw,ISOF
dermatology-6,0.8424556213017751,min_max,ISOF
dermatology-6,0.860207100591716,std,ISOF
dermatology-6,0.7862426035502958,minmax_std,ISOF
dermatology-6,0.9930473372781065,raw,BRM
dermatology-6,1.0,min_max,BRM
dermatology-6,1.0,std,BRM
dermatology-6,1.0,minmax_std,BRM
dermatology-6,0.8022189349112426,raw,GMM
dermatology-6,0.801923076923077,min_max,GMM
dermatology-6,0.8022189349112426,std,GMM
dermatology-6,0.8022189349112426,minmax_std,GMM
car-good,0.5069493583527706,raw,ocSVM
car-good,0.5069493583527706,min_max,ocSVM
car-good,0.5615570755911978,std,ocSVM
car-good,0.5615570755911978,minmax_std,ocSVM
car-good,0.5039791737645343,raw,ISOF
car-good,0.5122694831005232,min_max,ISOF
car-good,0.5399009356081453,std,ISOF
car-good,0.5789413912694045,minmax_std,ISOF
car-good,0.9993535480602074,raw,BRM
car-good,0.9991788313197228,min_max,BRM
car-good,0.9973006263595146,std,BRM
car-good,0.9992661896899652,minmax_std,BRM
car-good,0.5123568414707655,raw,GMM
car-good,0.5123568414707655,min_max,GMM
car-good,0.5316455696202531,std,GMM
car-good,0.5316455696202531,minmax_std,GMM
cleveland-0_vs_4,0.6466346153846154,raw,ocSVM
cleveland-0_vs_4,0.8461538461538461,min_max,ocSVM
cleveland-0_vs_4,0.8634615384615385,std,ocSVM
cleveland-0_vs_4,0.8634615384615385,minmax_std,ocSVM
cleveland-0_vs_4,0.9024038461538462,raw,ISOF
cleveland-0_vs_4,0.9004807692307693,min_max,ISOF
cleveland-0_vs_4,0.9158653846153846,std,ISOF
cleveland-0_vs_4,0.8927884615384616,minmax_std,ISOF
cleveland-0_vs_4,0.8456730769230769,raw,BRM
cleveland-0_vs_4,1.0,min_max,BRM
cleveland-0_vs_4,1.0,std,BRM
cleveland-0_vs_4,0.9990384615384615,minmax_std,BRM
cleveland-0_vs_4,0.8418269230769231,raw,GMM
cleveland-0_vs_4,0.8418269230769231,min_max,GMM
cleveland-0_vs_4,0.8418269230769231,std,GMM
cleveland-0_vs_4,0.8418269230769231,minmax_std,GMM
ecoli-0-1_vs_5,0.8088636363636363,raw,ocSVM
ecoli-0-1_vs_5,0.8047727272727273,min_max,ocSVM
