@relation ./ML-assignments/Assignment6/databases_disc/databases_KBN2_arff/iris0/KBN2iris0-5-4tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute Class {' negative',' positive'}
@data
0,1.0,3.0,0.0,1.0,' positiv
1,0.0,1.0,0.0,0.0,' positiv
2,2.0,4.0,0.0,1.0,' positiv
3,1.0,2.0,0.0,1.0,' positiv
4,1.0,1.0,0.0,0.0,' positiv
5,1.0,4.0,0.0,0.0,' positiv
6,1.0,2.0,0.0,0.0,' positiv
7,2.0,2.0,0.0,0.0,' positiv
8,1.0,2.0,0.0,0.0,' positiv
9,2.0,0.0,2.0,2.0,' negativ
10,2.0,1.0,2.0,2.0,' negativ
11,2.0,1.0,2.0,2.0,' negativ
12,3.0,0.0,2.0,2.0,' negativ
13,3.0,1.0,2.0,2.0,' negativ
14,2.0,1.0,2.0,2.0,' negativ
15,2.0,0.0,2.0,2.0,' negativ
16,3.0,1.0,2.0,2.0,' negativ
17,1.0,0.0,1.0,2.0,' negativ
18,3.0,2.0,4.0,4.0,' negativ
19,2.0,1.0,3.0,3.0,' negativ
20,3.0,1.0,3.0,3.0,' negativ
21,3.0,2.0,3.0,4.0,' negativ
22,2.0,1.0,3.0,3.0,' negativ
23,4.0,2.0,4.0,3.0,' negativ
24,3.0,2.0,3.0,4.0,' negativ
25,2.0,1.0,3.0,3.0,' negativ
26,3.0,1.0,3.0,3.0,' negativ
27,4.0,0.0,4.0,4.0,' negativ
28,3.0,1.0,3.0,3.0,' negativ
29,1.0,2.0,0.0,0.0,' positiv
30,0.0,2.0,0.0,0.0,' positiv
31,1.0,3.0,0.0,0.0,' positiv
32,0.0,2.0,0.0,0.0,' positiv
33,1.0,2.0,0.0,0.0,' positiv
34,0.0,1.0,0.0,0.0,' positiv
35,1.0,3.0,0.0,0.0,' positiv
36,0.0,2.0,0.0,0.0,' positiv
37,0.0,1.0,0.0,0.0,' positiv
38,1.0,3.0,0.0,1.0,' positiv
39,1.0,2.0,0.0,0.0,' positiv
40,2.0,3.0,0.0,0.0,' positiv
41,1.0,3.0,0.0,0.0,' positiv
42,1.0,2.0,0.0,0.0,' positiv
43,1.0,3.0,0.0,1.0,' positiv
44,0.0,3.0,0.0,0.0,' positiv
45,0.0,2.0,0.0,0.0,' positiv
46,1.0,2.0,0.0,1.0,' positiv
47,1.0,2.0,0.0,0.0,' positiv
48,1.0,2.0,0.0,0.0,' positiv
49,0.0,2.0,0.0,0.0,' positiv
50,0.0,2.0,0.0,0.0,' positiv
51,1.0,2.0,0.0,1.0,' positiv
52,2.0,4.0,0.0,0.0,' positiv
53,0.0,2.0,0.0,0.0,' positiv
54,0.0,2.0,0.0,0.0,' positiv
55,0.0,1.0,0.0,0.0,' positiv
56,1.0,2.0,0.0,0.0,' positiv
57,0.0,0.0,0.0,0.0,' positiv
58,1.0,3.0,0.0,1.0,' positiv
59,0.0,1.0,0.0,0.0,' positiv
60,1.0,3.0,0.0,0.0,' positiv
61,0.0,2.0,0.0,0.0,' positiv
62,1.0,3.0,0.0,0.0,' positiv
63,1.0,2.0,0.0,0.0,' positiv
64,0.0,2.0,0.0,0.0,' positiv
65,0.0,2.0,0.0,0.0,' positiv
66,2.0,4.0,0.0,0.0,' positiv
67,0.0,2.0,0.0,0.0,' positiv
68,1.0,2.0,0.0,1.0,' positiv
