,0,1,2,3,Class
0,2.0,2.0,1.0,1.0, negative
1,3.0,2.0,2.0,1.0, negative
2,1.0,2.0,1.0,1.0, negative
3,1.0,3.0,1.0,2.0, negative
4,3.0,3.0,2.0,1.0, negative
5,2.0,3.0,1.0,1.0, negative
6,3.0,3.0,2.0,1.0, negative
7,2.0,3.0,2.0,2.0, negative
8,0.0,1.0,0.0,0.0, negative
9,0.0,1.0,0.0,1.0, negative
10,0.0,0.0,0.0,0.0, negative
11,1.0,0.0,1.0,0.0, negative
12,2.0,2.0,2.0,1.0, negative
13,1.0,2.0,0.0,1.0, negative
14,3.0,3.0,1.0,1.0, negative
15,1.0,2.0,1.0,1.0, negative
16,1.0,1.0,1.0,0.0, negative
17,1.0,1.0,0.0,0.0, negative
18,1.0,3.0,2.0,2.0, negative
19,2.0,2.0,1.0,1.0, negative
20,2.0,1.0,2.0,1.0, negative
21,2.0,2.0,2.0,0.0, negative
22,2.0,2.0,1.0,1.0, negative
23,3.0,2.0,2.0,2.0, negative
24,1.0,1.0,0.0,0.0, negative
25,1.0,1.0,0.0,0.0, negative
26,1.0,1.0,0.0,0.0, negative
27,1.0,1.0,2.0,2.0, negative
28,0.0,2.0,1.0,1.0, negative
29,3.0,3.0,2.0,1.0, negative
30,2.0,0.0,1.0,1.0, negative
31,1.0,2.0,1.0,1.0, negative
32,1.0,1.0,1.0,1.0, negative
33,1.0,1.0,1.0,0.0, negative
34,2.0,2.0,1.0,1.0, negative
35,0.0,0.0,0.0,0.0, negative
36,1.0,1.0,1.0,1.0, negative
37,1.0,2.0,1.0,0.0, negative
38,1.0,2.0,1.0,1.0, negative
39,1.0,2.0,1.0,1.0, negative
40,3.0,2.0,3.0,3.0, negative
41,2.0,2.0,3.0,2.0, negative
42,2.0,2.0,3.0,4.0, negative
43,4.0,2.0,4.0,3.0, negative
44,0.0,1.0,1.0,2.0, negative
45,4.0,2.0,4.0,2.0, negative
46,3.0,1.0,3.0,2.0, negative
47,3.0,4.0,4.0,4.0, negative
48,2.0,3.0,2.0,3.0, negative
49,3.0,2.0,3.0,3.0, negative
50,1.0,1.0,2.0,3.0, negative
51,1.0,2.0,2.0,4.0, negative
52,4.0,4.0,4.0,4.0, negative
53,4.0,2.0,4.0,3.0, negative
54,2.0,1.0,2.0,2.0, negative
55,3.0,3.0,3.0,3.0, negative
56,2.0,2.0,2.0,2.0, negative
57,2.0,2.0,3.0,3.0, negative
58,3.0,2.0,3.0,2.0, negative
59,4.0,2.0,4.0,3.0, negative
60,4.0,4.0,4.0,3.0, negative
61,2.0,2.0,3.0,4.0, negative
62,2.0,2.0,2.0,1.0, negative
63,2.0,1.0,3.0,1.0, negative
64,4.0,2.0,4.0,4.0, negative
65,2.0,3.0,3.0,4.0, negative
66,2.0,3.0,3.0,2.0, negative
67,1.0,2.0,2.0,2.0, negative
68,3.0,3.0,3.0,3.0, negative
69,3.0,3.0,3.0,4.0, negative
70,3.0,3.0,3.0,4.0, negative
71,3.0,3.0,3.0,4.0, negative
72,3.0,2.0,2.0,4.0, negative
73,2.0,1.0,2.0,3.0, negative
74,2.0,2.0,2.0,3.0, negative
75,2.0,3.0,3.0,4.0, negative
76,1.0,2.0,2.0,2.0, negative
77,1.0,0.0,2.0,1.0, negative
78,3.0,3.0,3.0,4.0, negative
