%
% Comments go after a '%' sign.
%
%
% Relation: World Cup 2014
%
%
% Attributes: 5     Instances: 125
%
%

@relation World Cup 2014

@attribute '0' numeric
@attribute '0' numeric
@attribute '1' numeric
@attribute '2' numeric
@attribute 'y' {' negative',' positive'}

@data
0,1.0,1.0,0.0,' negative'
1,0.0,2.0,0.0,' negative'
2,2.0,2.0,0.0,' negative'
3,3.0,4.0,0.0,' negative'
4,4.0,3.0,0.0,' negative'
5,0.0,2.0,1.0,' negative'
6,0.0,0.0,0.0,' negative'
7,3.0,4.0,0.0,' positive'
8,2.0,1.0,0.0,' positive'
9,2.0,3.0,0.0,' positive'
10,1.0,1.0,0.0,' negative'
11,2.0,4.0,0.0,' negative'
12,1.0,2.0,0.0,' negative'
13,3.0,4.0,0.0,' negative'
14,0.0,0.0,0.0,' negative'
15,2.0,0.0,1.0,' positive'
16,0.0,0.0,2.0,' positive'
17,1.0,0.0,0.0,' negative'
18,3.0,3.0,0.0,' negative'
19,0.0,2.0,0.0,' positive'
20,0.0,1.0,0.0,' negative'
21,1.0,4.0,0.0,' negative'
22,1.0,0.0,0.0,' negative'
23,1.0,3.0,1.0,' negative'
24,2.0,1.0,0.0,' negative'
25,2.0,3.0,0.0,' negative'
26,1.0,0.0,0.0,' positive'
27,1.0,0.0,0.0,' negative'
28,3.0,0.0,0.0,' positive'
29,2.0,1.0,1.0,' positive'
30,2.0,1.0,0.0,' negative'
31,0.0,0.0,1.0,' negative'
32,0.0,0.0,0.0,' negative'
33,1.0,1.0,0.0,' negative'
34,3.0,3.0,2.0,' negative'
35,4.0,0.0,0.0,' positive'
36,1.0,1.0,0.0,' positive'
37,0.0,0.0,0.0,' negative'
38,1.0,2.0,2.0,' positive'
39,2.0,4.0,0.0,' negative'
40,0.0,2.0,0.0,' negative'
41,0.0,1.0,0.0,' negative'
42,1.0,1.0,0.0,' negative'
43,1.0,1.0,0.0,' positive'
44,2.0,2.0,0.0,' negative'
45,2.0,2.0,0.0,' negative'
46,2.0,0.0,1.0,' positive'
47,1.0,1.0,0.0,' negative'
48,4.0,3.0,0.0,' positive'
49,2.0,4.0,0.0,' negative'
50,3.0,1.0,1.0,' positive'
51,0.0,0.0,0.0,' negative'
52,0.0,3.0,1.0,' negative'
53,2.0,4.0,0.0,' negative'
54,3.0,3.0,0.0,' negative'
55,2.0,0.0,0.0,' negative'
56,1.0,1.0,0.0,' negative'
57,1.0,3.0,0.0,' negative'
58,2.0,1.0,0.0,' negative'
59,0.0,1.0,0.0,' negative'
60,1.0,3.0,0.0,' positive'
61,2.0,0.0,0.0,' positive'
62,1.0,0.0,0.0,' positive'
63,4.0,3.0,0.0,' positive'
64,3.0,0.0,0.0,' positive'
65,1.0,2.0,1.0,' positive'
66,2.0,3.0,1.0,' positive'
67,2.0,3.0,0.0,' positive'
68,1.0,2.0,0.0,' positive'
69,1.0,0.0,0.0,' positive'
70,1.0,4.0,0.0,' positive'
71,0.0,3.0,0.0,' positive'
72,0.0,0.0,0.0,' positive'
73,2.0,0.0,0.0,' positive'
74,3.0,1.0,0.0,' positive'
75,1.0,0.0,0.0,' positive'
76,0.0,4.0,0.0,' positive'
77,2.0,3.0,0.0,' positive'
78,1.0,0.0,0.0,' positive'
79,1.0,4.0,0.0,' positive'
80,0.0,0.0,0.0,' positive'
81,3.0,2.0,0.0,' positive'
82,1.0,0.0,0.0,' positive'
83,1.0,3.0,1.0,' positive'
84,2.0,3.0,2.0,' positive'
85,0.0,3.0,0.0,' positive'
86,3.0,0.0,0.0,' positive'
87,0.0,4.0,0.0,' positive'
88,1.0,0.0,1.0,' positive'
89,1.0,2.0,0.0,' positive'
90,2.0,1.0,3.0,' positive'
91,1.0,2.0,0.0,' positive'
92,2.0,4.0,0.0,' positive'
93,1.0,3.0,0.0,' positive'
94,2.0,4.0,1.0,' positive'
95,3.0,3.0,1.0,' positive'
96,2.0,1.0,0.0,' positive'
97,2.0,0.0,1.0,' positive'
98,3.0,2.0,0.0,' positive'
99,1.0,0.0,1.0,' positive'
100,3.0,2.0,0.0,' positive'
101,2.0,4.0,0.0,' positive'
102,1.0,1.0,0.0,' positive'
103,3.0,0.0,0.0,' positive'
104,0.0,2.0,0.0,' positive'
105,1.0,2.0,0.0,' positive'
106,1.0,0.0,0.0,' positive'
107,1.0,0.0,1.0,' positive'
108,1.0,4.0,0.0,' positive'
109,0.0,4.0,2.0,' positive'
110,1.0,3.0,0.0,' positive'
111,3.0,1.0,2.0,' positive'
112,2.0,3.0,0.0,' positive'
113,1.0,3.0,1.0,' positive'
114,0.0,2.0,0.0,' positive'
115,1.0,3.0,0.0,' positive'
116,2.0,3.0,0.0,' positive'
117,2.0,2.0,0.0,' positive'
118,0.0,0.0,0.0,' positive'
119,0.0,0.0,4.0,' positive'
120,1.0,4.0,0.0,' positive'
121,1.0,2.0,2.0,' positive'
122,1.0,2.0,1.0,' positive'
123,2.0,2.0,0.0,' positive'
124,1.0,3.0,0.0,' positive'
