@relation ./ML-assignments/Assignment6/databases_disc/databases_EWD2_arff/iris0/EWD2iris0-5-5tra.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute Class {' negative'}
@data
0,3.0,1.0,2.0,1.0,' negativ
1,1.0,2.0,1.0,1.0,' negativ
2,1.0,3.0,1.0,2.0,' negativ
3,3.0,2.0,2.0,1.0,' negativ
4,0.0,0.0,1.0,1.0,' negativ
5,1.0,1.0,1.0,1.0,' negativ
6,2.0,3.0,2.0,2.0,' negativ
7,0.0,1.0,1.0,1.0,' negativ
8,1.0,2.0,1.0,1.0,' negativ
9,1.0,2.0,2.0,1.0,' negativ
10,1.0,2.0,0.0,1.0,' negativ
11,2.0,2.0,1.0,1.0,' negativ
12,1.0,1.0,1.0,0.0,' negativ
13,2.0,0.0,1.0,1.0,' negativ
14,1.0,0.0,1.0,0.0,' negativ
15,1.0,3.0,2.0,2.0,' negativ
16,1.0,1.0,1.0,1.0,' negativ
17,2.0,0.0,2.0,1.0,' negativ
18,2.0,2.0,1.0,1.0,' negativ
19,2.0,2.0,1.0,1.0,' negativ
20,2.0,2.0,2.0,2.0,' negativ
21,1.0,1.0,0.0,0.0,' negativ
22,0.0,0.0,1.0,0.0,' negativ
23,0.0,0.0,0.0,0.0,' negativ
24,1.0,1.0,1.0,0.0,' negativ
25,1.0,1.0,2.0,2.0,' negativ
26,0.0,2.0,1.0,1.0,' negativ
27,2.0,2.0,2.0,1.0,' negativ
28,2.0,0.0,1.0,1.0,' negativ
29,1.0,2.0,1.0,1.0,' negativ
30,0.0,0.0,1.0,1.0,' negativ
31,0.0,1.0,1.0,0.0,' negativ
32,1.0,2.0,2.0,1.0,' negativ
33,1.0,1.0,1.0,0.0,' negativ
34,0.0,0.0,0.0,0.0,' negativ
35,1.0,1.0,1.0,1.0,' negativ
36,1.0,2.0,1.0,1.0,' negativ
37,2.0,2.0,1.0,1.0,' negativ
38,0.0,0.0,0.0,0.0,' negativ
39,2.0,3.0,3.0,4.0,' negativ
40,1.0,1.0,2.0,3.0,' negativ
41,3.0,2.0,3.0,3.0,' negativ
42,2.0,2.0,3.0,2.0,' negativ
43,2.0,2.0,3.0,4.0,' negativ
44,3.0,2.0,4.0,2.0,' negativ
45,3.0,4.0,3.0,4.0,' negativ
46,2.0,3.0,2.0,3.0,' negativ
47,2.0,1.0,2.0,3.0,' negativ
48,3.0,2.0,3.0,3.0,' negativ
49,1.0,0.0,2.0,3.0,' negativ
50,1.0,1.0,2.0,4.0,' negativ
51,2.0,3.0,2.0,4.0,' negativ
52,4.0,4.0,4.0,4.0,' negativ
53,1.0,1.0,2.0,3.0,' negativ
54,4.0,1.0,4.0,3.0,' negativ
55,2.0,1.0,2.0,2.0,' negativ
56,2.0,3.0,3.0,3.0,' negativ
57,3.0,3.0,3.0,2.0,' negativ
58,1.0,2.0,2.0,2.0,' negativ
59,2.0,1.0,3.0,3.0,' negativ
60,3.0,2.0,3.0,2.0,' negativ
61,4.0,1.0,3.0,3.0,' negativ
62,4.0,4.0,4.0,3.0,' negativ
63,2.0,1.0,3.0,4.0,' negativ
64,2.0,1.0,2.0,1.0,' negativ
65,4.0,2.0,3.0,4.0,' negativ
66,2.0,2.0,3.0,2.0,' negativ
67,1.0,2.0,2.0,2.0,' negativ
68,3.0,2.0,2.0,4.0,' negativ
69,1.0,1.0,2.0,3.0,' negativ
70,2.0,3.0,3.0,4.0,' negativ
71,2.0,2.0,2.0,4.0,' negativ
72,2.0,0.0,2.0,3.0,' negativ
73,2.0,3.0,3.0,4.0,' negativ
74,1.0,2.0,2.0,2.0,' negativ
75,2.0,2.0,3.0,2.0,' negativ
76,4.0,1.0,4.0,4.0,' negativ
77,3.0,3.0,3.0,4.0,' negativ
78,2.0,1.0,2.0,2.0,' negativ
