%
% Comments go after a '%' sign.
%
%
% Relation: EWD1kr-vs-k-one_vs_fifteen-5-5tst.dat.csv
%
%
% Attributes: 7     Instances: 510
%
%

@relation EWD1kr-vs-k-one_vs_fifteen-5-5tst.dat.csv

@attribute 'attr0' numeric
@attribute 'attr1' numeric
@attribute 'attr2' numeric
@attribute 'attr3' numeric
@attribute 'attr4' numeric
@attribute 'attr5' numeric
@attribute 'attrClass' {' positive',' negative'}

@data
0.0,0.0,0.0,0.0,0.0,0.0,' positive'
0.0,1.0,0.0,2.0,0.0,0.0,' positive'
0.0,1.0,0.0,2.0,0.0,0.0,' positive'
0.0,1.0,1.0,0.0,0.0,0.0,' positive'
0.0,1.0,1.0,2.0,0.0,0.0,' positive'
0.0,1.0,1.0,1.0,0.0,0.0,' positive'
0.0,1.0,1.0,1.0,0.0,0.0,' positive'
0.0,1.0,0.0,1.0,0.0,0.0,' positive'
0.0,1.0,0.0,1.0,0.0,0.0,' positive'
0.0,1.0,0.0,2.0,0.0,0.0,' positive'
0.0,1.0,0.0,2.0,0.0,0.0,' positive'
0.0,2.0,1.0,0.0,0.0,0.0,' positive'
0.0,2.0,1.0,1.0,0.0,0.0,' positive'
1.0,2.0,0.0,2.0,0.0,0.0,' positive'
2.0,0.0,2.0,0.0,1.0,1.0,' negative'
2.0,0.0,2.0,0.0,1.0,0.0,' negative'
2.0,0.0,2.0,0.0,1.0,1.0,' negative'
2.0,0.0,2.0,0.0,1.0,0.0,' negative'
2.0,0.0,2.0,1.0,2.0,1.0,' negative'
2.0,0.0,2.0,1.0,1.0,1.0,' negative'
2.0,0.0,2.0,1.0,1.0,1.0,' negative'
2.0,0.0,2.0,2.0,2.0,1.0,' negative'
2.0,0.0,2.0,2.0,1.0,0.0,' negative'
2.0,0.0,2.0,2.0,1.0,1.0,' negative'
2.0,0.0,2.0,2.0,1.0,2.0,' negative'
2.0,0.0,2.0,2.0,2.0,0.0,' negative'
2.0,0.0,2.0,2.0,2.0,2.0,' negative'
2.0,0.0,0.0,0.0,1.0,0.0,' negative'
2.0,0.0,0.0,0.0,1.0,1.0,' negative'
2.0,0.0,0.0,0.0,1.0,2.0,' negative'
2.0,0.0,0.0,0.0,1.0,1.0,' negative'
2.0,0.0,0.0,0.0,1.0,2.0,' negative'
2.0,0.0,0.0,1.0,2.0,1.0,' negative'
2.0,0.0,0.0,1.0,1.0,1.0,' negative'
2.0,0.0,0.0,1.0,1.0,2.0,' negative'
2.0,0.0,0.0,1.0,0.0,0.0,' negative'
2.0,0.0,0.0,1.0,0.0,0.0,' negative'
2.0,0.0,0.0,2.0,0.0,0.0,' negative'
2.0,0.0,0.0,0.0,1.0,2.0,' negative'
2.0,0.0,0.0,0.0,1.0,1.0,' negative'
2.0,0.0,0.0,0.0,1.0,2.0,' negative'
2.0,0.0,0.0,0.0,2.0,1.0,' negative'
2.0,0.0,0.0,1.0,2.0,1.0,' negative'
2.0,0.0,0.0,1.0,2.0,1.0,' negative'
2.0,0.0,0.0,1.0,2.0,0.0,' negative'
2.0,0.0,0.0,1.0,1.0,1.0,' negative'
2.0,0.0,0.0,2.0,2.0,2.0,' negative'
2.0,0.0,2.0,0.0,2.0,1.0,' negative'
2.0,0.0,2.0,0.0,1.0,1.0,' negative'
2.0,0.0,2.0,0.0,1.0,2.0,' negative'
2.0,0.0,2.0,0.0,1.0,0.0,' negative'
2.0,0.0,2.0,0.0,1.0,0.0,' negative'
2.0,0.0,2.0,0.0,1.0,1.0,' negative'
2.0,0.0,2.0,0.0,1.0,1.0,' negative'
2.0,0.0,2.0,1.0,2.0,0.0,' negative'
2.0,0.0,2.0,1.0,1.0,0.0,' negative'
2.0,0.0,2.0,2.0,2.0,0.0,' negative'
2.0,0.0,2.0,2.0,2.0,1.0,' negative'
2.0,0.0,2.0,2.0,1.0,0.0,' negative'
2.0,0.0,2.0,2.0,2.0,1.0,' negative'
2.0,0.0,2.0,2.0,1.0,2.0,' negative'
2.0,0.0,1.0,0.0,2.0,0.0,' negative'
2.0,0.0,1.0,0.0,1.0,0.0,' negative'
2.0,0.0,1.0,0.0,1.0,2.0,' negative'
2.0,0.0,1.0,0.0,1.0,1.0,' negative'
2.0,0.0,1.0,0.0,1.0,2.0,' negative'
2.0,0.0,1.0,0.0,2.0,1.0,' negative'
2.0,0.0,1.0,1.0,0.0,0.0,' negative'
2.0,0.0,1.0,1.0,0.0,0.0,' negative'
2.0,0.0,1.0,1.0,2.0,0.0,' negative'
2.0,0.0,1.0,1.0,2.0,2.0,' negative'
2.0,0.0,1.0,2.0,2.0,0.0,' negative'
2.0,0.0,1.0,2.0,1.0,0.0,' negative'
2.0,0.0,1.0,2.0,1.0,1.0,' negative'
2.0,0.0,1.0,2.0,1.0,0.0,' negative'
2.0,0.0,1.0,2.0,1.0,1.0,' negative'
2.0,0.0,1.0,2.0,1.0,2.0,' negative'
2.0,0.0,1.0,2.0,2.0,1.0,' negative'
2.0,0.0,1.0,2.0,0.0,0.0,' negative'
2.0,0.0,1.0,2.0,2.0,0.0,' negative'
2.0,0.0,1.0,2.0,2.0,0.0,' negative'
2.0,0.0,1.0,0.0,0.0,0.0,' negative'
2.0,0.0,2.0,0.0,2.0,0.0,' negative'
2.0,0.0,2.0,0.0,2.0,0.0,' negative'
2.0,0.0,2.0,0.0,1.0,1.0,' negative'
2.0,0.0,2.0,0.0,1.0,2.0,' negative'
2.0,0.0,2.0,0.0,1.0,2.0,' negative'
2.0,0.0,2.0,0.0,1.0,2.0,' negative'
2.0,0.0,2.0,1.0,1.0,2.0,' negative'
2.0,0.0,2.0,1.0,2.0,0.0,' negative'
2.0,0.0,2.0,1.0,2.0,1.0,' negative'
2.0,0.0,2.0,1.0,1.0,2.0,' negative'
2.0,0.0,2.0,2.0,2.0,0.0,' negative'
2.0,0.0,2.0,2.0,1.0,0.0,' negative'
2.0,0.0,0.0,0.0,0.0,0.0,' negative'
2.0,0.0,0.0,0.0,1.0,1.0,' negative'
2.0,0.0,0.0,0.0,1.0,1.0,' negative'
2.0,0.0,0.0,1.0,1.0,1.0,' negative'
2.0,0.0,0.0,1.0,1.0,2.0,' negative'
2.0,0.0,0.0,2.0,1.0,2.0,' negative'
2.0,0.0,2.0,0.0,2.0,0.0,' negative'
2.0,0.0,2.0,0.0,2.0,1.0,' negative'
2.0,0.0,2.0,0.0,1.0,1.0,' negative'
2.0,0.0,2.0,0.0,0.0,0.0,' negative'
2.0,0.0,2.0,0.0,0.0,1.0,' negative'
2.0,0.0,2.0,0.0,2.0,1.0,' negative'
2.0,0.0,2.0,0.0,2.0,2.0,' negative'
2.0,0.0,2.0,0.0,1.0,0.0,' negative'
2.0,0.0,2.0,0.0,1.0,1.0,' negative'
2.0,0.0,2.0,2.0,2.0,1.0,' negative'
2.0,0.0,2.0,2.0,0.0,1.0,' negative'
2.0,0.0,2.0,2.0,0.0,1.0,' negative'
2.0,0.0,2.0,2.0,0.0,2.0,' negative'
2.0,0.0,2.0,2.0,2.0,1.0,' negative'
2.0,0.0,2.0,2.0,1.0,2.0,' negative'
2.0,0.0,2.0,2.0,0.0,1.0,' negative'
2.0,0.0,2.0,2.0,2.0,2.0,' negative'
2.0,0.0,0.0,0.0,0.0,1.0,' negative'
2.0,0.0,0.0,0.0,2.0,0.0,' negative'
2.0,0.0,0.0,0.0,2.0,2.0,' negative'
2.0,0.0,0.0,0.0,1.0,1.0,' negative'
2.0,0.0,0.0,0.0,2.0,0.0,' negative'
2.0,0.0,0.0,0.0,2.0,1.0,' negative'
2.0,0.0,0.0,0.0,1.0,1.0,' negative'
2.0,0.0,0.0,0.0,1.0,2.0,' negative'
2.0,0.0,0.0,1.0,0.0,1.0,' negative'
2.0,0.0,0.0,2.0,1.0,0.0,' negative'
2.0,0.0,0.0,2.0,1.0,0.0,' negative'
2.0,0.0,0.0,2.0,0.0,1.0,' negative'
2.0,0.0,0.0,2.0,2.0,2.0,' negative'
2.0,0.0,0.0,2.0,0.0,2.0,' negative'
