@relation ./ML-assignments/Assignment6/databases_disc/databases_EWD1_arff/iris0/EWD1iris0-5-1tra.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute Class {' negative'}
@data
0,1.0,1.0,1.0,0.0,' negativ
1,2.0,1.0,1.0,0.0,' negativ
2,1.0,1.0,1.0,1.0,' negativ
3,2.0,2.0,1.0,0.0,' negativ
4,1.0,2.0,1.0,1.0,' negativ
5,0.0,0.0,0.0,0.0,' negativ
6,0.0,1.0,1.0,0.0,' negativ
7,0.0,0.0,0.0,0.0,' negativ
8,0.0,1.0,0.0,0.0,' negativ
9,0.0,0.0,0.0,0.0,' negativ
10,1.0,1.0,0.0,1.0,' negativ
11,1.0,0.0,0.0,0.0,' negativ
12,1.0,1.0,1.0,0.0,' negativ
13,0.0,1.0,0.0,0.0,' negativ
14,0.0,1.0,1.0,1.0,' negativ
15,1.0,0.0,1.0,1.0,' negativ
16,0.0,0.0,0.0,0.0,' negativ
17,1.0,2.0,1.0,1.0,' negativ
18,1.0,1.0,0.0,0.0,' negativ
19,1.0,0.0,1.0,1.0,' negativ
20,1.0,1.0,1.0,0.0,' negativ
21,1.0,1.0,1.0,0.0,' negativ
22,1.0,1.0,1.0,0.0,' negativ
23,1.0,1.0,1.0,1.0,' negativ
24,0.0,1.0,0.0,0.0,' negativ
25,0.0,0.0,0.0,0.0,' negativ
26,0.0,0.0,0.0,0.0,' negativ
27,0.0,1.0,0.0,0.0,' negativ
28,1.0,1.0,1.0,1.0,' negativ
29,0.0,1.0,1.0,1.0,' negativ
30,1.0,0.0,1.0,0.0,' negativ
31,0.0,1.0,0.0,0.0,' negativ
32,0.0,1.0,1.0,0.0,' negativ
33,0.0,1.0,0.0,0.0,' negativ
34,0.0,1.0,0.0,0.0,' negativ
35,0.0,1.0,0.0,0.0,' negativ
36,1.0,1.0,1.0,0.0,' negativ
37,0.0,0.0,0.0,0.0,' negativ
38,0.0,1.0,0.0,0.0,' negativ
39,1.0,2.0,2.0,2.0,' negativ
40,0.0,1.0,1.0,1.0,' negativ
41,2.0,1.0,2.0,2.0,' negativ
42,1.0,1.0,2.0,1.0,' negativ
43,1.0,1.0,2.0,2.0,' negativ
44,2.0,1.0,2.0,2.0,' negativ
45,0.0,0.0,1.0,1.0,' negativ
46,2.0,1.0,2.0,1.0,' negativ
47,1.0,0.0,2.0,1.0,' negativ
48,1.0,2.0,1.0,2.0,' negativ
49,1.0,1.0,1.0,1.0,' negativ
50,2.0,1.0,1.0,2.0,' negativ
51,0.0,1.0,1.0,2.0,' negativ
52,1.0,2.0,1.0,2.0,' negativ
53,2.0,2.0,2.0,2.0,' negativ
54,0.0,1.0,1.0,2.0,' negativ
55,1.0,1.0,1.0,1.0,' negativ
56,2.0,2.0,2.0,1.0,' negativ
57,1.0,1.0,1.0,1.0,' negativ
58,1.0,1.0,2.0,2.0,' negativ
59,2.0,1.0,2.0,1.0,' negativ
60,2.0,1.0,2.0,1.0,' negativ
61,1.0,1.0,1.0,1.0,' negativ
62,1.0,1.0,2.0,0.0,' negativ
63,2.0,1.0,2.0,2.0,' negativ
64,1.0,2.0,2.0,2.0,' negativ
65,1.0,1.0,1.0,1.0,' negativ
66,1.0,1.0,1.0,1.0,' negativ
67,2.0,1.0,1.0,2.0,' negativ
68,1.0,1.0,2.0,2.0,' negativ
69,2.0,1.0,1.0,2.0,' negativ
70,0.0,1.0,1.0,1.0,' negativ
71,2.0,2.0,2.0,2.0,' negativ
72,1.0,1.0,1.0,2.0,' negativ
73,1.0,2.0,1.0,2.0,' negativ
74,1.0,1.0,1.0,1.0,' negativ
75,2.0,1.0,2.0,2.0,' negativ
76,1.0,0.0,1.0,1.0,' negativ
77,2.0,2.0,2.0,2.0,' negativ
78,1.0,1.0,1.0,1.0,' negativ
