@relation ./ML-assignments/Assignment6/databases_disc/databases_EWD1_arff/iris0/EWD1iris0-5-1tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute Class {' negative',' positive'}
@data
0,0.0,2.0,0.0,0.0,' positiv
1,1.0,2.0,0.0,0.0,' positiv
2,0.0,2.0,0.0,0.0,' positiv
3,0.0,1.0,0.0,0.0,' positiv
4,0.0,1.0,0.0,0.0,' positiv
5,0.0,1.0,0.0,0.0,' positiv
6,0.0,2.0,0.0,0.0,' positiv
7,0.0,1.0,0.0,0.0,' positiv
8,0.0,1.0,0.0,0.0,' positiv
9,1.0,1.0,1.0,1.0,' negativ
10,2.0,1.0,2.0,1.0,' negativ
11,1.0,1.0,1.0,1.0,' negativ
12,2.0,1.0,1.0,1.0,' negativ
13,1.0,0.0,1.0,1.0,' negativ
14,2.0,1.0,1.0,1.0,' negativ
15,1.0,0.0,1.0,1.0,' negativ
16,1.0,1.0,1.0,1.0,' negativ
17,0.0,0.0,1.0,1.0,' negativ
18,1.0,0.0,1.0,1.0,' negativ
19,2.0,1.0,2.0,2.0,' negativ
20,1.0,0.0,2.0,2.0,' negativ
21,2.0,0.0,2.0,2.0,' negativ
22,2.0,1.0,2.0,2.0,' negativ
23,2.0,2.0,2.0,2.0,' negativ
24,1.0,0.0,2.0,2.0,' negativ
25,2.0,1.0,2.0,2.0,' negativ
26,2.0,1.0,2.0,2.0,' negativ
27,1.0,0.0,2.0,2.0,' negativ
28,1.0,1.0,2.0,2.0,' negativ
29,0.0,1.0,0.0,0.0,' positiv
30,0.0,1.0,0.0,0.0,' positiv
31,0.0,1.0,0.0,0.0,' positiv
32,0.0,1.0,0.0,0.0,' positiv
33,0.0,2.0,0.0,0.0,' positiv
34,0.0,1.0,0.0,0.0,' positiv
35,0.0,0.0,0.0,0.0,' positiv
36,0.0,1.0,0.0,0.0,' positiv
37,0.0,1.0,0.0,0.0,' positiv
38,0.0,1.0,0.0,0.0,' positiv
39,1.0,2.0,0.0,0.0,' positiv
40,0.0,2.0,0.0,0.0,' positiv
41,0.0,1.0,0.0,0.0,' positiv
42,0.0,1.0,0.0,0.0,' positiv
43,0.0,2.0,0.0,0.0,' positiv
44,0.0,1.0,0.0,0.0,' positiv
45,0.0,1.0,0.0,0.0,' positiv
46,0.0,1.0,0.0,0.0,' positiv
47,0.0,1.0,0.0,0.0,' positiv
48,0.0,1.0,0.0,0.0,' positiv
49,0.0,1.0,0.0,0.0,' positiv
50,0.0,1.0,0.0,0.0,' positiv
51,0.0,1.0,0.0,0.0,' positiv
52,0.0,1.0,0.0,0.0,' positiv
53,0.0,1.0,0.0,0.0,' positiv
54,0.0,2.0,0.0,0.0,' positiv
55,1.0,2.0,0.0,0.0,' positiv
56,0.0,1.0,0.0,0.0,' positiv
57,1.0,1.0,0.0,0.0,' positiv
58,0.0,1.0,0.0,0.0,' positiv
59,0.0,1.0,0.0,0.0,' positiv
60,0.0,0.0,0.0,0.0,' positiv
61,0.0,2.0,0.0,0.0,' positiv
62,0.0,1.0,0.0,0.0,' positiv
63,0.0,1.0,0.0,0.0,' positiv
64,0.0,2.0,0.0,0.0,' positiv
65,0.0,1.0,0.0,0.0,' positiv
66,0.0,1.0,0.0,0.0,' positiv
67,1.0,2.0,0.0,0.0,' positiv
68,0.0,1.0,0.0,0.0,' positiv
