@relation ./ML-assignments/Assignment6/databases_disc/databases_KBN3_arff/winequality-white-9_vs_4/KBN3winequality-white-9_vs_4-5-4tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute Class {' negative',' positive'}
@data
0,1.0,4.0,9.0,0.0,5.0,0.0,5.0,3.0,3.0,6.0,1.0,' negativ
1,3.0,7.0,1.0,5.0,8.0,2.0,7.0,7.0,7.0,4.0,0.0,' negativ
2,5.0,0.0,5.0,4.0,2.0,4.0,5.0,3.0,2.0,7.0,6.0,' negativ
3,2.0,5.0,4.0,3.0,0.0,7.0,3.0,0.0,5.0,1.0,9.0,' positiv
4,7.0,3.0,6.0,1.0,3.0,0.0,0.0,4.0,3.0,7.0,3.0,' negativ
5,6.0,4.0,3.0,1.0,4.0,1.0,1.0,4.0,5.0,2.0,1.0,' negativ
6,6.0,3.0,6.0,1.0,3.0,0.0,0.0,4.0,3.0,7.0,3.0,' negativ
7,9.0,3.0,9.0,6.0,5.0,4.0,9.0,7.0,2.0,3.0,2.0,' negativ
8,7.0,0.0,6.0,5.0,3.0,2.0,2.0,4.0,0.0,1.0,3.0,' negativ
9,2.0,3.0,6.0,1.0,5.0,4.0,6.0,6.0,9.0,5.0,1.0,' negativ
10,6.0,3.0,6.0,9.0,5.0,3.0,7.0,9.0,5.0,6.0,0.0,' negativ
11,3.0,7.0,3.0,1.0,4.0,2.0,5.0,4.0,6.0,7.0,4.0,' negativ
12,0.0,4.0,5.0,1.0,4.0,1.0,8.0,4.0,8.0,3.0,3.0,' negativ
13,4.0,6.0,0.0,0.0,2.0,5.0,2.0,3.0,4.0,1.0,0.0,' negativ
14,5.0,3.0,3.0,8.0,6.0,5.0,7.0,8.0,2.0,5.0,0.0,' negativ
15,5.0,3.0,7.0,7.0,3.0,7.0,6.0,8.0,4.0,4.0,0.0,' negativ
16,1.0,3.0,4.0,6.0,6.0,7.0,7.0,7.0,4.0,6.0,0.0,' negativ
17,2.0,4.0,4.0,1.0,4.0,2.0,7.0,3.0,5.0,6.0,2.0,' negativ
18,3.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,6.0,8.0,3.0,' negativ
19,1.0,5.0,2.0,5.0,7.0,6.0,9.0,8.0,8.0,8.0,1.0,' negativ
20,7.0,5.0,4.0,1.0,3.0,1.0,3.0,5.0,4.0,4.0,1.0,' negativ
21,3.0,2.0,3.0,4.0,2.0,7.0,8.0,4.0,4.0,9.0,2.0,' negativ
22,5.0,3.0,5.0,7.0,1.0,1.0,1.0,6.0,2.0,4.0,4.0,' negativ
23,4.0,3.0,5.0,1.0,1.0,3.0,4.0,2.0,4.0,3.0,4.0,' negativ
24,2.0,1.0,8.0,3.0,2.0,0.0,3.0,2.0,1.0,7.0,3.0,' negativ
25,7.0,1.0,4.0,0.0,1.0,4.0,1.0,2.0,0.0,1.0,2.0,' negativ
26,2.0,8.0,2.0,4.0,4.0,2.0,0.0,3.0,3.0,0.0,5.0,' negativ
27,0.0,5.0,1.0,3.0,5.0,3.0,2.0,3.0,2.0,1.0,0.0,' negativ
28,1.0,3.0,2.0,6.0,2.0,3.0,2.0,3.0,2.0,0.0,4.0,' negativ
29,0.0,3.0,4.0,2.0,2.0,8.0,3.0,1.0,4.0,2.0,6.0,' negativ
30,0.0,7.0,0.0,0.0,2.0,3.0,1.0,1.0,3.0,3.0,4.0,' negativ
31,0.0,5.0,6.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,7.0,' negativ
32,8.0,3.0,6.0,6.0,2.0,3.0,3.0,7.0,4.0,4.0,3.0,' positiv
33,1.0,5.0,3.0,1.0,0.0,2.0,1.0,0.0,7.0,7.0,8.0,' positiv
34,5.0,2.0,4.0,2.0,1.0,3.0,4.0,1.0,5.0,4.0,8.0,' positiv
35,3.0,3.0,6.0,2.0,1.0,3.0,2.0,1.0,6.0,3.0,9.0,' positiv
