@relation final_dataset_v1

@attribute fingerprint {B101X9I_1_1,B102X0I_1_1,B104X8I_1_1,B105X2I_1_1,B106X8I_1_1,B107X9I_1_1,B108X6I_1_1,B109X4I_1_1,B110X6I_1_1,B111X7I_1_1,B112X2I_1_1,B114X3I_1_1,B115X8I_1_1,B116X6I_1_1,B117X0I_1_1,B118X8I_1_1,B119X0I_1_1,B120X9I_1_1,B121X7I_1_1,B122X4I_1_1,B123X1I_1_1,B124X5I_1_1,B126X1I_1_1,B127X6I_1_1,B129X7I_1_1,B130X1I_1_1,B132X7I_1_1,B134X9I_1_1,B135X8I_1_1,B136X8I_1_1,B137X6I_1_1,B138X3I_1_1,B139X2I_1_1,B140X8I_1_1,B141X4I_1_1,B142X1I_1_1,B143X6I_1_1,B144X3I_1_1,B145X8I_1_1,B146X6I_1_1,B147X7I_1_1,B148X6I_1_1,B150X3I_1_1,B151X9I_1_1,B152X8I_1_1,B153X1I_1_1,B154X6I_1_1,B155X6I_1_1,B157X7I_1_1,B158X8I_1_1,B161X1I_1_1,B163X7I_1_1,B164X3I_1_1,B165X7I_1_1,B166X3I_1_1,B167X2I_1_1,B168X1I_1_1,B169X2I_1_1,B170X7I_1_1,B171X7I_1_1,B172X1I_1_1,B173X9I_1_1,B175X6I_1_1,B176X7I_1_1,B177X6I_1_1,B179X2I_1_1,B180X4I_1_1,B181X8I_1_1,B182X7I_1_1,B183X1I_1_1,B185X7I_1_1,B187X2I_1_1,B188X7I_1_1,B189X7I_1_1,B190X8I_1_1,B191X3I_1_1,B192X9I_1_1,B193X2I_1_1,B194X8I_1_1,B195X3I_1_1,B196X7I_1_1,B197X8I_1_1,B198X6I_1_1,B199X1I_1_1,B200X6I_1_1,G001X2I_1_1,G002X3I_1_1,G003X8I_1_1,G004X8I_1_1,G005X8I_1_1,G006X6I_1_1,G007X1I_1_1,G008X6I_1_1,G009X8I_1_1,G011X7I_1_1,G012X8I_1_1,G013X4I_1_1,G014X7I_1_1,G016X8I_1_1,G017X9I_1_1,G018X6I_1_1,G019X1I_1_1,G021X7I_1_1,G023X6I_1_1,G026X9I_1_1,G027X6I_1_1,G028X1I_1_1,G029X9I_1_1,G030X1I_1_1,G031X6I_1_1,G032X6I_1_1,G033X7I_1_1,G034X6I_1_1,G035X6I_1_1,G036X6I_1_1,G037X6I_1_1,G038X6I_1_1,G039X4I_1_1,G040X6I_1_1,G041X6I_1_1,G042X2I_1_1,G043X8I_1_1,G044X7I_1_1,G045X9I_1_1,G046X1I_1_1,G047X4I_1_1,G049X3I_1_1,G050X7I_1_1,G051X6I_1_1,G052X9I_1_1,G053X6I_1_1,G055X3I_1_1,G056X9I_1_1,G057X4I_1_1,G058X4I_1_1,G059X1I_1_1,G060X1I_1_1,G061X4I_1_1,G062X9I_1_1,G063X2I_1_1,G064X1I_1_1,G065X6I_1_1,G066X4I_1_1,G068X6I_1_1,G069X7I_1_1,G070X2I_1_1,G071X2I_1_1,G072X1I_1_1,G073X8I_1_1,G074X3I_1_1,G075X3I_1_1,G076X3I_1_1,G077X1I_1_1,G078X3I_1_1,G079X1I_1_1,G080X8I_1_1,G081X1I_1_1,G082X6I_1_1,G083X8I_1_1,G084X6I_1_1,G085X2I_1_1,G086X9I_1_1,G087X8I_1_1,G088X7I_1_1,G089X0I_1_1,G090X5I_1_1,G092X3I_1_1,G093X8I_1_1,G094X6I_1_1,G095X6I_1_1,G096X2I_1_1,G099X9I_1_1,U201X6I_1_1,U202X8I_1_1,U204X2I_1_1,U205X4I_1_1,U206X3I_1_1,U209X7I_1_1,U212X2I_1_1,U214X5I_1_1,U215X8I_1_1,U216X4I_1_1,U217X6I_1_1,U220X5I_1_1,U221X9I_1_1,U223X6I_1_1,U224X6I_1_1,U225X6I_1_1,U226X3I_1_1,U227X6I_1_1,U228X3I_1_1,U229X2I_1_1,U230X6I_1_1,U231X2I_1_1,U232X4I_1_1,U233X6I_1_1,U236X2I_1_1,U237X1I_1_1,U238X1I_1_1,U240X1I_1_1,U241X6I_1_1,U242X1I_1_1,U245X7I_1_1,U246X8I_1_1,U247X1I_1_1,U249X3I_1_1,U250X1I_1_1,U251X1I_1_1,U252X6I_1_1,U253X9I_1_1,U254X3I_1_1,U255X1I_1_1,U256X7I_1_1,U257X3I_1_1,U258X1I_1_1,U260X8I_1_1,U261X6I_1_1,U263X1I_1_1,U265X3I_1_1,U267X3I_1_1,U268X4I_1_1,U269X3I_1_1,U270X6I_1_1,U271X6I_1_1,U272X9I_1_1,U273X6I_1_1,U276X6I_1_1,U277X9I_1_1,U280X5I_1_1,U281X7I_1_1,U282X2I_1_1,U283X6I_1_1,U284X2I_1_1,U285X4I_1_1,U286X6I_1_1,U287X3I_1_1,U288X6I_1_1,U289X6I_1_1,U290X4I_1_1,U291X6I_1_1,U293X1I_1_1,U294X6I_1_1,U295X1I_1_1,U296X6I_1_1,U298X2I_1_1,U299X8I_1_1,U300X2I_1_1}
@attribute minutia {v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81}
@attribute r15 numeric
@attribute r30 numeric
@attribute r45 numeric
@attribute r60 numeric
@attribute r75 numeric
@attribute r90 numeric
@attribute l1 numeric
@attribute l2 numeric
@attribute l3 numeric
@attribute l4 numeric
@attribute l5 numeric
@attribute l6 numeric
@attribute d0 numeric
@attribute d1 numeric
@attribute d2 numeric
@attribute d3 numeric
@attribute d4 numeric
@attribute d5 numeric
@attribute d6 numeric
@attribute d7 numeric
@attribute d8 numeric
@attribute d9 numeric
@attribute d10 numeric
@attribute d11 numeric
@attribute q0 numeric
@attribute q1 numeric
@attribute q2 numeric
@attribute q3 numeric
@attribute q4 numeric
@attribute q5 numeric
@attribute q6 numeric
@attribute q7 numeric
@attribute q8 numeric
@attribute q9 numeric
@attribute q10 numeric
@attribute q11 numeric
@attribute alpha0 numeric
@attribute alpha0r numeric
@attribute alpha1 numeric
@attribute alpha1r numeric
@attribute alpha2 numeric
@attribute alpha2r numeric
@attribute alpha3 numeric
@attribute alpha3r numeric
@attribute alpha4 numeric
@attribute alpha4r numeric
@attribute alpha5 numeric
@attribute alpha5r numeric
@attribute alpha6 numeric
@attribute alpha6r numeric
@attribute alpha7 numeric
@attribute alpha7r numeric
@attribute alpha8 numeric
@attribute alpha8r numeric
@attribute alpha9 numeric
@attribute alpha9r numeric
@attribute alpha10 numeric
@attribute alpha10r numeric
@attribute alpha11 numeric
@attribute alpha11r numeric
@attribute beta0 numeric
@attribute beta0r numeric
@attribute beta1 numeric
@attribute beta1r numeric
@attribute beta2 numeric
@attribute beta2r numeric
@attribute beta3 numeric
@attribute beta3r numeric
@attribute beta4 numeric
@attribute beta4r numeric
@attribute beta5 numeric
@attribute beta5r numeric
@attribute beta6 numeric
@attribute beta6r numeric
@attribute beta7 numeric
@attribute beta7r numeric
@attribute beta8 numeric
@attribute beta8r numeric
@attribute beta9 numeric
@attribute beta9r numeric
@attribute beta10 numeric
@attribute beta10r numeric
@attribute beta11 numeric
@attribute beta11r numeric
@attribute score_change numeric

@data
B101X9I_1_1,v0,0,1,3,8,10,11,1,2,5,2,1,11,25.059928,39.812058,43.324358,48.826222,49.244289,56.885851,57.489129,58.420887,61.269895,62.128898,77.02597,107.224064,0.142857,0.178571,0.22619,0.261905,0.27381,0.345238,0.357143,0.369048,0.392857,0.404762,0.559524,0.827381,42.500653,4.359061,40.988024,24.846432,37.958561,169.100154,37.676885,29.818478,40.083684,206.942091,36.893524,133.035116,38.059508,109.201101,41.549312,6.40772,37.831263,117.972855,38.223184,97.364777,42.974032,323.832439,41.086807,25.945214,-28.716815,35,-6.716815,13,128,-121.716815,-4.716815,11,170,-163.716815,93,-86.716815,68,-61.716815,-25.716815,32,77,-70.716815,56,-49.716815,284,-277.716815,-5.716815,12,0
B102X0I_1_1,v0,1,1,1,3,5,6,0,0,2,2,1,5,12.165525,48.052055,54.230987,73.061618,74.732858,87.418534,94.191295,95.35198,97.754795,98.310732,100.881118,105.68349,0.009259,0.259259,0.37963,0.490741,0.518519,0.648148,0.717593,0.726852,0.759259,0.768519,0.805556,0.824074,5.264055,345.122462,0.926455,3.351232,6.907671,339.766078,6.46897,327.327377,5.856939,315.715346,4.481316,111.339724,6.936257,338.794664,5.597801,141.456208,5.966114,316.824522,4.665385,126.523792,1.029161,350.170754,6.886208,161.744615,343,-336.716815,-0.716815,7,336,-329.716815,324,-317.716815,313,-306.716815,110,-103.716815,335,-328.716815,139,-132.716815,314,-307.716815,125,-118.716815,346,-339.716815,158,-151.716815,0
B104X8I_1_1,v0,0,0,0,0,1,3,0,0,0,1,2,3,74.303432,77.820306,86.278618,99.764723,115.602768,117.720007,119.28118,119.870764,123.713378,137.786066,138.708327,138.798415,0.320513,0.346154,0.384615,0.423077,0.5,0.512821,0.525641,0.538462,0.551282,0.589744,0.602564,0.615385,50.78182,229.923412,50.168969,353.310561,50.518605,150.660197,50.466767,335.608359,54.954787,338.813195,54.318546,15.176954,50.32342,312.465012,55.659782,334.518189,54.78419,163.642597,50.908452,137.050045,50.791717,312.933309,54.844502,351.702909,176,-169.716815,300,-293.716815,97,-90.716815,282,-275.716815,287,-280.716815,-29.716815,36,259,-252.716815,282,-275.716815,112,-105.716815,83,-76.716815,259,-252.716815,300,-293.716815,0
B105X2I_1_1,v0,1,2,4,5,7,7,1,2,1,2,0,6,11.401754,19.209373,30.413813,30.463092,57.31492,61,67.007462,98.412398,116.760439,117.720007,142.045767,150.359569,0.008772,0.026316,0.070175,0.078947,0.298246,0.350877,0.429825,0.714912,0.837719,0.846491,0.938596,0.960526,69.124659,51.983067,71.325259,118.183666,66.195167,116.33676,66.882719,66.024312,68.035989,237.177582,67.468931,229.610523,67.272687,208.414279,66.55253,306.694123,67.574146,201.715738,67.176954,173.318546,66.994806,350.136398,66.788264,314.929857,-7.716815,14,50,-43.716815,47,-40.716815,2.283185,4,166,-159.716815,159,-152.716815,138,-131.716815,237,-230.716815,131,-124.716815,103,-96.716815,280,-273.716815,245,-238.716815,1
B106X8I_1_1,v0,0,2,5,8,9,11,2,3,3,1,2,11,26.925824,28.635642,34.985711,39.458839,40.311289,46.840154,58.694122,59.135438,74.242845,77.103826,88.119237,94.540996,0.117647,0.137255,0.186275,0.245098,0.254902,0.303922,0.411765,0.421569,0.558824,0.637255,0.759804,0.808824,85.975993,98.8344,81.149222,102.290815,84.888784,72.747192,85.276554,78.134962,81.768465,100.910058,82.006379,90.147971,85.188357,55.046765,85.496897,97.355304,86.919096,293.777503,85.377302,124.23571,85.588755,123.447163,80.897614,129.039207,16,-9.716815,18,-11.716815,-2.716815,9,2.283185,4,16,-9.716815,5,1.283185,-20.716815,27,15,-8.716815,210,-203.716815,42,-35.716815,41,-34.716815,45,-38.716815,1
B107X9I_1_1,v0,1,3,3,5,6,7,2,0,2,1,1,6,10.198039,18.601075,27.802878,58.137767,58.5235,64.280635,83.600239,98.005102,102.786186,109.384642,118.473626,121.433109,0.006944,0.041667,0.083333,0.340278,0.347222,0.388889,0.618056,0.756944,0.809028,0.864583,0.899306,0.923611,87.802604,108.661012,85.796455,74.654862,84.200519,235.342111,84.14605,174.287642,83.636382,354.777975,84.764931,152.906523,85.788095,92.646502,84.358246,321.499839,84.55204,137.693633,84.464319,141.605912,85.238914,98.097321,85.384703,107.243111,24,-17.716815,-1.716815,8,148,-141.716815,87,-80.716815,268,-261.716815,65,-58.716815,10,-3.716815,234,-227.716815,50,-43.716815,54,-47.716815,16,-9.716815,25,-18.716815,1
B108X6I_1_1,v0,0,0,1,1,2,3,0,1,0,1,1,3,37.161808,64.498062,75.006666,116.430237,186.171964,187.267189,208.396257,210.280765,211.740407,212.049523,231.354706,239.852038,0.138889,0.416667,0.555556,0.814815,0.958333,0.962963,0.976852,0.981481,0.986111,0.990741,0.99537,1,45.872119,90.013712,46.163256,88.304849,45.539931,91.681523,46.373605,93.515198,46.330595,329.472188,46.234186,318.375779,45.970413,308.112005,46.464487,166.60608,46.034614,146.176207,46.068942,315.210535,46.17934,320.320933,46.086127,319.22772,41,-34.716815,39,-32.716815,43,-36.716815,44,-37.716815,280,-273.716815,269,-262.716815,259,-252.716815,117,-110.716815,97,-90.716815,266,-259.716815,271,-264.716815,270,-263.716815,1
B109X4I_1_1,v0,0,2,3,7,9,11,2,1,4,2,2,11,15.811388,17,41.10961,45.70558,49.497475,54.918121,56.718604,61.400326,70.830784,83.934498,85.802098,91.678787,0.034722,0.041667,0.256944,0.305556,0.347222,0.416667,0.465278,0.520833,0.659722,0.78125,0.798611,0.847222,48.609362,236.750954,53,231.858407,49.004153,222.145745,46.892754,14.034347,48.145714,198.287307,52.816889,271.675297,46.876166,299.017759,52.075962,94.934369,46.944672,285.086264,52.734793,285.5932,47.353323,339.494916,52.315038,102.173445,185,-178.716815,182,-175.716815,170,-163.716815,-29.716815,36,147,-140.716815,222,-215.716815,249,-242.716815,46,-39.716815,235,-228.716815,236,-229.716815,289,-282.716815,53,-46.716815,0
B110X6I_1_1,v0,1,1,2,6,7,9,0,1,4,1,2,8,13,43.680659,48.259714,54.918121,55.108983,56.859476,60.307545,75.166482,83.216585,116.498927,125.876924,128.763349,0.010753,0.177419,0.225806,0.290323,0.301075,0.327957,0.365591,0.505376,0.596774,0.817204,0.83871,0.854839,344.034413,324.89282,345.7217,334.580108,345.40625,325.264658,343.436309,308.294717,344.228249,290.086657,344.012765,289.871172,345.132434,295.990842,344.495772,284.354179,344.073246,108.931653,343.826916,279.685324,343.750741,111.609148,344.320262,283.178669,-9.716815,16,-1.716815,8,-10.716815,17,-25.716815,32,-44.716815,51,-44.716815,51,-39.716815,46,-50.716815,57,-225.716815,232,-54.716815,61,-222.716815,229,-51.716815,58,1
B111X7I_1_1,v0,0,1,3,3,4,5,1,2,0,1,1,5,26.172505,30.463092,34.409301,70.349129,88.842557,101.872469,112.720894,130.923642,132.003788,137.437258,146.328398,178.440466,0.020833,0.0625,0.083333,0.270833,0.416667,0.520833,0.625,0.723958,0.734375,0.78125,0.802083,0.942708,83.670826,53.529233,82.453516,56.595108,81.907861,116.049453,84.528872,40.38728,84.225186,37.083593,83.405561,40.263968,84.056934,24.915342,83.85603,203.714438,84.642943,163.50135,84.938422,344.79683,84.250573,14.10898,85.051408,138.909815,-20.716815,27,-22.716815,29,31,-24.716815,-34.716815,41,-37.716815,44,-33.716815,40,-49.716815,56,123,-116.716815,82,-75.716815,263,-256.716815,-60.716815,67,57,-50.716815,0
