"","fingerprint","minutia","x","y","angle","score_change","d0","d1","d2","d3","d4","d5","d6","d7","d8","d9","d10","d11","r15","r30","r45","r60","r75","r90"
"B101X9I_1_1#v0","B101X9I_1_1","v0",382,471,43,-0.259036601,25.0599281722833,39.8120584747888,43.3243580448689,48.8262224629348,49.2442890089805,56.8858506133116,57.4891294072192,58.4208866759141,61.2698947281616,62.1288982680363,77.0259696466069,107.224064463161,0,1,3,8,10,11
"B101X9I_1_1#v1","B101X9I_1_1","v1",399,435,30,-0.13131851,32.5576411921994,39.8120584747888,39.8246155034798,45.7930125674212,67.7200118133481,83.0060238777885,85.1645466141868,86.2844134244419,88.3232698670062,96.7677632272236,99.9599919967984,100.224747442934,0,0,3,4,5,9
"B101X9I_1_1#v2","B101X9I_1_1","v2",418,370,31,0.11663081,17.464249196573,60.8111831820431,67.7200118133481,90.7964757025293,106.230880632705,107.224064463161,144.170038496215,150.233152133609,150.545674132471,154.845083874174,164.468842033985,167.836229700265,0,1,1,1,3,3
"B101X9I_1_1#v3","B101X9I_1_1","v3",354,511,32,0.31230613,14.0356688476182,15.0332963783729,21.9317121994613,32.5576411921994,41.0365690573664,48.8262224629348,52.3450093132096,64.5368112010502,88.3232698670062,91.5259526036195,100.224747442934,154.845083874174,1,3,5,7,8,9
"B101X9I_1_1#v4","B101X9I_1_1","v4",422,353,14,0.239855302,17.464249196573,76.2167960491649,85.1645466141868,107.298648640139,122.80065146407,124.59534501738,160,164.757397406004,167.919623629878,172.011627513956,181.892825586937,185.299757150408,0,1,1,1,1,3
"B101X9I_1_1#v5","B101X9I_1_1","v5",360,459,8,-0.234622816,25.0599281722833,40.4969134626332,45.7930125674212,48.3838816136118,52.3450093132096,53.6003731330296,55.9016994374947,67.1863081289633,68.5930025585701,70.0071424927486,76.1577310586391,106.230880632705,0,1,2,7,10,11
"B101X9I_1_1#v6","B101X9I_1_1","v6",375,413,11,-0.180724878,32.5576411921994,48.3838816136118,58.4208866759141,60.8111831820431,72.3463889907437,76.2167960491649,83.815273071201,89.6437393240599,99.247166206396,100.224747442934,114.157785542643,114.756263445618,0,0,1,3,5,8
"B101X9I_1_1#v7","B101X9I_1_1","v7",305,469,327,0.015346833,24.1867732448956,55.9016994374947,64.5368112010502,75.8221603490694,76.2758153020995,77.0259696466069,86.3712915267567,89.6437393240599,97.082439194738,99.9599919967984,125.323581180878,150.233152133609,0,1,1,2,3,8
"B101X9I_1_1#v8","B101X9I_1_1","v8",430,460,213,-0.276647484,39.8246155034798,49.2442890089805,70.0071424927486,72.3463889907437,80.9197132965756,89.6270048590267,90.6090503205943,90.7964757025293,91.5259526036195,99.9049548320803,106.099010362962,107.298648640139,0,0,1,2,4,6
"B101X9I_1_1#v9","B101X9I_1_1","v9",368,512,171,0.268457198,14.0356688476182,15.0332963783729,19.1049731745428,23.259406699226,43.3243580448689,52.2015325445527,53.6003731330296,76.2758153020995,80.9197132965756,83.0060238777885,99.247166206396,150.545674132471,1,4,5,7,7,10
