@relation ./ML-assignments/Assignment6/databases_disc/databases_KBN1_arff/abalone-19_vs_10-11-12-13/KBN1abalone-19_vs_10-11-12-13-5-4tra.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute Class {' negative'}
@data
0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,' negativ
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
4,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,' negativ
5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
7,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,' negativ
8,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,' negativ
9,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,' negativ
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
11,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,' negativ
12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
13,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,' negativ
14,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,' negativ
15,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
17,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
18,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,' negativ
19,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,' negativ
20,0.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,' negativ
21,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,' negativ
22,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,' negativ
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
24,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
27,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,' negativ
28,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,' negativ
29,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,' negativ
30,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,' negativ
31,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
32,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,' negativ
33,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,' negativ
34,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,' negativ
35,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,' negativ
36,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
42,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,' negativ
43,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,' negativ
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
48,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
49,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
50,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,' negativ
51,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,' negativ
52,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,' negativ
53,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,' negativ
54,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
55,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
58,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
59,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
60,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
62,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
63,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
64,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
65,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
66,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,' negativ
67,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,' negativ
68,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
69,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
71,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,' negativ
72,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,' negativ
73,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,' negativ
74,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,' negativ
75,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,' negativ
76,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,' negativ
77,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,' negativ
78,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,' negativ
79,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,' negativ
80,2.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,' negativ
81,0.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,' negativ
82,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,' negativ
83,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,' negativ
84,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,' negativ
85,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,' negativ
86,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,' negativ
87,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,' negativ
88,0.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,' negativ
89,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,' negativ
90,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,' negativ
91,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,' negativ
92,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,' negativ
93,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,' negativ
94,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,' negativ
95,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,' negativ
96,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,' negativ
97,0.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,' negativ
98,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,' negativ
99,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,' negativ
100,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,' negativ
101,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,' negativ
102,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,' negativ
103,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,' negativ
104,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,' negativ
105,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,' negativ
106,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,' negativ
107,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,' negativ
108,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,' negativ
109,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,' negativ
110,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,' negativ
111,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,' negativ
112,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,' negativ
113,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,' negativ
114,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,' negativ
115,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,' negativ
116,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,' negativ
117,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,' negativ
118,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,' negativ
119,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,' negativ
120,2.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,' negativ
121,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,' negativ
122,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,' negativ
123,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,' negativ
124,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,' negativ
125,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,' negativ
126,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,' negativ
127,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,' negativ
128,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,' negativ
129,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,' negativ
130,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,' negativ
131,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,' negativ
132,0.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,' negativ
133,0.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,' negativ
134,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,' negativ
135,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,' negativ
136,0.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,' negativ
137,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,' negativ
138,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,' negativ
139,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,' negativ
140,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,' negativ
141,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,' negativ
142,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,' negativ
143,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,' negativ
144,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,' negativ
145,0.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,' negativ
146,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,' negativ
147,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,' negativ
148,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,' negativ
149,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,' negativ
150,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,' negativ
151,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,' negativ
152,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,' negativ
153,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,' negativ
154,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,' negativ
155,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,' negativ
156,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,' negativ
157,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,' negativ
158,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,' negativ
159,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,' negativ
160,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,' negativ
161,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,' negativ
162,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,' negativ
163,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,' negativ
164,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,' negativ
165,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,' negativ
166,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,' negativ
167,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,' negativ
168,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,' negativ
169,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,' negativ
170,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,' negativ
171,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,' negativ
172,0.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,' negativ
173,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,' negativ
174,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,' negativ
175,0.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,' negativ
176,0.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,' negativ
177,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,' negativ
178,0.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,' negativ
179,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
180,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,' negativ
181,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,' negativ
182,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,' negativ
