File,Pattern,Score
contratacion_isAdquisiciones.txt,Entidad_isCiudadDeMexico = '0' AND Plantilla_isAdjudicacion = '1' AND Correo_isGob = '1',0.41
contratacion_isAdquisiciones.txt,Entidad_isCiudadDeMexico = '0' AND Correo_isGob = '1' AND Plantilla_isAdjudicacion = '1',0.41
contratacion_isAdquisiciones.txt,Correo_isGob = '1' AND Plantilla_isAdjudicacion = '1' AND Entidad_isCiudadDeMexico = '0',0.41
contratacion_isAdquisiciones.txt,Plantilla_isAdjudicacion = '1' AND Entidad_isCiudadDeMexico = '0' AND Correo_isGob = '1',0.41
contratacion_isAdquisiciones.txt,Entidad_isCiudadDeMexico = '0' AND Correo_isGob = '1' AND Plantilla_isLicitacion = '0',0.38
contratacion_isAdquisiciones.txt,Entidad_isCiudadDeMexico = '0' AND Plantilla_isAdjudicacion = '1',0.36
contratacion_isServicios.txt,Entidad_isCiudadDeMexico = '1' AND Procedimiento_isIntTLC = '0' AND Procedimiento_isNacional = '1',0.4
contratacion_isServicios.txt,Procedimiento_isNacional = '1' AND Plantilla_isLicitacion = '0' AND Entidad_isCiudadDeMexico = '1',0.38
contratacion_isServicios.txt,Plantilla_isLicitacion = '0' AND Procedimiento_isNacional = '1' AND Entidad_isCiudadDeMexico = '1',0.38
contratacion_isServicios.txt,Entidad_isCiudadDeMexico = '1' AND Procedimiento_isNacional = '1' AND Plantilla_isLicitacion = '0',0.38
contratacion_isServicios.txt,Entidad_isCiudadDeMexico = '1' AND Procedimiento_isNacional = '1' AND Plantilla_isAdjudicacion = '1',0.35
contratacion_isServicios.txt,Entidad_isCiudadDeMexico = '1' AND Procedimiento_isNacional = '1' AND Publicacion_isTrimestre3 = '0',0.33
contratacion_isServicios.txt,Procedimiento_isNacional = '1' AND Publicacion_isTrimestre3 = '0' AND Entidad_isCiudadDeMexico = '1',0.33
contratacion_isServicios.txt,Procedimiento_isNacional = '1' AND Entidad_isCiudadDeMexico = '1' AND Publicacion_isTrimestre3 = '0',0.33
contratacion_isServicios.txt,Procedimiento_isIntTLC = '0' AND Entidad_isCiudadDeMexico = '1' AND Plantilla_isAdjudicacion = '1',0.32
contratacion_isServicios.txt,Entidad_isCiudadDeMexico = '1' AND Plantilla_isAdjudicacion = '1' AND Procedimiento_isIntTLC = '0',0.32
descripcion_isMantenimiento.txt,Procedimiento_isIntTLC = '0' AND Descripcion_isSalud = '0' AND Contratacion_isAdquisiciones = '0',0.45
descripcion_isMantenimiento.txt,Contratacion_isAdquisiciones = '0' AND Descripcion_isProfesional = '0' AND Procedimiento_isNacional = '1',0.44
descripcion_isMantenimiento.txt,Contratacion_isAdquisiciones = '0' AND Plantilla_isInvitacion = '0' AND Descripcion_isProfesional = '0',0.44
descripcion_isMantenimiento.txt,Contratacion_isAdquisiciones = '0' AND Descripcion_isSuministro = '0' AND Procedimiento_isIntTLC = '0',0.43
descripcion_isMantenimiento.txt,Procedimiento_isIntTLC = '0' AND Contratacion_isAdquisiciones = '0' AND Descripcion_isMateri = '0',0.43
descripcion_isMantenimiento.txt,Contratacion_isAdquisiciones = '0' AND Descripcion_isProfesional = '0' AND Descripcion_isMateri = '0',0.43
descripcion_isMantenimiento.txt,Descripcion_isPrograma = '0' AND Procedimiento_isIntTLC = '0' AND Contratacion_isAdquisiciones = '0',0.42
descripcion_isMantenimiento.txt,Contratacion_isAdquisiciones = '0' AND Procedimiento_isIntTLC = '0' AND Descripcion_isPrograma = '0',0.42
descripcion_isMantenimiento.txt,Procedimiento_isIntTLC = '0' AND Descripcion_isPrograma = '0' AND Contratacion_isAdquisiciones = '0',0.42
descripcion_isMantenimiento.txt,Procedimiento_isIntTLC = '0' AND Contratacion_isAdquisiciones = '0' AND Descripcion_isPrograma = '0',0.42
descripcion_isMantenimiento.txt,Contratacion_isAdquisiciones = '0' AND Plantilla_isInvitacion = '0' AND Descripcion_isSuministro = '0',0.41
descripcion_isMantenimiento.txt,Contratacion_isAdquisiciones = '0' AND Descripcion_isMateri = '0' AND Descripcion_isSuministro = '0',0.41
descripcion_isMantenimiento.txt,Descripcion_isPrograma = '0' AND Contratacion_isAdquisiciones = '0' AND Plantilla_isInvitacion = '0',0.41
descripcion_isMantenimiento.txt,Descripcion_isSuministro = '0' AND Contratacion_isAdquisiciones = '0' AND Descripcion_isPrograma = '0',0.41
descripcion_isMantenimiento.txt,Contratacion_isAdquisiciones = '0' AND Descripcion_isMateri = '0' AND Plantilla_isInvitacion = '0',0.41
descripcion_isMantenimiento.txt,Contratacion_isAdquisiciones = '0' AND Descripcion_isSuministro = '0' AND Descripcion_isMateri = '0',0.41
descripcion_isMantenimiento.txt,Descripcion_isMateri = '0' AND Contratacion_isAdquisiciones = '0' AND Plantilla_isInvitacion = '0',0.41
descripcion_isMantenimiento.txt,Procedimiento_isNacional = '1' AND Contratacion_isAdquisiciones = '0' AND Descripcion_isSuministro = '0',0.41
descripcion_isMantenimiento.txt,Procedimiento_isNacional = '1' AND Descripcion_isMateri = '0' AND Contratacion_isAdquisiciones = '0',0.4
descripcion_isMantenimiento.txt,Procedimiento_isNacional = '1' AND Contratacion_isAdquisiciones = '0' AND Descripcion_isMateri = '0',0.4
descripcion_isMantenimiento.txt,Procedimiento_isNacional = '1' AND Descripcion_isPrograma = '0' AND Contratacion_isAdquisiciones = '0',0.39
descripcion_isMantenimiento.txt,Contratacion_isAdquisiciones = '0' AND Descripcion_isPrograma = '0' AND Descripcion_isMateri = '0',0.39
descripcion_isMantenimiento.txt,Contratacion_isAdquisiciones = '0' AND Descripcion_isMateri = '0' AND Descripcion_isPrograma = '0',0.39
descripcion_isMantenimiento.txt,Descripcion_isPrograma = '0' AND Contratacion_isAdquisiciones = '0' AND Descripcion_isMateri = '0',0.39
descripcion_isMantenimiento.txt,Procedimiento_isNacional = '1' AND Contratacion_isAdquisiciones = '0' AND Descripcion_isPrograma = '0',0.39
descripcion_isMantenimiento.txt,Contratacion_isServicios = '1' AND Descripcion_isCovid = '0' AND Plantilla_isInvitacion = '0',0.38
descripcion_isMantenimiento.txt,Contratacion_isServicios = '1' AND Descripcion_isSuministro = '0' AND Procedimiento_isIntTLC = '0',0.38
descripcion_isMantenimiento.txt,Contratacion_isAdquisiciones = '0' AND Contratacion_isServicios = '1' AND Descripcion_isSuministro = '0',0.37
descripcion_isMantenimiento.txt,Descripcion_isPrograma = '0' AND Contratacion_isAdquisiciones = '0' AND Contratacion_isObraPublica = '0',0.37
descripcion_isMantenimiento.txt,Contratacion_isServicios = '1' AND Descripcion_isPrograma = '0' AND Plantilla_isInvitacion = '0',0.36
descripcion_isMantenimiento.txt,Procedimiento_isNacional = '1' AND Contratacion_isServicios = '1' AND Descripcion_isSuministro = '0',0.36
descripcion_isMantenimiento.txt,Procedimiento_isIntTLC = '0' AND Descripcion_isMateri = '0' AND Contratacion_isServicios = '1',0.36
descripcion_isMantenimiento.txt,Contratacion_isServicios = '1' AND Descripcion_isMateri = '0' AND Plantilla_isInvitacion = '0',0.35
descripcion_isMantenimiento.txt,Procedimiento_isNacional = '1' AND Contratacion_isAdquisiciones = '0' AND Plantilla_isLicitacion = '0',0.35
descripcion_isMantenimiento.txt,Plantilla_isLicitacion = '0' AND Procedimiento_isIntTLC = '0' AND Contratacion_isAdquisiciones = '0',0.35
descripcion_isMantenimiento.txt,Procedimiento_isNacional = '1' AND Plantilla_isLicitacion = '0' AND Contratacion_isAdquisiciones = '0',0.35
descripcion_isMantenimiento.txt,Contratacion_isServicios = '1' AND Descripcion_isMateri = '0' AND Procedimiento_isNacional = '1',0.34
descripcion_isMantenimiento.txt,Contratacion_isServicios = '1' AND Descripcion_isMateri = '0' AND Descripcion_isPrograma = '0',0.34
descripcion_isMantenimiento.txt,Descripcion_isPrograma = '0' AND Descripcion_isMateri = '0' AND Contratacion_isServicios = '1',0.34
