@RELATION clean_dataset

@ATTRIBUTE procedimiento_isnacional {0,1}
@ATTRIBUTE procedimiento_isinternacional {0}
@ATTRIBUTE procedimiento_isinttlc {0,1}
@ATTRIBUTE contratacion_isadquisiciones {0,1}
@ATTRIBUTE contratacion_isarriendamientos {0}
@ATTRIBUTE contratacion_isobrapublica {0,1}
@ATTRIBUTE contratacion_isservicios {0,1}
@ATTRIBUTE entidad_count REAL
@ATTRIBUTE correo_isgob {0,1}
@ATTRIBUTE plantilla_islicitacion {0,1}
@ATTRIBUTE plantilla_isadjudicacion {0,1}
@ATTRIBUTE plantilla_isinvitacion {0,1}
@ATTRIBUTE publicacion_istrimestre1 {0,1}
@ATTRIBUTE publicacion_istrimestre2 {0,1}
@ATTRIBUTE publicacion_istrimestre3 {0,1}
@ATTRIBUTE publicacion_istrimestre4 {0}

@DATA
1,0,0,0,0,1,0,1099.0,1,1,0,0,0,0,1,0
1,0,0,1,0,0,0,1099.0,1,1,0,0,0,0,1,0
0,0,0,0,0,0,1,2217.0,1,0,1,0,1,0,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,1,0,0,0,1099.0,1,1,0,0,0,0,1,0
1,0,0,1,0,0,0,1099.0,1,1,0,0,0,0,1,0
1,0,0,0,0,0,1,1099.0,1,1,0,0,0,0,1,0
1,0,0,0,0,1,0,3930.0,0,1,0,0,1,0,0,0
1,0,0,0,0,1,0,3930.0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1586.0,1,1,0,0,0,0,1,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,0,1858.0,0,0,1,0,1,0,0,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,0,1858.0,0,0,1,0,1,0,0,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,0,0,0,1,37371.0,0,0,1,0,1,0,0,0
1,0,0,0,0,1,0,3930.0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,1099.0,1,1,0,0,0,0,1,0
1,0,0,0,0,1,0,1099.0,1,1,0,0,0,0,1,0
1,0,0,0,0,1,0,3930.0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,2002.0,0,1,0,0,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1099.0,1,1,0,0,0,0,1,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,2002.0,0,1,0,0,0,1,0,0
1,0,0,0,0,1,0,2002.0,0,1,0,0,0,1,0,0
1,0,0,0,0,1,0,2002.0,0,1,0,0,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,1,0,0,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,1,0,0,0,1991.0,1,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1099.0,1,1,0,0,0,0,1,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,1,0,0,0,1099.0,1,1,0,0,0,0,1,0
1,0,0,0,0,1,0,1099.0,1,1,0,0,0,0,1,0
1,0,0,1,0,0,0,1099.0,1,1,0,0,0,0,1,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,1099.0,1,1,0,0,0,0,1,0
1,0,0,0,0,1,0,1099.0,1,1,0,0,0,0,1,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,1858.0,0,0,1,0,1,0,0,0
1,0,0,0,0,1,0,1099.0,1,1,0,0,0,0,1,0
1,0,0,1,0,0,0,1991.0,1,0,0,1,0,1,0,0
1,0,0,0,0,1,0,1099.0,1,1,0,0,0,0,1,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,1,0,0,0,1991.0,1,0,0,1,0,1,0,0
1,0,0,1,0,0,0,1991.0,1,0,0,1,0,1,0,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,0,2002.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,2002.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,2002.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,2002.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,1858.0,0,0,1,0,1,0,0,0
1,0,0,0,0,1,0,2002.0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,2002.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,2002.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,2002.0,0,0,0,1,0,1,0,0
1,0,0,1,0,0,0,2002.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,2002.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,2002.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,1,0,0,1,0,0,0
1,0,0,0,0,1,0,1858.0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,3930.0,0,0,0,1,0,1,0,0
