@relation ./ML-assignments/Assignment6/databases_disc/databases_KBN2_arff/iris0/KBN2iris0-5-4tra.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute Class {' negative'}
@data
0,2.0,2.0,1.0,0.0,' negativ
1,3.0,2.0,2.0,1.0,' negativ
2,1.0,2.0,1.0,1.0,' negativ
3,1.0,3.0,1.0,1.0,' negativ
4,3.0,3.0,2.0,1.0,' negativ
5,2.0,3.0,1.0,1.0,' negativ
6,3.0,3.0,2.0,1.0,' negativ
7,2.0,3.0,2.0,1.0,' negativ
8,0.0,1.0,0.0,0.0,' negativ
9,0.0,1.0,0.0,1.0,' negativ
10,0.0,0.0,0.0,0.0,' negativ
11,1.0,0.0,1.0,0.0,' negativ
12,1.0,2.0,2.0,1.0,' negativ
13,1.0,2.0,0.0,0.0,' negativ
14,2.0,3.0,1.0,1.0,' negativ
15,1.0,2.0,1.0,1.0,' negativ
16,1.0,1.0,1.0,0.0,' negativ
17,1.0,1.0,0.0,0.0,' negativ
18,1.0,3.0,2.0,2.0,' negativ
19,1.0,2.0,1.0,0.0,' negativ
20,2.0,1.0,2.0,1.0,' negativ
21,1.0,2.0,2.0,0.0,' negativ
22,2.0,2.0,1.0,1.0,' negativ
23,2.0,2.0,2.0,2.0,' negativ
24,1.0,1.0,0.0,0.0,' negativ
25,0.0,1.0,0.0,0.0,' negativ
26,0.0,1.0,0.0,0.0,' negativ
27,1.0,1.0,2.0,1.0,' negativ
28,0.0,2.0,1.0,1.0,' negativ
29,2.0,3.0,2.0,1.0,' negativ
30,2.0,0.0,1.0,0.0,' negativ
31,1.0,2.0,1.0,0.0,' negativ
32,0.0,1.0,1.0,0.0,' negativ
33,0.0,1.0,1.0,0.0,' negativ
34,1.0,2.0,1.0,1.0,' negativ
35,0.0,0.0,0.0,0.0,' negativ
36,1.0,1.0,1.0,0.0,' negativ
37,1.0,2.0,1.0,0.0,' negativ
38,1.0,2.0,1.0,0.0,' negativ
39,1.0,2.0,1.0,0.0,' negativ
40,3.0,2.0,3.0,3.0,' negativ
41,2.0,2.0,3.0,2.0,' negativ
42,2.0,2.0,3.0,4.0,' negativ
43,4.0,2.0,4.0,3.0,' negativ
44,0.0,1.0,1.0,2.0,' negativ
45,3.0,2.0,4.0,2.0,' negativ
46,2.0,1.0,3.0,2.0,' negativ
47,3.0,4.0,4.0,4.0,' negativ
48,2.0,3.0,2.0,3.0,' negativ
49,3.0,2.0,3.0,3.0,' negativ
50,1.0,1.0,2.0,3.0,' negativ
51,1.0,2.0,2.0,4.0,' negativ
52,4.0,4.0,4.0,4.0,' negativ
53,4.0,2.0,4.0,3.0,' negativ
54,2.0,1.0,2.0,2.0,' negativ
55,2.0,3.0,3.0,3.0,' negativ
56,1.0,2.0,2.0,2.0,' negativ
57,2.0,2.0,3.0,3.0,' negativ
58,3.0,2.0,3.0,1.0,' negativ
59,4.0,2.0,4.0,2.0,' negativ
60,4.0,4.0,4.0,3.0,' negativ
61,2.0,2.0,3.0,4.0,' negativ
62,2.0,2.0,2.0,1.0,' negativ
63,1.0,1.0,3.0,1.0,' negativ
64,4.0,2.0,4.0,4.0,' negativ
65,2.0,3.0,3.0,4.0,' negativ
66,2.0,3.0,3.0,2.0,' negativ
67,1.0,2.0,2.0,2.0,' negativ
68,3.0,3.0,3.0,3.0,' negativ
69,2.0,3.0,3.0,4.0,' negativ
70,3.0,3.0,3.0,4.0,' negativ
71,2.0,3.0,3.0,4.0,' negativ
72,2.0,2.0,2.0,4.0,' negativ
73,2.0,1.0,2.0,2.0,' negativ
74,2.0,2.0,2.0,3.0,' negativ
75,2.0,3.0,3.0,4.0,' negativ
76,1.0,2.0,2.0,2.0,' negativ
77,1.0,0.0,2.0,1.0,' negativ
78,3.0,3.0,3.0,4.0,' negativ
